"score","com","name","entity","cell_type"
4.40344126023265e-05,1,"1700016H13Rik","gene","astrocytes"
-1.04631617505601e-06,1,"2510039O18Rik","gene","astrocytes"
4.5510019253476e-05,1,"4922502D21Rik","gene","astrocytes"
1.45791875502106e-05,1,"4930579G24Rik","gene","astrocytes"
0.000281262938706553,4,"Aasdh","gene","astrocytes"
0.000272430345451415,3,"Abcc10","gene","astrocytes"
8.56163655100308e-07,1,"Abt1","gene","astrocytes"
1.50871683033498e-05,2,"Aff1","gene","astrocytes"
1.35205191719667e-05,1,"Anapc7","gene","astrocytes"
2.27867297341714e-05,2,"Anp32a","gene","astrocytes"
0.00155318244664531,1,"Apex1","TF","astrocytes"
4.33263093410831e-05,1,"Apex1","gene","astrocytes"
0.000645577735739636,3,"Apopt1","gene","astrocytes"
0.000303628618666939,3,"Arl5b","gene","astrocytes"
0.000164874720283759,4,"Asb7","gene","astrocytes"
0.000102085264549503,2,"Bag5","gene","astrocytes"
0.0023040245661801,2,"Bcl11a","TF","astrocytes"
1.48555164612729e-05,2,"Bcl11a","gene","astrocytes"
0.000541535860743278,3,"Bet1l","gene","astrocytes"
3.76206137821816e-06,2,"Bmp5","gene","astrocytes"
0.00149847748005246,1,"Brca1","TF","astrocytes"
4.71748443690523e-05,1,"Brca1","gene","astrocytes"
4.74503349603449e-05,2,"Casc1","gene","astrocytes"
0.000453521390131192,3,"Ccdc174","gene","astrocytes"
2.12155744162369e-05,1,"Ccdc184","gene","astrocytes"
7.44426759970053e-06,2,"Cdk8","gene","astrocytes"
0.00031015037528535,1,"Cdkn2c","gene","astrocytes"
0.000774216859724157,1,"Cebpb","TF","astrocytes"
3.7368300611498e-06,2,"Cebpb","gene","astrocytes"
1.15854050277671e-05,2,"Cep192","gene","astrocytes"
1.17400498853094e-05,1,"Cep290","gene","astrocytes"
2.08828852227213e-05,2,"Cept1","gene","astrocytes"
0.000169429336862193,2,"Chek1","gene","astrocytes"
0.000431775295321673,3,"Cherp","gene","astrocytes"
1.75450414229493e-06,1,"Ciao3","gene","astrocytes"
6.03410960126691e-05,2,"Clec16a","gene","astrocytes"
8.81451178589056e-06,2,"Cnih2","gene","astrocytes"
0.00046312093115773,1,"Cnpy1","gene","astrocytes"
0.000391060143653444,3,"Cox4i1","gene","astrocytes"
2.60280356748501e-05,2,"Crls1","gene","astrocytes"
0.000429099305937421,3,"Ctnnbl1","gene","astrocytes"
0.000135146442711754,3,"Cwf19l2","gene","astrocytes"
2.02402758174574e-05,2,"Cyb5d2","gene","astrocytes"
3.13317763673887e-05,2,"Czib","gene","astrocytes"
2.54029881711763e-06,2,"D230025D16Rik","gene","astrocytes"
0.00101841484475749,4,"Dcaf8","gene","astrocytes"
2.37270777527124e-05,2,"Ddi2","gene","astrocytes"
2.85163185921069e-05,2,"Dgcr6","gene","astrocytes"
0.000421158159216967,4,"Dlat","gene","astrocytes"
0.000382251849265582,4,"Dnajc19","gene","astrocytes"
0.00042590039699284,2,"Dntt","gene","astrocytes"
0.00067801568841316,3,"Dph5","gene","astrocytes"
0.000162956198344248,4,"Dpy30","gene","astrocytes"
3.19907932815531e-05,2,"Dram2","gene","astrocytes"
0.00124774836090497,2,"E4f1","TF","astrocytes"
3.42605345071041e-05,2,"E4f1","gene","astrocytes"
2.11514529764795e-05,2,"Eed","gene","astrocytes"
0.000385804351433369,4,"Eef1g","gene","astrocytes"
0.000910812020354744,4,"Eif3d","gene","astrocytes"
6.29819478841609e-05,2,"Eif3k","gene","astrocytes"
2.47419111950451e-05,2,"Eif4a2","gene","astrocytes"
0.000402444379880266,4,"Eif4b","gene","astrocytes"
0.00170738353675938,1,"Elp3","TF","astrocytes"
1.17136778783567e-05,2,"Elp3","gene","astrocytes"
1.27310309768925e-05,2,"Emc8","gene","astrocytes"
1.8533499863979e-05,2,"Epc2","gene","astrocytes"
0.00016546466081772,3,"Eprs","gene","astrocytes"
0.000252648971437771,2,"Esyt1","gene","astrocytes"
0.000281928623479879,3,"Etfdh","gene","astrocytes"
0.000590260275506485,3,"Etfrf1","gene","astrocytes"
6.75798118980325e-06,2,"Faap100","gene","astrocytes"
4.43575660302179e-05,2,"Faf1","gene","astrocytes"
6.18902176146094e-05,2,"Fam174b","gene","astrocytes"
-1.71157677173256e-06,1,"Fam229b","gene","astrocytes"
1.6340062801125e-05,2,"Fkbp15","gene","astrocytes"
0.000115334473454121,2,"Fktn","gene","astrocytes"
2.95869648238706e-05,2,"Ggcx","gene","astrocytes"
4.53145957448496e-05,1,"Gm156","gene","astrocytes"
2.68439056203444e-05,1,"Gnl3","gene","astrocytes"
0.000357282747664296,3,"H13","gene","astrocytes"
6.05450548655788e-05,2,"Hax1","gene","astrocytes"
0.000919503923197675,1,"Hmga1","TF","astrocytes"
2.08552810018975e-05,1,"Hmga1","gene","astrocytes"
5.16849052998051e-05,1,"Hmga1b","gene","astrocytes"
0.00107113428477303,1,"Hoxa10","TF","astrocytes"
2.47345099749776e-05,1,"Hoxa10","gene","astrocytes"
0.00123417067404531,1,"Hoxa9","TF","astrocytes"
4.41945544605719e-05,1,"Hoxa9","gene","astrocytes"
1.76276226369867e-05,2,"Hs2st1","gene","astrocytes"
0.00042482880931415,3,"Ift122","gene","astrocytes"
1.6470548189238e-05,2,"Ipo8","gene","astrocytes"
0.000638748252313479,3,"Itfg1","gene","astrocytes"
0.000562319728436298,4,"Kif1bp","gene","astrocytes"
1.86286722141888e-05,2,"Klc1","gene","astrocytes"
0.000351348643866592,2,"Klhdc9","gene","astrocytes"
4.72704224356849e-05,1,"Klre1","gene","astrocytes"
0.000287772204362469,2,"Klri1","gene","astrocytes"
4.95225088318451e-05,1,"Klri2","gene","astrocytes"
2.2002082960456e-05,2,"Kmt2a","gene","astrocytes"
2.31850919019398e-06,1,"Leo1","gene","astrocytes"
-1.88367001431023e-06,1,"Lins1","gene","astrocytes"
0.000195043625997261,4,"Lrrcc1","gene","astrocytes"
0.000239818854603009,3,"Lsm4","gene","astrocytes"
0.000103325190927789,2,"Map4k1","gene","astrocytes"
2.09322860714254e-05,1,"Mbd4","gene","astrocytes"
0.000406514945277609,3,"Mcts1","gene","astrocytes"
0.00157505270800228,1,"Med1","TF","astrocytes"
1.19633929142568e-05,2,"Med1","gene","astrocytes"
0.000205787742071444,2,"Med29","gene","astrocytes"
0.000849968239495354,1,"Mef2c","TF","astrocytes"
0.000761006614851602,4,"Mef2c","gene","astrocytes"
0.000370352562176499,3,"Mks1","gene","astrocytes"
0.000323107698020445,3,"Mpc1","gene","astrocytes"
0.000135016250374629,2,"Mpnd","gene","astrocytes"
0.000267546797403431,3,"Mrfap1","gene","astrocytes"
1.76786984432532e-05,2,"Mrpl15","gene","astrocytes"
5.53768592901838e-05,2,"Mrps12","gene","astrocytes"
0.000232181661708388,3,"Mrps16","gene","astrocytes"
0.000774817093773514,2,"Myb","TF","astrocytes"
0.000411132423815283,2,"Myb","gene","astrocytes"
0.000850776927711216,2,"Myc","TF","astrocytes"
1.71954628623361e-05,2,"Myc","gene","astrocytes"
2.38235778168e-05,2,"Myo9a","gene","astrocytes"
0.00193379430511846,2,"Mzf1","TF","astrocytes"
0.000233170054297929,2,"Mzf1","gene","astrocytes"
0.000217702144484323,3,"Naa30","gene","astrocytes"
9.04213560390651e-06,2,"Naaladl2","gene","astrocytes"
4.13152926475587e-06,2,"Nap1l2","gene","astrocytes"
0.000385942247158747,3,"Nbr1","gene","astrocytes"
0.00160035400984957,1,"Ncoa5","TF","astrocytes"
6.37135892683107e-05,2,"Ncoa5","gene","astrocytes"
0.000320946721305417,3,"Ndfip2","gene","astrocytes"
1.30712340906173e-05,2,"Ndufab1","gene","astrocytes"
0.000590592269574403,4,"Ndufs5","gene","astrocytes"
1.38871479468258e-05,2,"Neurl4","gene","astrocytes"
0.00116721947422651,4,"Nme1","gene","astrocytes"
0.000404456904232561,3,"Nol6","gene","astrocytes"
0.000409096017468122,2,"Nrap","gene","astrocytes"
1.97891324504321e-05,1,"Nsun5","gene","astrocytes"
0.000415663093223714,3,"Nsun6","gene","astrocytes"
0.000380780028400852,4,"Nudt9","gene","astrocytes"
3.28885096471498e-05,1,"Paf1","gene","astrocytes"
0.000728264792347014,3,"Parg","gene","astrocytes"
0.00173156718280238,1,"Parp1","TF","astrocytes"
