"score","com","name","entity","cell_type"
1.97471879534116e-05,3,"1700016H13Rik","gene","Bcell"
6.04709036422564e-05,4,"2510039O18Rik","gene","Bcell"
6.15262304053287e-05,3,"4922502D21Rik","gene","Bcell"
4.05697473588685e-05,1,"4930579G24Rik","gene","Bcell"
0.000741480233245171,4,"Aasdh","gene","Bcell"
0.000150623748047458,1,"Abcc10","gene","Bcell"
0.000175594138007352,1,"Abt1","gene","Bcell"
5.26209626421531e-05,1,"Aff1","gene","Bcell"
0.000184124264529109,3,"Anapc7","gene","Bcell"
0.000460604243674575,4,"Anp32a","gene","Bcell"
0.00176506511245521,1,"Apex1","TF","Bcell"
0.000293489698551511,1,"Apex1","gene","Bcell"
0.000134275971134745,3,"Apopt1","gene","Bcell"
0.000180654813858975,1,"Arl5b","gene","Bcell"
0.000176481866209583,1,"Asb7","gene","Bcell"
0.000162604687837731,3,"Bag5","gene","Bcell"
0.00315355266888795,3,"Bcl11a","TF","Bcell"
5.11706850343449e-05,1,"Bcl11a","gene","Bcell"
2.802366531356e-05,1,"Bet1l","gene","Bcell"
0.000108311145164917,3,"Bmp5","gene","Bcell"
0.00181217582254629,1,"Brca1","TF","Bcell"
6.19797816691032e-05,1,"Brca1","gene","Bcell"
0.000223844011064578,3,"Casc1","gene","Bcell"
0.000304306775792619,1,"Ccdc174","gene","Bcell"
0.000112458568021408,3,"Ccdc184","gene","Bcell"
0.000108714025768755,1,"Cdk8","gene","Bcell"
0.000169687479208025,3,"Cdkn2c","gene","Bcell"
0.00206521046998052,1,"Cebpb","TF","Bcell"
0.000140554839408541,3,"Cebpb","gene","Bcell"
6.20892872598621e-05,1,"Cep192","gene","Bcell"
8.30983798958843e-05,3,"Cep290","gene","Bcell"
0.000245838280532873,1,"Cept1","gene","Bcell"
9.57457614968153e-05,1,"Chek1","gene","Bcell"
9.73433203352467e-05,3,"Cherp","gene","Bcell"
1.32560316933404e-05,3,"Ciao3","gene","Bcell"
2.84583870889583e-05,1,"Clec16a","gene","Bcell"
3.48815889757656e-05,1,"Cnih2","gene","Bcell"
0.000318177369309192,4,"Cnpy1","gene","Bcell"
0.000185298757108599,1,"Cox4i1","gene","Bcell"
0.00033344981532955,4,"Crls1","gene","Bcell"
4.90240636061309e-05,3,"Ctnnbl1","gene","Bcell"
7.2899131501412e-05,3,"Cwf19l2","gene","Bcell"
4.21870061585802e-05,3,"Cyb5d2","gene","Bcell"
3.45068488069852e-05,3,"Czib","gene","Bcell"
0.00018454278461226,3,"D230025D16Rik","gene","Bcell"
0.000231442707552846,1,"Dcaf8","gene","Bcell"
7.82645879278003e-05,1,"Ddi2","gene","Bcell"
0.000224398769675023,3,"Dgcr6","gene","Bcell"
9.6294381328392e-05,3,"Dlat","gene","Bcell"
9.35699874146325e-05,1,"Dnajc19","gene","Bcell"
4.41373296762564e-05,3,"Dntt","gene","Bcell"
0.000389295863759076,1,"Dph5","gene","Bcell"
9.21759789159599e-05,4,"Dpy30","gene","Bcell"
7.0510779734875e-05,1,"Dram2","gene","Bcell"
0.000567565631946021,3,"E4f1","TF","Bcell"
0.000197807170501441,3,"E4f1","gene","Bcell"
2.92953669254929e-05,1,"Eed","gene","Bcell"
0.000154271271608416,3,"Eef1g","gene","Bcell"
4.51327390918695e-05,1,"Eif3d","gene","Bcell"
0.000406544802725894,1,"Eif3k","gene","Bcell"
0.0003920478690023,1,"Eif4a2","gene","Bcell"
0.000236202989058613,1,"Eif4b","gene","Bcell"
0.00185353804941695,1,"Elp3","TF","Bcell"
0.000368973030927805,2,"Elp3","gene","Bcell"
9.27517134479936e-05,1,"Emc8","gene","Bcell"
7.77935237700964e-05,1,"Epc2","gene","Bcell"
0.000150556541307657,3,"Eprs","gene","Bcell"
4.29995919130625e-05,1,"Esyt1","gene","Bcell"
0.000351414354913528,1,"Etfdh","gene","Bcell"
0.000240826196671656,3,"Etfrf1","gene","Bcell"
0.000338464982099957,3,"Faap100","gene","Bcell"
9.2756276268261e-05,1,"Faf1","gene","Bcell"
4.81758163515036e-05,1,"Fam174b","gene","Bcell"
0.000332517823832498,1,"Fam229b","gene","Bcell"
0.000164488997685158,3,"Fkbp15","gene","Bcell"
0.000160100951064101,1,"Fktn","gene","Bcell"
0.000350506420147687,3,"Ggcx","gene","Bcell"
0.000499262073259744,4,"Gm156","gene","Bcell"
0.000260690854539215,3,"Gnl3","gene","Bcell"
4.34315659903811e-05,3,"Golga7","gene","Bcell"
5.98007562709113e-05,3,"H13","gene","Bcell"
0.000306431969361722,1,"Hax1","gene","Bcell"
0.00727312157876345,2,"Hmga1","TF","Bcell"
0.000149228609928236,3,"Hmga1","gene","Bcell"
0.000380692651839983,4,"Hmga1b","gene","Bcell"
0.00136257717025979,1,"Hoxa10","TF","Bcell"
7.4394355171725e-05,1,"Hoxa10","gene","Bcell"
0.00173573988090932,1,"Hoxa9","TF","Bcell"
0.000131900724717677,1,"Hoxa9","gene","Bcell"
0.000132218944667034,1,"Hs2st1","gene","Bcell"
0.000234922879091048,3,"Ift122","gene","Bcell"
0.000519590851902533,4,"Ipo8","gene","Bcell"
0.000227841054763859,1,"Itfg1","gene","Bcell"
0.000268337532382179,4,"Kif1bp","gene","Bcell"
9.00787361110155e-05,1,"Klc1","gene","Bcell"
4.2910716813854e-05,3,"Klhdc9","gene","Bcell"
3.64206583721017e-05,3,"Klre1","gene","Bcell"
0.000240275959979355,4,"Klri1","gene","Bcell"
0.00130397340003152,2,"Klri2","gene","Bcell"
5.22125465826718e-05,1,"Kmt2a","gene","Bcell"
0.000126223731988533,3,"Leo1","gene","Bcell"
0.00033843765650301,3,"Lins1","gene","Bcell"
0.000346435454940513,1,"Lrrcc1","gene","Bcell"
0.000140646242164744,1,"Lsm4","gene","Bcell"
0.000129423378321971,1,"Map4k1","gene","Bcell"
0.000221327692872858,3,"Mbd4","gene","Bcell"
9.62163813671152e-05,1,"Mcts1","gene","Bcell"
0.00184511225569431,1,"Med1","TF","Bcell"
5.90259146574732e-05,3,"Med1","gene","Bcell"
9.4740456757994e-05,3,"Med29","gene","Bcell"
0.00955368945233445,2,"Mef2c","TF","Bcell"
0.000479702255478791,4,"Mef2c","gene","Bcell"
3.58656819460093e-05,1,"Mks1","gene","Bcell"
0.000139348795389028,1,"Mpc1","gene","Bcell"
8.28779267700033e-05,1,"Mpnd","gene","Bcell"
0.000307536845840325,3,"Mrfap1","gene","Bcell"
0.000160344313047892,3,"Mrpl15","gene","Bcell"
0.000134834427250175,1,"Mrps12","gene","Bcell"
0.000643456282178182,4,"Mrps16","gene","Bcell"
0.00135505026616572,3,"Myb","TF","Bcell"
0.000400664276659851,2,"Myb","gene","Bcell"
0.00146433233097128,3,"Myc","TF","Bcell"
0.000322403327801736,1,"Myc","gene","Bcell"
0.00014752215132809,1,"Myo9a","gene","Bcell"
0.00221550962422349,3,"Mzf1","TF","Bcell"
2.30493639783749e-05,3,"Mzf1","gene","Bcell"
9.8575309258194e-05,1,"Naa30","gene","Bcell"
0.000172960849112204,1,"Naaladl2","gene","Bcell"
2.13628704244088e-05,3,"Nap1l2","gene","Bcell"
5.53027346532641e-05,1,"Nbr1","gene","Bcell"
0.0020267690699901,1,"Ncoa5","TF","Bcell"
5.38442053836354e-05,1,"Ncoa5","gene","Bcell"
3.16214171645095e-05,1,"Ndfip2","gene","Bcell"
8.30784793261499e-05,1,"Ndufab1","gene","Bcell"
0.000241761972311734,1,"Ndufs5","gene","Bcell"
0.000345432907349957,1,"Neurl4","gene","Bcell"
0.00025215273221659,2,"Nme1","gene","Bcell"
3.06815984305402e-05,3,"Nol6","gene","Bcell"
5.15619746340501e-05,3,"Nrap","gene","Bcell"
0.000259472594546696,3,"Nsun5","gene","Bcell"
5.54415526361772e-05,3,"Nsun6","gene","Bcell"
0.000319029897725965,1,"Nudt9","gene","Bcell"
0.00021579387124793,1,"Paf1","gene","Bcell"
0.000313301635171634,3,"Parg","gene","Bcell"
0.00185916635165948,1,"Parp1","TF","Bcell"
8.14403119428373e-05,1,"Parp1","gene","Bcell"
0.00200231632104695,1,"Pbrm1","TF","Bcell"
7.44127685937536e-05,1,"Pbrm1","gene","Bcell"
0.000354865929551823,3,"Pcnx4","gene","Bcell"
0.000271484265066428,4,"Pde4d","gene","Bcell"
7.68364042290898e-05,3,"Pdpr","gene","Bcell"
4.27727932599897e-05,1,"Pdss2","gene","Bcell"
0.000131396000040876,3,"Phf6","gene","Bcell"
0.000106589434646769,1,"Phf8","gene","Bcell"
0.000105909198137918,1,"Phkb","gene","Bcell"
