"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"1","query_1",TRUE,0.00466493916813721,157,140,8,0.0571428571428571,0.0509554140127389,"GO:0002181","astrocytes","cytoplasmic translation",27205,746,"ISS IEA,IDA ISS ISO IEA,IEA,IBA,IBA,ISO IBA IEA,NAS,IBA","Dph5,Eif3d,Eif3k,Eif4a2,Eif4b,Mcts1,Rps16,Zc3h15"
"2","query_1",TRUE,0.00486043585921153,39,140,5,0.0357142857142857,0.128205128205128,"GO:0002183","astrocytes","cytoplasmic translational initiation",27205,748,"IDA ISS ISO IEA,IEA,IBA,IBA,ISO IBA IEA","Eif3d,Eif3k,Eif4a2,Eif4b,Mcts1"
"3","query_1",TRUE,0.0116917625590593,237,140,9,0.0642857142857143,0.0379746835443038,"GO:0071824","astrocytes","protein-DNA complex subunit organization",27205,17882,"NAS,NAS,ISO,IBA IEA,IEA,IEA,ISS ISO IEA,IEA,IDA","Med1,Med29,Myc,Nap1l2,Rad52,Set,Taf13,Taf5,Tcf4"
"4","query_1",TRUE,0.0121437846108975,376,140,11,0.0785714285714286,0.0292553191489362,"GO:0018205","astrocytes","peptidyl-lysine modification",27205,5568,"IMP,IDA,IBA,IMP,ISO NAS IEA,IMP ISO IBA IEA,IDA IMP,ISO IEA,IBA,IBA,IEA","Bcl11a,Chek1,Dpy30,Eed,Epc2,Kmt2a,Nap1l2,Ndufab1,Senp8,Setbp1,Taf5"
"5","query_1",TRUE,0.0180156698179326,643,140,14,0.1,0.0217729393468118,"GO:0006325","astrocytes","chromatin organization",27205,2169,"IMP,ISS ISO IEA,IDA IMP IEA,IEA,ISS ISO IEA,IBA,ISS ISO,IBA IEA,NAS IEA,ISS ISO IEA,IEA,IEA,IEA,IEA","Chek1,Dpy30,Eed,Epc2,Kmt2a,Mpnd,Myc,Nap1l2,Pbrm1,Phf8,Selenof,Set,Supt5,Zzef1"
"6","query_1",TRUE,0.045669819093285,214,140,8,0.0571428571428571,0.0373831775700935,"GO:0065004","astrocytes","protein-DNA complex assembly",27205,16809,"NAS,NAS,IBA IEA,IEA,IEA,ISS ISO IEA,IEA,IDA","Med1,Med29,Nap1l2,Rad52,Set,Taf13,Taf5,Tcf4"
"7","query_1",TRUE,0.000327424844518399,376,121,12,0.0991735537190083,0.0319148936170213,"GO:0018205","opcs","peptidyl-lysine modification",27205,5568,"IMP,IMP ISO IBA IEA,IDA,IBA,IMP,ISO NAS IEA,ISO IEA,IMP ISO IBA IEA,ISO IEA,IBA,IBA,IEA","Bcl11a,Brca1,Chek1,Dpy30,Eed,Epc2,Gnl3,Kmt2a,Ndufab1,Senp8,Setbp1,Taf5"
"8","query_1",TRUE,0.034928152250469,493,121,11,0.0909090909090909,0.0223123732251521,"GO:0016570","opcs","histone modification",27205,5382,"IMP ISO IBA NAS IEA,IDA IEA,IBA,IMP IEA,ISO NAS IEA,ISO IBA IEA,ISO IEA,IBA,IEA,IBA,IEA","Brca1,Chek1,Dpy30,Eed,Epc2,Kmt2a,Leo1,Parg,Phf8,Setbp1,Taf5"
"9","query_1",TRUE,0.0486093749252785,12,121,3,0.0247933884297521,0.25,"GO:0002223","opcs","stimulatory C-type lectin receptor signaling pathway",27205,775,"IDA IBA,IBA,IBA","Klre1,Klri1,Klri2"
"10","query_1",TRUE,0.000327424844518399,376,121,12,0.0991735537190083,0.0319148936170213,"GO:0018205","pericytes","peptidyl-lysine modification",27205,5568,"IMP,IMP ISO IBA IEA,IDA,IBA,IMP,ISO NAS IEA,ISO IEA,IMP ISO IBA IEA,ISO IEA,IBA,IBA,IEA","Bcl11a,Brca1,Chek1,Dpy30,Eed,Epc2,Gnl3,Kmt2a,Ndufab1,Senp8,Setbp1,Taf5"
"11","query_1",TRUE,0.034928152250469,493,121,11,0.0909090909090909,0.0223123732251521,"GO:0016570","pericytes","histone modification",27205,5382,"IMP ISO IBA NAS IEA,IDA IEA,IBA,IMP IEA,ISO NAS IEA,ISO IBA IEA,ISO IEA,IBA,IEA,IBA,IEA","Brca1,Chek1,Dpy30,Eed,Epc2,Kmt2a,Leo1,Parg,Phf8,Setbp1,Taf5"
"12","query_1",TRUE,0.0486093749252785,12,121,3,0.0247933884297521,0.25,"GO:0002223","pericytes","stimulatory C-type lectin receptor signaling pathway",27205,775,"IDA IBA,IBA,IBA","Klre1,Klri1,Klri2"
"13","query_1",TRUE,0.00850928686866504,92,37,4,0.108108108108108,0.0434782608695652,"GO:0006368","fibro_cortex","transcription elongation by RNA polymerase II",27205,2191,"ISS ISO IBA IEA,NAS,ISS ISO IEA,IEA","Leo1,Med29,Paf1,Tcea1"
"14","query_1",TRUE,0.0128095457859153,32,37,3,0.0810810810810811,0.09375,"GO:0010390","fibro_cortex","histone monoubiquitination",27205,4183,"NAS,ISO IEA,ISO IEA","Brca1,Leo1,Paf1"
"15","query_1",TRUE,0.0166651588982532,109,37,4,0.108108108108108,0.036697247706422,"GO:0006354","fibro_cortex","DNA-templated transcription elongation",27205,2179,"ISS ISO IBA IEA,NAS,ISS ISO IEA,IEA","Leo1,Med29,Paf1,Tcea1"
"16","query_1",TRUE,0.0412920743787192,47,37,3,0.0810810810810811,0.0638297872340425,"GO:0016574","fibro_cortex","histone ubiquitination",27205,5385,"NAS,ISO IEA,ISO IEA","Brca1,Leo1,Paf1"
"17","query_1",TRUE,0.00204282347872969,31,67,4,0.0597014925373134,0.129032258064516,"GO:0061647","excitatory_neurons","histone H3-K9 modification",27205,16513,"IMP ISO IEA,IDA,ISO,IDA","Brca1,Chek1,Myb,Nap1l2"
"18","query_1",TRUE,0.00471962146759822,11,67,3,0.0447761194029851,0.272727272727273,"GO:2000615","excitatory_neurons","regulation of histone H3-K9 acetylation",27205,27177,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"19","query_1",TRUE,0.00628173232506113,12,67,3,0.0447761194029851,0.25,"GO:0043970","excitatory_neurons","histone H3-K9 acetylation",27205,11492,"IMP ISO IEA,IDA,IDA","Brca1,Chek1,Nap1l2"
"20","query_1",TRUE,0.038806896902457,64,67,4,0.0597014925373134,0.0625,"GO:0043966","excitatory_neurons","histone H3 acetylation",27205,11488,"IMP ISO IEA,IDA,IDA,IEA","Brca1,Chek1,Nap1l2,Taf5"
