"","gene","astrocytes","excitatory_neurons","fibro_cortex","inhibitory_neurons","microglia","mural","oligodendrocytes","opcs"
"1","0610005C13Rik",867.60783546866,562.219703406559,652.412348975057,638.125669783708,506.613162012951,496.792465370978,609.442201452522,666.595872917228
"2","0610009B22Rik",516.988230058418,857.318189695735,1047.72963948438,905.789395794448,369.541288847427,906.814205732687,881.36810057369,705.699682144439
"3","0610009L18Rik",820.739182675378,862.44401851752,829.874514708167,851.567619396719,325.26263944404,301.810952420977,538.178798596135,530.23220185778
"4","0610010F05Rik",840.842995331953,847.177475368358,838.87300863718,848.890589971924,353.048023451092,711.820522050081,760.156246285148,756.468714196006
"5","0610010K14Rik",1003.99313812648,996.860164500126,733.349573325314,994.310500650488,629.924393391018,637.404953484426,896.461407324382,911.960954066024
"6","0610012G03Rik",731.906539317782,698.01969268929,563.380666212157,719.939822317659,323.005776184479,551.624713083605,632.01099626254,475.500965450376
"7","0610030E20Rik",887.546111962133,773.849654157068,909.512292644461,824.004472621389,606.744145956639,851.461287241358,838.805284794133,798.494806303225
"8","0610031O16Rik",735.111747081134,838.654048561195,706.56776682178,387.043221392499,319.57669100238,507.861072767381,555.040695083736,512.568858650772
"9","0610038B21Rik",1452.70838745958,1158.4642070716,796.08414700452,454.873003346698,363.090351254873,864.444445097739,637.426385236078,719.596911282569
"10","0610039K10Rik",780.62171582284,1565.33265764399,823.146436696783,532.859282387867,503.11644399491,585.85945406926,644.817623077224,636.26042681861
"11","0610040B10Rik",719.46270005344,511.188406068628,627.89783153406,546.362688589055,357.972018462751,896.369981445442,629.236624984222,611.629500031516
"12","0610040F04Rik",776.265879776403,1080.75028332418,981.585951895137,1068.58997486859,598.019963324078,1022.0826444458,1001.46398639968,740.715528068
"13","0610040J01Rik",722.419292458396,890.686299987874,945.889176904611,936.29426082828,616.501249480761,450.900068913449,557.714651166326,865.041414197496
