"","gene","astrocytes","excitatory_neurons","fibro_cortex","inhibitory_neurons","microglia","mural","oligodendrocytes","opcs"
"1","0610005C13Rik",893.758073615401,613.455936578236,524.034264172711,1085.67964820764,561.205892577892,379.448510802565,676.138334023151,1074.14541742105
"2","0610009B22Rik",970.156940804938,963.702998624649,891.810784235225,963.294711954141,574.484955609552,711.681616475037,805.014842330674,914.286949243759
"3","0610009L18Rik",841.717147489699,669.864589051405,760.640880115994,852.810450677633,341.138496660282,346.995574612643,665.741894566515,759.205873441327
"4","0610010F05Rik",878.704604486208,822.642399491198,815.609422653779,815.509445525595,503.831103394357,588.570234835405,669.559505825937,784.542658781575
"5","0610010K14Rik",1035.46588095241,952.159664631933,945.839456804765,985.695161249702,579.463950617892,606.091789464627,803.632477842595,906.758815201632
"6","0610012G03Rik",707.98863218902,695.337718801139,699.743577456464,731.481500498698,263.994331694906,204.322312519275,614.513274455249,498.029821612701
"7","0610030E20Rik",946.110080534253,900.639697371311,880.198472926761,905.79247964997,480.460558658694,568.043540550163,707.468851226789,871.733991931956
"8","0610031O16Rik",880.870557946646,432.929814683308,666.71087055782,783.040466690202,389.518886616247,304.650982932226,394.663170709923,591.311761376637
"9","0610038B21Rik",827.980827914904,722.452649526879,672.078760187042,491.402483842651,490.886274517223,369.396378700054,390.241025254475,782.813872951319
"10","0610039K10Rik",568.142628669365,736.026950333525,776.251819915492,570.373920443509,632.761801857561,487.640060052293,627.449022548042,685.762419511513
"11","0610040B10Rik",670.618848194348,638.656501456857,524.26768765341,700.53241396656,248.659800145403,217.090699299124,345.625252780416,622.238562155403
"12","0610040F04Rik",1113.05407753014,1046.00866394862,1022.45409188919,803.051795723733,681.968653943011,690.846177079966,899.020889731372,911.349526200189
"13","0610040J01Rik",992.51761307231,873.091382056719,912.210930617861,920.123017537798,410.321316868114,574.733026725148,538.248590570069,904.575828053681
"14","0610043K17Rik",819.10378951822,816.246109287891,785.866137740597,811.322136292313,559.892098178413,411.347341431993,588.408246495843,620.466436618757
"15","1010001N08Rik",787.337970788765,556.45125633916,585.774683237397,988.762872487428,479.234732364559,394.596313007047,371.83086779521,451.510190934073
"16","1110002J07Rik",686.682027181225,907.620700549637,927.360032936468,726.16420187714,527.05761732388,508.679685829053,477.278834997424,916.55561136772
"17","1110002L01Rik",811.369104658088,761.565212164615,677.364143582373,769.265547084222,376.075535457385,435.254478581542,593.596611813547,671.800262661466
"18","1110004F10Rik",770.760064684068,703.681404111452,631.843555199283,725.91750401748,403.896783069134,349.148214445837,293.247409608162,601.17515210776
"19","1110006O24Rik",815.514405092487,343.649419152561,349.183416295801,497.878705563225,275.750887122923,445.202698295211,285.889684312925,715.852830587639
"20","1110008P14Rik",978.89406975276,920.655060522417,924.135221276086,918.078794699009,630.217628463379,564.359596986338,722.206436347237,913.271028659151
"21","1110012L19Rik",831.572866230744,1002.16083075482,1071.67505656176,1007.65839258938,694.131129964134,634.422089140214,658.745906136144,863.291146144165
"22","1110015O18Rik",539.476583882962,711.440505382256,1474.73002589556,1542.25670978015,382.957720571588,397.936336838469,584.466738063127,686.903687363092
"23","1110017D15Rik",1053.04732471051,1037.62292535408,943.168673484022,1040.31604934224,728.900898131987,573.648808594312,643.288502164882,965.834718735342
"24","1110019D14Rik",674.920813715709,635.161942712726,572.906928556433,557.55726869834,348.355786612976,384.158189395559,445.006438612132,523.139961973032
"25","1110020A21Rik",890.205737334143,869.71995324785,869.289534785577,887.388579522876,580.134410597858,469.152062837419,842.109902097387,655.743275494641
"26","1110025L11Rik",1018.65014152575,1132.39870432164,787.123528543712,910.93114110752,474.88486172484,464.590321827648,463.006336648632,700.366344354412
"27","1110028F11Rik",578.8021759565,879.30172301415,716.35722575767,838.336113622147,449.702229950082,444.563070834813,612.239985218858,734.431136605768
"28","1110028F18Rik",867.981025510043,562.461165162509,654.702082982653,381.873159631763,456.905558031858,452.564381795773,419.677103284247,577.229860433263
"29","1110032A03Rik",872.925785647587,859.835682969394,880.457025622649,873.266487440024,667.018228810833,588.647165827127,469.693912978345,741.390162398592
"30","1110032F04Rik",1201.09394990747,606.615507945276,952.083946565353,545.532734297158,459.247770000205,553.660796426513,552.241694297068,1172.63907477981
"31","1110038B12Rik",965.979546722603,921.692513677103,899.978563047509,926.096120945218,475.884677082913,600.373996690282,738.248783189037,599.672922245712
"32","1110038F14Rik",1008.90476823045,969.227059938038,948.38903464187,913.14568484048,542.757060201087,640.836068253926,630.398117003417,864.774727726379
"33","1110046J04Rik",995.203819463724,940.799248924822,770.162847613089,763.192978322895,513.077364364771,582.859014294096,440.567117416337,741.583187896096
"34","1110051M20Rik",946.397983749782,913.792061918586,892.017808610586,914.047544736412,650.039352087649,729.002510359952,650.421564422635,847.127392103658
"35","1110059E24Rik",873.569814721356,800.845307998884,745.455045508697,777.773136906948,345.515885529257,341.956491937015,659.347609902274,721.081150935483
"36","1110059G10Rik",832.342604925259,782.406787789032,679.147186430443,547.795953392406,384.025396833146,329.279856741973,573.128786036994,506.977593242047
"37","1110065P20Rik",875.298354039095,892.645633719758,632.797875407506,897.857864534559,556.81167018911,337.435798309792,507.359800428012,741.234745732494
"38","1190005I06Rik",1102.44118704565,1059.76295943344,862.661687400941,678.008241155472,768.11477528119,576.10930363012,791.831801268203,1009.60045823983
"39","1190007I07Rik",936.067735866946,926.333499366758,834.275603598251,889.316752379351,643.592915575768,519.66839534961,792.488351376634,873.475147431133
"40","1300002E11Rik",976.133906499684,938.829444834545,859.349540789813,934.175762174601,613.016528534858,542.383692030434,761.7569383349,831.327118948836
"41","1300017J02Rik",721.28243050564,899.694766793549,629.518291493571,624.711890658166,684.674219418713,727.542785584332,591.831224748458,877.392280827349
"42","1500004A13Rik",907.98429857688,864.788816657366,841.741213999733,865.965120389735,503.577344985626,515.031779525852,643.015015320498,818.01915017524
"43","1500009C09Rik",968.824853073269,1122.31387960389,1178.32827444785,1036.90290444685,823.747599740828,751.554969763347,924.241703080025,721.806731548882
"44","1500009L16Rik",886.959390534486,988.781757084147,952.83306824299,991.421532204454,597.957603518456,518.935636785226,711.510520571367,692.508454508938
"45","1500011B03Rik",990.674636063745,971.429986727667,935.998326038435,964.951722517131,651.482352272706,602.294186678657,784.972964061069,828.59633485454
"46","1500012K07Rik",1500.32727878865,719.283492517675,577.0495619539,1242.31138072446,309.313729221134,223.222911530979,332.140461706917,536.021419931221
"47","1500015A07Rik",802.9754062671,710.665316452479,737.606131425871,716.304422559554,331.878097310035,440.073258073673,423.406622036771,436.741204154346
"48","1500015L24Rik",717.985388158469,1492.95753784813,790.478126696656,552.376092478144,572.753548455581,408.743491652773,652.829882407407,1318.27483538292
"49","1500026H17Rik",830.408936016533,669.97609004322,760.77660531788,766.348664326156,332.833104486062,315.450379926704,541.572423818676,737.8383300736
"50","1600002D24Rik",1082.07917568302,1046.49764046746,700.269194017835,587.380876818271,697.830633539349,617.000721473,781.408433901846,559.768569532339
"51","1600002K03Rik",1056.8003703159,1062.56114464124,493.466635560335,1064.0643019274,394.347198554332,567.543798796494,753.863498996553,1017.2518650125
"52","1600010M07Rik",884.290705061052,853.431700099316,817.637979010888,849.774419147592,429.200263683583,559.102262083246,677.369258576973,634.462202026984
"53","1600012H06Rik",889.485729882485,865.048971622379,834.349311711081,859.763054006393,281.469582931755,253.892579356499,627.282805003446,746.81515537281
"54","1600014C10Rik",1048.61181035153,1014.15482164431,1008.96916122856,831.774484653676,447.217105787658,580.558115403853,790.875914115837,975.747763798718
"55","1600014C23Rik",1047.48435445431,700.852157083798,768.963654741848,886.777552717232,630.550081092766,625.446547023025,591.528501536291,810.365152800044
"56","1600019K03Rik",1191.34648396652,1305.43872449554,965.300400350276,1089.89633364275,673.938937036683,670.003280467977,673.307984033745,885.587966400415
"57","1600020E01Rik",896.399521901751,909.179215862214,744.243221164462,902.904873530518,336.284643382469,584.319400516551,545.589618819585,746.333819331754
"58","1600025M17Rik",1763.97648660931,648.927977958694,853.717868060183,947.818881084392,395.487719681631,408.525269266018,533.663749173869,1365.70574158885
"59","1600027J07Rik",997.97754367722,637.371751387418,777.723220474367,896.33832679968,396.721262096539,391.887730615544,479.682496106801,700.118841435952
"60","1700001C02Rik",1550.83521362671,847.568701109266,704.32039249019,815.211341133224,521.241807103605,516.750527655471,484.009917455534,625.103723146216
"61","1700001C19Rik",865.474061218239,691.570314012215,727.475077289032,686.77484884617,584.589504126354,746.675525003142,701.577202404113,628.7589587057
"62","1700001D01Rik",847.200181419341,1623.35257647951,842.735140371755,1570.49549927763,470.344803048709,731.853193472705,536.749281241112,905.542574793322
"63","1700001F09Rik",1023.0421896372,379.890112894902,794.791111731341,916.272939607999,370.940014882233,377.364903135469,489.713389672202,711.472122060291
"64","1700001G01Rik",522.882332081335,1679.32462369887,761.998304456478,602.389039079945,485.184374025026,478.847587984605,457.86960954404,682.986938965129
"65","1700001G11Rik",902.191933316691,910.659240804157,412.734876857633,882.711344124048,497.66921379668,426.56701930034,702.438646849092,589.655237389978
"66","1700001J03Rik",530.055509441385,523.622463370545,875.428344560252,891.436224093025,445.410105072977,441.265505786189,622.605547266978,592.666427315138
"67","1700001K19Rik",1053.92341379331,802.236445496513,1009.87508989709,471.633085645868,484.320087264527,398.79748643557,705.022812134966,1088.11530421482
"68","1700001K23Rik",891.049009934775,787.683027329909,1133.36728825234,582.580324886444,576.001837599883,427.489750369469,827.400729510598,845.24498535419
"69","1700001L05Rik",671.865266931743,911.18901680452,910.013142847551,981.376966096841,553.212515525344,576.562760895477,477.932162619914,781.607071203601
"70","1700001L19Rik",876.296723366281,892.232008013394,510.748844311708,824.48640291434,415.212874734401,542.965857550642,365.935802371091,554.755067590252
"71","1700001O22Rik",845.580025694503,1000.74750447673,936.154188749101,993.857498153085,798.327583007113,635.740967836597,773.063310806641,544.901271427066
"72","1700001P01Rik",571.578599110399,923.029663669386,1129.21899579774,826.035298515913,457.786466649316,534.645697419147,789.33558574997,472.369173443496
"73","1700003C15Rik",857.386053754627,507.813427044394,653.314238525665,389.930715187123,466.970449745799,462.070886728632,425.544674568533,579.157339252198
"74","1700003D09Rik",758.819009604199,1211.49971657212,694.119849928224,327.040933401455,398.605745607995,230.949913476061,433.658802138456,575.947646497409
"75","1700003E16Rik",1202.33190015632,599.750661369753,1252.60795135311,515.91941787579,494.560037509989,237.610295015091,418.059674169924,546.55556770212
"76","1700003E24Rik",901.590314494248,1034.28297189679,663.143356243191,1434.04296703863,235.318913075444,242.893307495068,354.419160952467,580.498044126772
"77","1700003F12Rik",903.818557654971,880.32465889947,874.045778782576,836.9236862109,643.941658093081,560.625858332868,763.625747736336,846.52042399201
"78","1700003G18Rik",676.123108124584,646.884101217227,595.795930730031,647.667512556704,514.305306851506,245.208827247296,221.980946932633,422.672311994866
"79","1700003H04Rik",1029.35343507589,414.569627796029,801.191534408141,922.55672784026,363.587846661214,375.591807584047,487.895484588981,718.821966915777
"80","1700003I22Rik",951.117031191284,888.919198211952,738.987831844305,851.191267754723,430.844394337664,423.699106930096,453.80356744971,660.657361812984
"81","1700003L19Rik",755.54093157131,783.597906738305,753.719220423448,852.29199834391,416.004828346375,383.931308266243,502.652815231672,589.271729394673
"82","1700003M07Rik",1101.66680942851,772.009007667035,826.575749910875,1033.63254789427,684.915692774353,605.019259494282,783.982041938519,525.871771348937
"83","1700003P14Rik",1071.01081622741,771.048851333404,835.793759485482,628.786436527415,432.150966003746,427.752500872081,509.448200905963,749.189518037632
"84","1700006A11Rik",961.661066817432,1078.75761441803,732.692338271494,855.530250997021,415.745415209956,411.493335184391,408.989758136449,651.034930331371
"85","1700006F04Rik",1270.08603643279,744.155827453805,1115.08374298109,549.41921956383,371.937754973737,414.25053201802,514.085419321523,550.809128646012
"86","1700006H21Rik",890.853300077071,998.488220442332,681.355026572625,795.22544099843,502.550641045503,499.30066226631,467.280352505891,603.748311652461
"87","1700007F19Rik",851.156330817972,768.431184672263,1210.93172518011,669.55025913326,508.176649608668,415.422553263819,690.039128775015,625.917670995499
"88","1700007J10Rik",807.312598041445,739.905828064981,765.286806433287,546.384334022637,643.587708622005,483.550159880348,598.893579547707,714.259012838301
"89","1700007K13Rik",809.163491096745,719.994324117495,741.471369281977,692.319046556387,439.694092996614,433.467734794532,435.407517594508,817.678257341176
"90","1700007L15Rik",599.813838053713,593.641317341966,520.152767550384,542.589353003297,200.624231986351,199.476515929842,418.26919659599,649.246186716973
"91","1700007P06Rik",1452.49920625459,750.390206978138,696.849185747653,1506.10885388241,328.34766304875,339.067560355496,882.018201734889,677.640664795009
"92","1700008C04Rik",850.792627096987,824.890123337827,676.094111815828,816.366836811863,415.935561937033,409.218398162965,413.824054691267,651.47712295658
"93","1700008J07Rik",1089.93950064683,546.631437742285,633.541317554301,1036.65520031943,630.051355342555,583.131411817922,784.312221020054,811.737197665483
"94","1700008K24Rik",859.450209004232,458.285553816255,651.060518416383,458.223004375673,435.191060975697,430.963022947044,390.656910133531,576.077295240943
"95","1700008O03Rik",963.296512560515,904.772628186465,528.321476763171,612.632313933069,378.223178560956,438.389244556681,705.031772966445,875.936843188473
"96","1700008P02Rik",1111.97971063837,1222.17726518819,884.741226803336,1006.36795851728,462.228524996645,470.529596265368,579.480250695543,803.465766959449
"97","1700009C05Rik",554.59972794198,823.374239921555,817.451089300951,631.333224355448,415.320936061604,415.689075463513,583.427333444528,732.886170872261
"98","1700009J07Rik",852.753177819039,962.565322713585,644.52334370072,1348.90310300324,329.125194879067,375.165171816292,358.237485658672,569.950543955979
"99","1700009N14Rik",1008.51110534459,722.545215759709,782.647446173125,903.894541789263,560.259082828349,490.970523803695,457.526650740535,700.113634186651
"100","1700010B08Rik",870.998271189864,493.993292609993,663.262107994192,775.040534777269,390.522192271977,385.115856002214,380.936426434642,586.735740334698
"101","1700010D01Rik",1019.95765280423,611.226022221174,788.394438649514,911.520378764852,371.620679836351,368.502615858232,465.848985530652,699.419566795389
"102","1700010I02Rik",1142.54663070073,1046.13888386888,910.985823731271,1033.97112272943,463.010607072707,473.516971832635,589.448288239923,825.424954092969
"103","1700010I14Rik",913.177739917181,557.029472847727,1057.30337454093,939.842718841427,543.867250094611,472.297426196919,720.043857417462,691.24988037029
"104","1700010J16Rik",1588.84394963283,883.70850668702,849.914223958392,873.57701758486,476.189131914363,470.169696381333,405.709654415598,633.184397462951
"105","1700010K23Rik",699.056479222584,895.421001956123,496.832514969315,667.30692927744,473.76928560332,486.922226257054,581.400539049889,1428.28553396335
"106","1700011B04Rik",1062.55757984963,437.850597379168,831.260868333615,957.475180826369,403.088329569052,407.922461954651,511.508596902381,745.789987332032
"107","1700011C11Rik",656.153333391611,787.151539807892,751.186553187654,919.41927944501,615.029066774767,548.198549624032,506.995890125757,667.685642960302
"108","1700011L22Rik",1099.73229150893,794.910283326196,782.890576764353,1585.39549494932,663.482736037417,446.931370428218,781.733125126363,737.199006595704
"109","1700011M02Rik",781.129204167576,810.88532347869,576.764944650043,686.616899031155,369.785605635134,366.483895699139,342.864235464745,491.152118344729
"110","1700012A03Rik",980.260950783639,675.859157414502,760.490589429248,876.71239173463,412.808504118098,404.280989107859,463.061728568082,678.703334134526
"111","1700012B07Rik",921.846356741653,1299.5050360275,702.057438837626,821.439231692675,433.985351557176,429.921240831939,372.293519465184,625.321798331894
"112","1700012B09Rik",957.786499544896,575.669690809274,1173.52802755906,596.816071148677,439.47324042146,428.218368923316,448.975603257798,663.365818640942
"113","1700012C14Rik",764.115998188076,706.867036265502,611.458957020153,890.929307112425,408.750477955832,404.521779667478,380.177123384467,641.569068863374
"114","1700012D14Rik",972.040988541639,888.865807547056,887.361235081151,904.49714253947,596.783395475951,616.270740306021,499.733159243684,890.839822914134
"115","1700012D16Rik",834.305765912528,1238.97334302785,632.966500491246,740.96463055693,414.180998449353,410.276782823192,337.753392037573,557.567813555429
"116","1700012I11Rik",1081.61849523789,1490.15571641101,858.039547053571,1594.40386054616,448.322473197656,449.958855280571,691.296015151193,776.628129556796
"117","1700012P22Rik",532.80929716732,726.56265459659,661.242423044826,1392.46765342612,403.694673847087,398.250460967517,776.486096578361,581.289976601239
"118","1700013D24Rik",605.075902379258,795.59487342383,849.747566944332,975.111025277953,399.755382075647,413.951304269904,533.78205601107,764.917440593124
"119","1700013F07Rik",581.547741992217,774.656505912974,1285.35603365312,765.155360511784,479.316985819019,325.594269484408,780.840766883754,517.416573019762
"120","1700013G24Rik",808.728600974315,920.137725126118,605.727061860097,714.002212427474,417.224139932549,413.292754856225,384.174008007474,1071.37743509812
"121","1700013H16Rik",1673.95470017159,753.224193664357,786.51261723807,1522.73051178024,553.305143859835,548.725147157664,486.514078478082,706.302439694983
"122","1700015F17Rik",842.346233191663,789.122263148082,766.820435974763,1552.62881028795,634.558151352537,409.47828302717,484.637383579951,732.900908675879
"123","1700015G11Rik",887.195312784932,609.862529864091,659.178952335521,781.317325783963,304.424375734021,300.157490303962,487.758861353619,577.508283241942
"124","1700016C15Rik",930.445853334958,772.85177408787,829.106106222502,781.520787300217,494.54177892743,414.288441223922,591.447170611374,816.472857773272
"125","1700016D06Rik",1612.62815935136,1207.47806436415,838.491184639335,899.28263837048,409.890216431121,404.483325726004,443.288281118162,1235.73220181908
"126","1700016G22Rik",844.537332705871,676.762455404884,1050.67492560614,750.356648539889,476.922013931344,473.192781603519,443.741358214521,564.236138801996
"127","1700016H13Rik",867.538168326541,709.385138128865,670.62869909957,776.002384717397,471.678760208114,468.570544283677,446.881769054868,581.371211092412
"128","1700016K05Rik",363.886200715088,793.257378002513,664.246940417729,780.793067835971,408.523825423841,496.6138079585,316.466482758994,1151.84739350771
"129","1700016K19Rik",1445.33828334774,917.060135752012,675.890236133312,1161.71951819725,562.754781315061,556.846944600621,524.796630845952,760.503411293005
"130","1700016L21Rik",1026.0422960683,510.274526891215,797.150335021297,923.029307739108,412.758163977991,408.150691439827,487.47722551416,714.965567277285
"131","1700016P04Rik",918.181054092787,436.422221715437,691.554268768905,814.892728644134,324.816634816853,316.093274332572,387.569196033399,611.025928611129
"132","1700017B05Rik",964.848596887261,625.04965984988,1178.12401093898,984.376340223481,622.547742184612,627.436516243467,490.585601668686,927.789879395549
"133","1700017D01Rik",737.526584079206,844.444063122568,1126.06792889385,468.587677096273,486.072516610754,412.586815481344,453.973621025292,1178.84831880837
"134","1700017G19Rik",651.938715499941,1052.58411372609,729.189203522005,935.216250875562,507.490111524882,503.075462965428,441.422627290383,652.929307839159
"135","1700017J07Rik",805.379384542303,633.811050395547,826.255452330592,720.076041075318,530.146687143073,527.038564908232,498.079212389054,496.875180841225
"136","1700017L05Rik",931.295735141071,1052.16360250712,711.246773110772,828.170573471586,387.727723632425,381.026240479614,422.658471353664,634.145611339472
"137","1700017N19Rik",1181.96961174216,884.784956804225,1191.91013003476,1069.41264022208,466.565822665918,481.430838084681,608.763232533227,852.521756986159
"138","1700018A04Rik",873.875795851271,1480.0161271053,804.378005468733,654.651898119922,503.409969437094,605.006515303848,506.216952395812,721.746042387136
"139","1700018B08Rik",867.708001702585,1540.42358467446,666.364524465127,648.263110073161,456.136314875856,378.529881071558,399.261640408429,593.509929285802
"140","1700018B24Rik",1051.91466354,1745.05074958638,826.289200501556,947.114521202634,432.95701194835,436.267367588794,526.854165605457,743.326792501812
"141","1700018F24Rik",941.642543202522,1059.03954637694,724.882484518322,839.177791033194,404.870629560037,396.904560688991,442.586702312887,648.16954710212
"142","1700018G05Rik",883.838289411107,672.632046180949,672.571117855087,883.498769243153,442.539250878835,438.27967588915,397.986052451807,595.941159103738
"143","1700018L02Rik",422.600289418857,983.52097070444,933.545760246542,754.919847063393,708.544993369513,607.771909618599,485.826090597816,1113.51829412051
"144","1700019A02Rik",931.361857328116,910.261070688101,611.927421941007,880.483530706454,606.591476537903,453.341607895927,655.429423116693,747.137577341521
"145","1700019C18Rik",969.389071080152,632.018337583434,742.762414999746,597.905917923943,311.727984706487,321.882832275722,437.822563081874,660.070799865778
