cell_type,name,sum,num,norm
excitatory neurons,pos,1817588.0477769305,5509,329.9306675942876
excitatory neurons,neg,-1703852.4734291064,5509,-309.28525565966714
astrocytes,pos,1661324.2635146915,5925,280.39228076197327
astrocytes,neg,-1119720.733300649,5092,-219.8980230362626
opcs,pos,1420966.8635798797,5487,258.9697218115327
opcs,neg,-933670.4940251694,4376,-213.3616302616932
inhibitory neurons,pos,1319355.5300037484,3652,361.2693127063933
inhibitory neurons,neg,-1444862.6647902282,5063,-285.3767854612341
microglia,pos,775717.7241290411,4361,177.87611193052993
microglia,neg,-569019.4774789084,4352,-130.74896081776387
fibroblasts,pos,755263.8993239236,2755,274.1429761611338
fibroblasts,neg,-1294544.3618223844,6019,-215.07631862807517
oligodendrocytes,pos,431380.5348722432,2004,215.2597479402411
oligodendrocytes,neg,-3134298.424745468,15930,-196.75445227529616
pericytes,pos,108804.2479914989,679,160.24189689469645
pericytes,neg,-4379300.654348452,17833,-245.57285113825222
