"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
1.05802372964758e-153,-1.014767218523,0.015,0.297,3.41572380879423e-149,"heterozygous","Egr1","DOWN","Egr1"
1.23778566093433e-124,-1.18803137365769,0.214,0.518,3.99606722776038e-120,"heterozygous","Zbtb16","DOWN","Zbtb16"
1.37051848088656e-120,-0.865106219136861,0.012,0.239,4.42458186369417e-116,"heterozygous","Nr4a1","DOWN","Nr4a1"
3.14516385268464e-113,-1.09056499276648,0.699,0.836,1.01538469820071e-108,"heterozygous","Hivep2","DOWN","Hivep2"
3.5319952852776e-110,0.415326265090552,1,1,1.14026935789902e-105,"heterozygous","Kap","UP","Kap"
1.75636410243346e-99,-0.632359482032284,0.158,0.436,5.67024586829617e-95,"heterozygous","Nr1d2","DOWN","Nr1d2"
1.01453775889723e-97,-1.3800754574452,0.773,0.843,3.2753337008238e-93,"heterozygous","Pde3b","DOWN","Pde3b"
1.62446802588448e-97,-0.643245685955723,0.857,0.914,5.24443257476546e-93,"heterozygous","Sik3","DOWN","Sik3"
4.12376924303326e-97,0.558125625869046,0.966,0.894,1.33131766242086e-92,"heterozygous","Aldob","UP","Aldob"
2.85190973745375e-91,0.540017656991821,0.983,0.941,9.2071053963957e-87,"heterozygous","Fxyd2","UP","Fxyd2"
1.4813281797059e-84,0.461025931874701,0.998,0.987,4.78231989536252e-80,"heterozygous","mt-Co1","UP","mt-Co1"
5.55306211170729e-81,-1.23361869610431,0.69,0.799,1.79275057214358e-76,"heterozygous","Arid5b","DOWN","Arid5b"
3.7727134417065e-75,-0.895561604541084,0.859,0.915,1.21798280752053e-70,"heterozygous","Sh3rf1","DOWN","Sh3rf1"
4.84157468400738e-74,0.467430651292018,0.997,0.982,1.56305397098494e-69,"heterozygous","mt-Co3","UP","mt-Co3"
1.77221702688108e-73,0.581446222386827,0.541,0.308,5.72142544958288e-69,"heterozygous","Arntl","UP","Arntl"
1.10083893050956e-68,0.391286252501002,0.999,0.997,3.55394840325706e-64,"heterozygous","Gpx3","UP","Gpx3"
1.36599670786235e-67,0.376689361853294,1,1,4.4099837716628e-63,"heterozygous","Gm42418","UP","Gm42418"
1.07326023639222e-65,-1.01771431413398,0.508,0.651,3.46491334716866e-61,"heterozygous","Stim2","DOWN","Stim2"
1.74761281033718e-63,-0.633344269256947,0.782,0.873,5.64199319689254e-59,"heterozygous","Zswim6","DOWN","Zswim6"
3.22831212450578e-62,0.479601238759435,0.779,0.603,1.04222828627545e-57,"heterozygous","Rpl41","UP","Rpl41"
7.50069711559122e-62,0.518384945459862,0.688,0.497,2.42152505679747e-57,"heterozygous","Napsa","UP","Napsa"
1.53835884116071e-58,0.424126673795358,0.964,0.921,4.96643768280324e-54,"heterozygous","mt-Co2","UP","mt-Co2"
2.13358319021699e-58,0.487470678179718,0.848,0.732,6.88805997129653e-54,"heterozygous","Umod","UP","Umod"
3.89683415902566e-58,0.524020083285459,0.688,0.507,1.25805393989984e-53,"heterozygous","Gatm","UP","Gatm"
4.81567806234281e-57,0.475926094974354,0.825,0.695,1.55469350564675e-52,"heterozygous","Cox6c","UP","Cox6c"
6.31940081670382e-55,-0.69472042776661,0.083,0.246,2.04015535966466e-50,"heterozygous","Fosl2","DOWN","Fosl2"
7.10441697093482e-54,-0.479982261926634,0.853,0.914,2.2935899748966e-49,"heterozygous","Lncpint","DOWN","Lncpint"
2.17598430350219e-53,0.488212919433199,0.604,0.397,7.02494772542647e-49,"heterozygous","Igfbp5","UP","Igfbp5"
5.14887145552993e-53,0.355726966694369,0.993,0.98,1.66226166070328e-48,"heterozygous","Fth1","UP","Fth1"
1.03347807308985e-52,-0.54970141013666,0.82,0.898,3.33648061116327e-48,"heterozygous","P3h2","DOWN","P3h2"
2.19913514309959e-52,-0.518091833209934,0.951,0.968,7.09968789598272e-48,"heterozygous","Ptprj","DOWN","Ptprj"
6.85542801692187e-52,-0.7066551932079,0.884,0.907,2.21320638098306e-47,"heterozygous","Pde7b","DOWN","Pde7b"
1.96298042716462e-51,-1.11920079721182,0.653,0.753,6.33728601105827e-47,"heterozygous","Fam129a","DOWN","Fam129a"
2.34695844864267e-51,0.445333039602969,0.752,0.598,7.57692065559798e-47,"heterozygous","Prdx5","UP","Prdx5"
5.51356100241089e-51,-0.531167834520453,0.03,0.158,1.77999803401833e-46,"heterozygous","Nr4a2","DOWN","Nr4a2"
1.55581589166219e-50,0.481813673023688,0.742,0.581,5.0227960246422e-46,"heterozygous","Akr1c21","UP","Akr1c21"
8.71367032578196e-50,0.456727507052978,0.782,0.63,2.81312132797545e-45,"heterozygous","Spp1","UP","Spp1"
1.13696439161539e-48,0.441849746397787,0.717,0.557,3.67057584189113e-44,"heterozygous","Rps29","UP","Rps29"
2.17903141263511e-48,0.416226592576335,0.827,0.68,7.0347850125512e-44,"heterozygous","Cox7c","UP","Cox7c"
3.17327625949118e-48,-0.673950248661445,0.263,0.44,1.02446050761413e-43,"heterozygous","Fkbp5","DOWN","Fkbp5"
3.65130479343751e-48,-0.804724675334745,0.404,0.586,1.17878723951337e-43,"heterozygous","Gm43305","DOWN","Gm43305"
4.59990217216964e-48,0.474981931714985,0.353,0.171,1.48503241726325e-43,"heterozygous","Npas2","UP","Npas2"
4.71520256690511e-48,-0.389709327714907,0.088,0.243,1.52225599669964e-43,"heterozygous","Per1","DOWN","Per1"
3.96899813466851e-47,0.431417198052199,0.747,0.607,1.28135135779638e-42,"heterozygous","Ndufa4","UP","Ndufa4"
4.85526535840441e-47,-0.47709933296187,0.954,0.972,1.56747386830728e-42,"heterozygous","Setbp1","DOWN","Setbp1"
1.19342600280399e-46,0.460151286484185,0.825,0.707,3.85285650745239e-42,"heterozygous","Cox4i1","UP","Cox4i1"
1.64022352988518e-46,0.375945729753265,0.923,0.871,5.29529764388133e-42,"heterozygous","Eef1a1","UP","Eef1a1"
2.65438062793961e-46,0.398461874213554,0.874,0.769,8.56940241924024e-42,"heterozygous","Ftl1","UP","Ftl1"
4.42990658708925e-46,0.413395364788675,0.752,0.585,1.43015104257589e-41,"heterozygous","Cltrn","UP","Cltrn"
7.80226029105176e-46,0.515061900925476,0.546,0.36,2.51888171236315e-41,"heterozygous","Nuak2","UP","Nuak2"
1.85807604563285e-45,0.383910910361464,0.905,0.806,5.9986127057211e-41,"heterozygous","Tpt1","UP","Tpt1"
1.89992560309063e-45,-0.494193018371528,0.477,0.659,6.13371981701779e-41,"heterozygous","Errfi1","DOWN","Errfi1"
