"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
1.3314743334756e-43,0.560810030977419,1,1,4.29853173819262e-39,"heterozygous","Kap","UP","Kap"
4.19762800931898e-38,-1.09187900000195,0.554,0.834,1.35516222652854e-33,"heterozygous","Zbtb16","DOWN","Zbtb16"
6.89295449259141e-36,0.944994956840723,0.455,0.101,2.22532142838821e-31,"heterozygous","Arntl","UP","Arntl"
1.55034830419915e-31,-0.781914515374245,0.396,0.739,5.00514446527653e-27,"heterozygous","Nr1d2","DOWN","Nr1d2"
4.12403249665888e-29,0.65396194576544,0.867,0.628,1.33140265122135e-24,"heterozygous","Ndrg1","UP","Ndrg1"
1.05072374509286e-27,0.511608177033467,1,1,3.3921565386578e-23,"heterozygous","Gm42418","UP","Gm42418"
1.24943370819841e-26,0.532921458298739,1,0.983,4.03367178354775e-22,"heterozygous","mt-Co1","UP","mt-Co1"
2.21167367930396e-26,0.490004683069574,1,1,7.14016730626491e-22,"heterozygous","Gpx3","UP","Gpx3"
5.27407348636442e-25,-0.597047313293728,0.074,0.353,1.70268188433789e-20,"heterozygous","Per2","DOWN","Per2"
1.49386633012737e-24,-0.649833764723316,0.257,0.586,4.82279806018319e-20,"heterozygous","Tef","DOWN","Tef"
2.23818839109113e-23,0.588032924309268,0.971,0.903,7.22576740179861e-19,"heterozygous","Fxyd2","UP","Fxyd2"
6.49188110460906e-23,0.593753137963107,0.957,0.916,2.09583889581199e-18,"heterozygous","Aldob","UP","Aldob"
9.65670674131852e-23,-0.629840605887255,0.908,0.958,3.11757120436727e-18,"heterozygous","Lncpint","DOWN","Lncpint"
6.27916225160801e-22,0.489960529112422,1,0.989,2.02716474130913e-17,"heterozygous","mt-Co3","UP","mt-Co3"
8.26509320212226e-21,0.394786496901602,1,1,2.66830268937315e-16,"heterozygous","Cmss1","UP","Cmss1"
4.98008874675973e-20,-0.751875192307338,0.525,0.756,1.60777185100391e-15,"heterozygous","Fkbp5","DOWN","Fkbp5"
1.14327431588211e-19,0.582487172890608,0.804,0.592,3.69094680139381e-15,"heterozygous","Spp1","UP","Spp1"
3.15755658907195e-18,0.570590337337603,0.678,0.45,1.01938556921599e-13,"heterozygous","Rps23","UP","Rps23"
3.18814305346899e-18,0.539742200385038,0.921,0.836,1.02926010338193e-13,"heterozygous","Ftl1","UP","Ftl1"
3.77886822666172e-16,0.505144049705497,0.878,0.773,1.21996981829547e-11,"heterozygous","Cox4i1","UP","Cox4i1"
4.86292138751731e-16,0.414098214631668,0.993,0.979,1.56994554074609e-11,"heterozygous","Fth1","UP","Fth1"
7.12006506687557e-16,0.248114651044322,0.838,0.712,2.29864180619011e-11,"heterozygous","Slc12a1","UP","Slc12a1"
7.29344594571503e-16,0.586796877014337,0.779,0.628,2.35461608911464e-11,"heterozygous","Ndufa4","UP","Ndufa4"
9.62416354292025e-16,-0.335468347118863,0.998,1,3.10706495819637e-11,"heterozygous","Itpr2","DOWN","Itpr2"
3.55196547229754e-15,0.530954286436841,0.718,0.538,1.14671653307654e-10,"heterozygous","Spink1","UP","Spink1"
5.10767336477836e-15,-0.546754521392732,0.646,0.84,1.64896126908505e-10,"heterozygous","Ankrd12","DOWN","Ankrd12"
