"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
1.15247687976925e-48,-1.39805325903923,0.387,0.803,3.72065635864706e-44,"heterozygous","Zbtb16","DOWN","Zbtb16"
7.9509374475121e-36,-0.811145985595702,1,1,2.56688064555481e-31,"heterozygous","Dmxl1","DOWN","Dmxl1"
1.16801673973415e-33,-0.834730390207951,0.97,0.985,3.77082524255774e-29,"heterozygous","Slc26a4","DOWN","Slc26a4"
1.45634441511817e-31,-0.760521580079984,0.346,0.727,4.70166230976749e-27,"heterozygous","Nr1d2","DOWN","Nr1d2"
2.88436219213481e-26,-0.788718824825587,0.792,0.933,9.31187490108803e-22,"heterozygous","Gm26917","DOWN","Gm26917"
4.14491527929214e-26,0.440163592595136,1,1,1.33814444876667e-21,"heterozygous","Kap","UP","Kap"
1.27267787012102e-25,0.724206046360015,0.509,0.18,4.10871323589871e-21,"heterozygous","Arntl","UP","Arntl"
2.00810966509536e-24,-0.753545330673441,0.883,0.941,6.48298124279386e-20,"heterozygous","Abr","DOWN","Abr"
4.42214530805036e-24,0.676826818260379,0.957,0.892,1.42764539125098e-19,"heterozygous","Aldob","UP","Aldob"
2.88503470149706e-21,0.431952603998421,1,0.998,9.31404603031311e-17,"heterozygous","Camk1d","UP","Camk1d"
3.08243878673397e-21,0.461367415839141,0.996,0.995,9.95134537909195e-17,"heterozygous","mt-Co1","UP","mt-Co1"
4.64337466520624e-21,-0.84583538113593,0.874,0.961,1.49906707691518e-16,"heterozygous","Gclc","DOWN","Gclc"
5.31614626206726e-21,-0.801909456663794,0.814,0.909,1.7162646592458e-16,"heterozygous","Sh3rf1","DOWN","Sh3rf1"
6.06585386451631e-21,-0.75485485710472,0.223,0.51,1.95830026162045e-16,"heterozygous","Rgs2","DOWN","Rgs2"
8.20445663244156e-21,0.537822128936116,0.987,0.966,2.64872677921743e-16,"heterozygous","Fxyd2","UP","Fxyd2"
8.56361558423231e-21,-0.756450482439567,0.481,0.744,2.76467765521356e-16,"heterozygous","Fkbp5","DOWN","Fkbp5"
3.49906087866711e-20,0.603496694674882,0.851,0.665,1.12963681406889e-15,"heterozygous","Ndrg1","UP","Ndrg1"
4.11752635954993e-19,1.00747174242963,0.87,0.729,1.3293022099171e-14,"heterozygous","Slc12a1","UP","Slc12a1"
6.83869211851782e-19,0.476031370439777,1,1,2.20780336354229e-14,"heterozygous","Gm42418","UP","Gm42418"
3.45528572480443e-18,0.423185851030874,1,0.998,1.11550444339586e-13,"heterozygous","Gpx3","UP","Gpx3"
5.31249712953474e-18,0.65313659075199,0.963,0.879,1.715086573299e-13,"heterozygous","Slc16a7","UP","Slc16a7"
2.38933028407872e-17,0.573135891879644,0.89,0.749,7.71371388911973e-13,"heterozygous","Umod","UP","Umod"
1.70241409117862e-16,-0.432512901427257,0.069,0.276,5.49607365196106e-12,"heterozygous","Per1","DOWN","Per1"
1.82455865914065e-16,-0.399784791892177,0.991,0.995,5.89040517516968e-12,"heterozygous","Tanc2","DOWN","Tanc2"
2.76747173080608e-16,-0.422954443720417,0.032,0.209,8.93450573573434e-12,"heterozygous","Egr1","DOWN","Egr1"
3.38082660407958e-16,-0.489972229646489,0.89,0.963,1.09146606086105e-11,"heterozygous","Sik3","DOWN","Sik3"
3.72454841906073e-16,-0.867679039329221,0.879,0.909,1.20243321160957e-11,"heterozygous","Itgav","DOWN","Itgav"
1.01437002194551e-15,0.348194782842984,1,0.998,3.27479217884888e-11,"heterozygous","Cmss1","UP","Cmss1"
6.17435055736961e-15,1.06798600125584,0.558,0.345,1.9933273339412e-10,"heterozygous","Myo5a","UP","Myo5a"
2.03993730614004e-14,-0.699964011398794,0.242,0.483,6.58573359914249e-10,"heterozygous","Gm43305","DOWN","Gm43305"
2.44780553064151e-14,0.558455301887415,0.868,0.712,7.90249537512306e-10,"heterozygous","Hexb","UP","Hexb"
2.94233870043914e-14,0.443169366697076,0.935,0.8,9.49904626049771e-10,"heterozygous","Tpt1","UP","Tpt1"
3.33848976753197e-14,0.423325948254673,0.968,0.909,1.07779803655002e-09,"heterozygous","mt-Co2","UP","mt-Co2"
3.70546844120243e-14,0.567708553031956,0.844,0.736,1.19627343155779e-09,"heterozygous","Schip1","UP","Schip1"
4.35994521070886e-14,-0.515160194759778,0.647,0.818,1.40756471182525e-09,"heterozygous","Nadk","DOWN","Nadk"
6.86347167241026e-14,0.380649947372644,0.991,0.99,2.21580319472093e-09,"heterozygous","mt-Co3","UP","mt-Co3"
7.89370716974337e-14,0.572969062544749,0.455,0.239,2.54840442267995e-09,"heterozygous","Abca1","UP","Abca1"
1.22642807558284e-13,0.56313238592244,0.578,0.362,3.95940039921165e-09,"heterozygous","Crebrf","UP","Crebrf"
1.26095950131838e-13,-0.553393946468165,0.818,0.924,4.07088165405626e-09,"heterozygous","Ssh2","DOWN","Ssh2"
1.33446068267214e-13,-0.473844174909736,0.918,0.951,4.30817286793872e-09,"heterozygous","Pdlim5","DOWN","Pdlim5"
1.5200120180804e-13,0.500681824352354,0.734,0.532,4.90720679917076e-09,"heterozygous","Rps29","UP","Rps29"
2.57871573073e-13,-0.43704455325481,0.087,0.273,8.32512586508872e-09,"heterozygous","Tsc22d3","DOWN","Tsc22d3"
5.58241882994224e-13,0.354374457459784,0.991,0.985,1.80222809505855e-08,"heterozygous","Fth1","UP","Fth1"
5.6464332856959e-13,-0.369546579300699,0.11,0.305,1.82289452195406e-08,"heterozygous","Per3","DOWN","Per3"
6.50575403578421e-13,-0.656200431474338,0.673,0.778,2.10031763291257e-08,"heterozygous","Hivep2","DOWN","Hivep2"
8.43508116140711e-13,0.491441900027653,0.697,0.502,2.72318160214867e-08,"heterozygous","Napsa","UP","Napsa"
8.94232111257136e-13,0.478136077625701,0.879,0.768,2.88693894798254e-08,"heterozygous","Cox6c","UP","Cox6c"
1.14155930472127e-12,0.452380335680686,0.736,0.547,3.68541005936214e-08,"heterozygous","Dbi","UP","Dbi"
1.38649747089649e-12,0.432036438862535,0.697,0.532,4.47616843504223e-08,"heterozygous","Slc25a5","UP","Slc25a5"
1.52904439275683e-12,0.377893400792244,0.963,0.909,4.93636691757615e-08,"heterozygous","mt-Atp6","UP","mt-Atp6"
2.29019819765134e-12,-0.381888121086114,0.95,0.973,7.3936758612976e-08,"heterozygous","Rtn3","DOWN","Rtn3"
3.0179171514503e-12,-0.597721739071592,0.667,0.788,9.74304373174215e-08,"heterozygous","Usp33","DOWN","Usp33"
3.42140955871308e-12,-0.404431890436199,0.275,0.51,1.10456786193493e-07,"heterozygous","Tef","DOWN","Tef"
5.10098742397337e-12,0.435449574754462,0.89,0.773,1.64680277995556e-07,"heterozygous","mt-Nd4","UP","mt-Nd4"
6.21092228238863e-12,0.437304045153416,0.803,0.64,2.00513414964634e-07,"heterozygous","Cltrn","UP","Cltrn"
7.72651297704836e-12,-0.455644492010097,0.468,0.65,2.49442744951029e-07,"heterozygous","Hsd17b12","DOWN","Hsd17b12"
9.05034862447264e-12,0.393372786058745,0.686,0.488,2.92181454992475e-07,"heterozygous","Rps8","UP","Rps8"
1.12754484488921e-11,0.41184864158141,0.887,0.776,3.64016577724031e-07,"heterozygous","Ftl1","UP","Ftl1"
1.20574383734257e-11,-0.647938713984781,0.325,0.52,3.89262340447674e-07,"heterozygous","Plcd3","DOWN","Plcd3"
1.21313175039895e-11,-0.401169691156148,0.095,0.268,3.91647454298795e-07,"heterozygous","Dusp10","DOWN","Dusp10"
2.09449081368708e-11,-0.346913687410916,0.11,0.288,6.76185414290736e-07,"heterozygous","Trib1","DOWN","Trib1"
2.13396830200049e-11,0.403099421422142,0.792,0.631,6.88930326617838e-07,"heterozygous","mt-Nd2","UP","mt-Nd2"
2.19554551465726e-11,-0.365648641049629,0.19,0.401,7.08809913951951e-07,"heterozygous","Gm49980","DOWN","Gm49980"
2.43170753534126e-11,-0.507632457054719,0.509,0.69,7.85052460709572e-07,"heterozygous","Mlxip","DOWN","Mlxip"
2.68155868588193e-11,0.417954760404862,0.939,0.845,8.65714406150122e-07,"heterozygous","Eef1a1","UP","Eef1a1"
3.94291994666826e-11,-0.354298978260406,0.924,0.968,1.27293227558238e-06,"heterozygous","Arih1","DOWN","Arih1"
4.21431182964415e-11,0.75670751813761,0.491,0.278,1.36054843108232e-06,"heterozygous","Zeb2","UP","Zeb2"
4.33074097516041e-11,-0.414644832787118,0.786,0.879,1.39813641642079e-06,"heterozygous","Gnb1","DOWN","Gnb1"
4.53869311020444e-11,0.460836397711559,0.84,0.734,1.4652716836984e-06,"heterozygous","Chchd2","UP","Chchd2"
7.56768659335005e-11,0.427729892436336,0.695,0.52,2.44315193979713e-06,"heterozygous","Rps14","UP","Rps14"
7.62496897122909e-11,0.421729543983922,0.786,0.635,2.4616449826716e-06,"heterozygous","Igfbp7","UP","Igfbp7"
8.92832605575029e-11,-0.508950636826477,0.442,0.66,2.88242078383842e-06,"heterozygous","Errfi1","DOWN","Errfi1"
1.01739671843367e-10,0.408520214733793,0.58,0.372,3.28456356579125e-06,"heterozygous","Rpl37","UP","Rpl37"
1.35085406450731e-10,0.459555053418309,0.626,0.468,4.3610972618554e-06,"heterozygous","Chchd10","UP","Chchd10"
1.40784062323875e-10,0.596274622806325,0.671,0.473,4.54507266806399e-06,"heterozygous","Kng2","UP","Kng2"
1.43355429115774e-10,0.392069511645764,0.952,0.921,4.62808667357364e-06,"heterozygous","Itm2b","UP","Itm2b"
1.4461636516405e-10,0.432478853858101,0.727,0.574,4.6687947329562e-06,"heterozygous","Rpl23","UP","Rpl23"
1.50882549276309e-10,0.405613794424688,0.716,0.562,4.87109222083636e-06,"heterozygous","Rps24","UP","Rps24"
1.86957052391909e-10,0.359792580666672,0.55,0.342,6.03572147942039e-06,"heterozygous","Gstm1","UP","Gstm1"
1.99017491209464e-10,0.494466551048385,0.736,0.586,6.42508068620632e-06,"heterozygous","S100g","UP","S100g"
2.16926515037681e-10,0.505972059893618,0.723,0.574,7.0032556114765e-06,"heterozygous","Gatm","UP","Gatm"
2.67918676169649e-10,-0.339602183345665,0.082,0.236,8.64948654146094e-06,"heterozygous","Per2","DOWN","Per2"
2.99261461618387e-10,-0.462261967559167,0.517,0.687,9.661357026888e-06,"heterozygous","Dennd5a","DOWN","Dennd5a"
3.00812319057755e-10,0.40135586175295,0.79,0.655,9.71142490846055e-06,"heterozygous","Prdx5","UP","Prdx5"
3.22044050117634e-10,0.384033435315621,0.654,0.475,1.03968701139977e-05,"heterozygous","Rpl35a","UP","Rpl35a"
3.4663837717175e-10,0.587256100466517,0.396,0.222,1.11908733686128e-05,"heterozygous","D630024D03Rik","UP","D630024D03Rik"
3.5622182220913e-10,0.397417839194243,0.582,0.404,1.15002653081996e-05,"heterozygous","Rpl6","UP","Rpl6"
5.72695160809692e-10,-0.45000150408481,0.939,0.929,1.84888905715801e-05,"heterozygous","Pakap.1","DOWN","Pakap.1"
5.7385602562682e-10,0.385101827336,0.985,0.98,1.85263679313363e-05,"heterozygous","Car12","UP","Car12"
5.74249731036847e-10,0.578547582891746,0.318,0.145,1.85390783167936e-05,"heterozygous","Zfp521","UP","Zfp521"
