"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
3.05649707072588e-129,-2.35413329154113,0.237,0.731,9.86759514313142e-125,"heterozygous","Zbtb16","DOWN","Zbtb16"
1.74415238159592e-104,-1.57678818763871,0.023,0.453,5.63082154874426e-100,"heterozygous","Egr1","DOWN","Egr1"
1.14275270445098e-67,1.31794203780148,0.436,0.087,3.68926283104954e-63,"heterozygous","Npas2","UP","Npas2"
3.6121237129534e-67,0.475495514051768,1,1,1.16613801948987e-62,"heterozygous","Kap","UP","Kap"
1.65203803741649e-65,-0.995024863817213,0.114,0.464,5.33343959999539e-61,"heterozygous","Per2","DOWN","Per2"
6.07646847749707e-58,-0.828191961903781,0.946,0.98,1.96172708327515e-53,"heterozygous","Tns1","DOWN","Tns1"
7.60294370788734e-57,-0.965904754068392,0.176,0.506,2.45453434665435e-52,"heterozygous","Gm43305","DOWN","Gm43305"
1.09117856731595e-55,-1.0195406634176,0.221,0.555,3.5227608867228e-51,"heterozygous","Gm49980","DOWN","Gm49980"
8.45298145308636e-55,0.689126430234569,0.967,0.903,2.7289605323144e-50,"heterozygous","Aldob","UP","Aldob"
9.9582132708885e-54,-0.796245814100621,0.368,0.697,3.21490957237364e-49,"heterozygous","Nr1d2","DOWN","Nr1d2"
1.06966906554059e-52,0.540859188056804,0.993,0.972,3.45331961119124e-48,"heterozygous","mt-Co1","UP","mt-Co1"
6.00617117310285e-51,0.513122899357051,1,1,1.93903230152452e-46,"heterozygous","Gm42418","UP","Gm42418"
5.39452185823577e-50,0.583494148504871,0.986,0.925,1.74156743671284e-45,"heterozygous","Fxyd2","UP","Fxyd2"
7.48778655336014e-49,0.71658572405399,0.836,0.617,2.41735701088679e-44,"heterozygous","Ndrg1","UP","Ndrg1"
1.15441290016403e-48,-0.752392426036143,0.076,0.35,3.72690660688956e-44,"heterozygous","Per1","DOWN","Per1"
7.2873301817689e-47,-1.02258454335063,0.109,0.389,2.35264167588227e-42,"heterozygous","Hbegf","DOWN","Hbegf"
7.55581912970222e-45,0.464512641131014,0.997,1,2.43932064783306e-40,"heterozygous","Gpx3","UP","Gpx3"
8.5647722054308e-45,0.508727183430842,0.993,0.973,2.76505105880128e-40,"heterozygous","mt-Co3","UP","mt-Co3"
3.14461241019678e-43,-1.16176600486611,0.511,0.745,1.01520667050793e-38,"heterozygous","Errfi1","DOWN","Errfi1"
4.13819959202189e-43,-1.21949954049845,0.826,0.913,1.33597635628835e-38,"heterozygous","Slc6a6","DOWN","Slc6a6"
4.75304398946078e-42,0.703273020626996,0.943,0.828,1.53447272155752e-37,"heterozygous","Hnrnpr","UP","Hnrnpr"
7.2052397498088e-41,0.77727052355739,0.334,0.082,2.32613960082827e-36,"heterozygous","Arntl","UP","Arntl"
7.22766158064984e-41,-1.54275754266018,0.268,0.533,2.333378264697e-36,"heterozygous","Akap12","DOWN","Akap12"
2.15272717565447e-40,-0.929682670099913,0.285,0.558,6.9498644138829e-36,"heterozygous","Actn1","DOWN","Actn1"
1.73747198559247e-38,-1.12299247305886,0.144,0.391,5.60925455828672e-34,"heterozygous","Fkbp5","DOWN","Fkbp5"
3.06224209014326e-37,-0.972048216861708,0.292,0.547,9.8861423638185e-33,"heterozygous","Spns2","DOWN","Spns2"
3.50722216746139e-35,-0.703189908282803,0.859,0.922,1.13227160454324e-30,"heterozygous","Gm26917","DOWN","Gm26917"
4.84019244026275e-34,0.551491555792706,0.952,0.875,1.56260772741443e-29,"heterozygous","Igfbp7","UP","Igfbp7"
2.20269268863299e-33,0.63445149322184,0.727,0.495,7.11117307598274e-29,"heterozygous","Napsa","UP","Napsa"
3.32293298168103e-33,-0.706313329799797,0.516,0.731,1.0727756838059e-28,"heterozygous","Myh9","DOWN","Myh9"
7.59850130656299e-33,0.76464804004332,0.854,0.744,2.45310016181079e-28,"heterozygous","Slc12a1","UP","Slc12a1"
1.32833552464665e-32,-0.77611842909495,0.769,0.881,4.28839840776926e-28,"heterozygous","Zswim6","DOWN","Zswim6"
9.52007214244664e-32,0.333229132468531,1,0.998,3.07346009046747e-27,"heterozygous","Camk1d","UP","Camk1d"
2.74039313105713e-31,0.326684783956271,1,0.999,8.84708518430485e-27,"heterozygous","Cmss1","UP","Cmss1"
2.90344688534021e-30,-0.750070442654484,0.236,0.468,9.37348792463234e-26,"heterozygous","Stk40","DOWN","Stk40"
2.92977862681569e-30,0.564750731510732,0.87,0.76,9.45849731881178e-26,"heterozygous","Umod","UP","Umod"
3.74502268695733e-30,-0.593480635215491,0.047,0.227,1.2090431242573e-25,"heterozygous","Junb","DOWN","Junb"
2.32158231751909e-29,-0.803938404731516,0.198,0.42,7.49499635387863e-25,"heterozygous","Noct","DOWN","Noct"
5.60909018463847e-29,-0.623178620496883,0.748,0.867,1.81083867520868e-24,"heterozygous","Ankrd12","DOWN","Ankrd12"
9.14486235069979e-29,0.475373387570426,0.919,0.746,2.95232736129992e-24,"heterozygous","Ranbp3l","UP","Ranbp3l"
1.60912053790748e-28,-0.677223942524571,0.719,0.852,5.1948847445805e-24,"heterozygous","Hivep2","DOWN","Hivep2"
2.01997088631491e-28,0.65949999731765,0.492,0.251,6.52127400937904e-24,"heterozygous","Depdc1b","UP","Depdc1b"
2.23565247950101e-28,-0.637056576894568,0.43,0.653,7.21758046482105e-24,"heterozygous","Gprc5c","DOWN","Gprc5c"
2.25764013780092e-28,-0.717970337666483,0.165,0.381,7.28856542087648e-24,"heterozygous","Dusp1","DOWN","Dusp1"
2.44283870286522e-28,0.509797373669928,0.867,0.751,7.88646046833007e-24,"heterozygous","Atp5b","UP","Atp5b"
6.74417101835252e-28,-0.670150977495962,0.635,0.788,2.17728817156493e-23,"heterozygous","Zhx3","DOWN","Zhx3"
7.79493753423765e-28,-0.618280540693326,0.649,0.807,2.51651763355328e-23,"heterozygous","Proser2","DOWN","Proser2"
9.30650473082921e-28,0.562481229954248,0.748,0.576,3.0045119873009e-23,"heterozygous","Akr1c21","UP","Akr1c21"
1.59339795213164e-27,0.513215204117825,0.835,0.677,5.1441259486618e-23,"heterozygous","Cox4i1","UP","Cox4i1"
3.02909788055002e-27,0.571297275491168,0.961,0.918,9.77913959756768e-23,"heterozygous","Col4a3","UP","Col4a3"
5.05629024323947e-27,-0.291948553090817,1,1,1.63237274212743e-22,"heterozygous","Zbtb20","DOWN","Zbtb20"
1.78432162395975e-25,0.527007910198521,0.84,0.698,5.76050393079166e-21,"heterozygous","Pck1","UP","Pck1"
2.16550328750926e-25,-0.577927862978881,0.933,0.974,6.99111081339489e-21,"heterozygous","Rbpms","DOWN","Rbpms"
2.82308831394976e-25,0.587770450688845,0.701,0.518,9.11405831275542e-21,"heterozygous","Spink1","UP","Spink1"
9.63791595613882e-25,-0.510222597591109,0.141,0.342,3.11150478727986e-20,"heterozygous","Per3","DOWN","Per3"
1.43085414503581e-24,0.516021617725219,0.804,0.658,4.6193695218336e-20,"heterozygous","Chchd2","UP","Chchd2"
1.51809418214851e-24,0.421892352521511,0.95,0.888,4.90101525764824e-20,"heterozygous","mt-Co2","UP","mt-Co2"
2.07349579001094e-24,-1.04713309111205,0.743,0.825,6.69407380847133e-20,"heterozygous","Smchd1","DOWN","Smchd1"
1.34181522225157e-23,0.440942627275367,0.868,0.721,4.33191626351698e-19,"heterozygous","Cdkl1","UP","Cdkl1"
1.51650648379591e-23,0.486474909100858,0.841,0.728,4.89588953228672e-19,"heterozygous","Ftl1","UP","Ftl1"
1.74335960946984e-23,0.558153508958101,0.397,0.184,5.62826216321243e-19,"heterozygous","Fign","UP","Fign"
2.22697437945106e-23,0.449169376611604,0.85,0.708,7.18956408661981e-19,"heterozygous","Atp5a1","UP","Atp5a1"
5.48579752789325e-23,-0.525618706424493,0.21,0.417,1.77103487390506e-18,"heterozygous","Ptpn1","DOWN","Ptpn1"
7.24758270614271e-23,-0.513783712375526,0.673,0.806,2.33980960085111e-18,"heterozygous","Rock2","DOWN","Rock2"
8.80970384623653e-23,-0.645955440012344,0.139,0.323,2.844124789719e-18,"heterozygous","Adora1","DOWN","Adora1"
9.91108692768078e-23,0.497142497790829,0.807,0.692,3.19969530373246e-18,"heterozygous","Cox6c","UP","Cox6c"
1.1480864827428e-22,-0.804218059007883,0.185,0.374,3.70648240088685e-18,"heterozygous","Btg2","DOWN","Btg2"
1.83239031172137e-22,0.474176614537303,0.76,0.612,5.91568888236126e-18,"heterozygous","Cltrn","UP","Cltrn"
2.11940778145441e-22,0.500358823908883,0.793,0.641,6.84229608164741e-18,"heterozygous","Cox7c","UP","Cox7c"
2.52062135267306e-22,-0.416396758363331,0.973,0.98,8.1375739749697e-18,"heterozygous","Igf1r","DOWN","Igf1r"
4.27385056265976e-22,0.47496920256644,0.785,0.623,1.37976991564908e-17,"heterozygous","Rpl41","UP","Rpl41"
4.69287034264948e-22,0.517169332801273,0.695,0.538,1.51504626142096e-17,"heterozygous","Gatm","UP","Gatm"
6.85643859111512e-22,-0.529078578596809,0.255,0.456,2.2135326347556e-17,"heterozygous","Tef","DOWN","Tef"
7.9666807941116e-22,0.334718197577511,0.984,0.959,2.57196322757099e-17,"heterozygous","Fth1","UP","Fth1"
1.29300441871228e-21,0.394680119822942,0.946,0.901,4.17433546537073e-17,"heterozygous","Atp1a1","UP","Atp1a1"
1.30335243647982e-21,0.526104149355874,0.603,0.414,4.20774300593146e-17,"heterozygous","Igfbp5","UP","Igfbp5"
2.60699240831249e-21,-0.520598667900078,0.874,0.908,8.41641429099605e-17,"heterozygous","Fhod3","DOWN","Fhod3"
3.72244350948091e-21,-0.563346426064929,0.409,0.59,1.20175366260082e-16,"heterozygous","Ahdc1","DOWN","Ahdc1"
7.09553266897519e-21,-0.426925172767256,0.888,0.932,2.29072176685195e-16,"heterozygous","Strn3","DOWN","Strn3"
7.62570731332138e-21,-0.623940716210688,0.807,0.881,2.46188334903267e-16,"heterozygous","Ankrd44","DOWN","Ankrd44"
7.73178704772186e-21,0.509140652347125,0.574,0.384,2.49613013048652e-16,"heterozygous","Chchd10","UP","Chchd10"
8.68155485781807e-21,0.489737962048173,0.728,0.546,2.80275317029798e-16,"heterozygous","Rpl23","UP","Rpl23"
8.71059021247031e-21,0.392201916678184,0.889,0.793,2.81212694419391e-16,"heterozygous","Tpt1","UP","Tpt1"
1.02690214425572e-20,-0.771980378132969,0.302,0.481,3.31525088251517e-16,"heterozygous","Ppl","DOWN","Ppl"
2.28088635963693e-20,0.434135660890386,0.879,0.79,7.36361352345185e-16,"heterozygous","Gpx1","UP","Gpx1"
2.79400928533738e-20,-0.538541052166196,0.742,0.854,9.02017957678321e-16,"heterozygous","Tspan5","DOWN","Tspan5"
3.02267278233128e-20,0.389544079438939,0.937,0.896,9.7583968104783e-16,"heterozygous","mt-Atp6","UP","mt-Atp6"
4.62964339010898e-20,0.385339052895691,0.924,0.876,1.49463407206278e-15,"heterozygous","Eef1a1","UP","Eef1a1"
4.82609339042937e-20,-0.614506763116056,0.8,0.884,1.55805599016622e-15,"heterozygous","Naaladl2","DOWN","Naaladl2"
5.43008192331495e-20,0.497719394687927,0.787,0.661,1.753047648123e-15,"heterozygous","Keg1","UP","Keg1"
5.66458192277801e-20,0.445269139573438,0.68,0.477,1.82875362794965e-15,"heterozygous","Rpl35a","UP","Rpl35a"
