"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0,-1.83394334309281,0.316,0.767,0,"heterozygous","Zbtb16","DOWN","Zbtb16"
0,-1.8621822355563,0.363,0.725,0,"heterozygous","Fkbp5","DOWN","Fkbp5"
1.25066437662595e-291,0.440578492052799,1,1,4.03764487349921e-287,"heterozygous","Kap","UP","Kap"
3.21537674801076e-276,0.508922411248291,1,1,1.03805222932779e-271,"heterozygous","Gm42418","UP","Gm42418"
4.32494217430878e-271,-0.750171678713012,0.016,0.269,1.39626433155385e-266,"heterozygous","Egr1","DOWN","Egr1"
3.46294034538481e-245,0.628159356185278,0.971,0.892,1.11797566110403e-240,"heterozygous","Aldob","UP","Aldob"
3.4605742942931e-233,0.471389657451446,0.999,0.997,1.11721180516958e-228,"heterozygous","Gpx3","UP","Gpx3"
5.35249951062211e-222,-0.716056897754069,0.895,0.952,1.72800094200924e-217,"heterozygous","Ssh2","DOWN","Ssh2"
1.24274318306084e-208,-0.751839995837981,0.633,0.807,4.01207209219363e-204,"heterozygous","Wbp1l","DOWN","Wbp1l"
5.27767750217516e-208,-0.830986334003293,0.687,0.843,1.70384540480223e-203,"heterozygous","Zhx3","DOWN","Zhx3"
8.38696675252675e-195,-0.663587138535552,0.886,0.961,2.70764834638574e-190,"heterozygous","Gm26917","DOWN","Gm26917"
4.80406859810965e-192,-0.725640543598539,0.379,0.648,1.55094550621372e-187,"heterozygous","Usp2","DOWN","Usp2"
1.13289624822195e-187,0.443951321153036,0.996,0.986,3.65744224775974e-183,"heterozygous","mt-Co1","UP","mt-Co1"
3.21392101883894e-173,0.453726092696379,0.994,0.986,1.03758226172196e-168,"heterozygous","mt-Co3","UP","mt-Co3"
3.52712966387722e-169,0.575589852281009,0.841,0.639,1.13869854068612e-164,"heterozygous","Ndrg1","UP","Ndrg1"
1.06841530829754e-156,-0.495988230816488,0.985,0.99,3.44927198130779e-152,"heterozygous","Pkp4","DOWN","Pkp4"
8.52110649658486e-150,-0.732400674311032,0.768,0.888,2.75095402135746e-145,"heterozygous","Tfcp2l1","DOWN","Tfcp2l1"
2.36931596499728e-148,-0.501912511466276,0.097,0.311,7.6490996613972e-144,"heterozygous","Per1","DOWN","Per1"
1.31436322802727e-147,0.615081568637816,0.55,0.286,4.24329024536323e-143,"heterozygous","Fermt1","UP","Fermt1"
8.05812741820209e-147,-0.398577258205442,0.986,0.994,2.60148585569236e-142,"heterozygous","Tns1","DOWN","Tns1"
1.18620960418743e-146,-0.673359822788909,0.335,0.568,3.82955908615871e-142,"heterozygous","Herpud1","DOWN","Herpud1"
7.70205796579235e-143,0.608060694482904,0.318,0.1,2.4865323936764e-138,"heterozygous","Arntl","UP","Arntl"
1.82279684681818e-140,-0.611307200900538,0.779,0.874,5.88471734026782e-136,"heterozygous","Tanc2","DOWN","Tanc2"
1.43188518428009e-138,-0.575780015223884,0.353,0.594,4.62269812892983e-134,"heterozygous","Tef","DOWN","Tef"
7.89786741455181e-138,-0.61752297818167,0.855,0.907,2.54974751611391e-133,"heterozygous","Esrrb","DOWN","Esrrb"
1.01322424731839e-137,0.312545569432674,0.999,0.998,3.2710931600427e-133,"heterozygous","Camk1d","UP","Camk1d"
8.92444586181126e-137,-0.550716999125006,0.418,0.651,2.88116810202715e-132,"heterozygous","Nr1d2","DOWN","Nr1d2"
1.63886766883594e-133,-0.689301123585153,0.318,0.537,5.29092038206996e-129,"heterozygous","Mturn","DOWN","Mturn"
2.94301601084119e-132,-0.508339191722785,0.1,0.299,9.50123288939971e-128,"heterozygous","Gm43305","DOWN","Gm43305"
6.62629085294023e-129,-0.556810561041903,0.144,0.352,2.13923173896323e-124,"heterozygous","Gm49980","DOWN","Gm49980"
5.3815529967397e-125,-0.671576137977408,0.744,0.857,1.73738056946745e-120,"heterozygous","Foxo3","DOWN","Foxo3"
7.3191003166511e-125,0.527758630314805,0.689,0.47,2.36289834622764e-120,"heterozygous","Napsa","UP","Napsa"
3.33113212641813e-124,-0.6308893333582,0.949,0.961,1.07542269569283e-119,"heterozygous","Slc5a3","DOWN","Slc5a3"
