"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0,1.27580352611731,0.559,0.103,0,"heterozygous","Npas2","UP","Npas2"
0,1.19059252428548,0.885,0.906,0,"heterozygous","Rhobtb1","UP","Rhobtb1"
0,0.943532134785504,0.582,0.259,0,"heterozygous","Hao2","UP","Hao2"
0,0.881396883979737,0.483,0.146,0,"heterozygous","Rdh16f2","UP","Rdh16f2"
0,0.881244754848607,0.516,0.097,0,"heterozygous","Arntl","UP","Arntl"
0,0.867206701916319,0.704,0.389,0,"heterozygous","Gsta2","UP","Gsta2"
0,0.834250558137414,0.636,0.355,0,"heterozygous","Ddc","UP","Ddc"
0,0.808021217120436,0.635,0.336,0,"heterozygous","Prom1","UP","Prom1"
0,0.80317535440482,1,0.999,0,"heterozygous","Kap","UP","Kap"
0,-0.604178537348164,0.965,0.996,0,"heterozygous","Tns1","DOWN","Tns1"
0,-0.628433849866535,0.923,0.98,0,"heterozygous","Gramd1b","DOWN","Gramd1b"
0,-0.660234890474072,0.896,0.973,0,"heterozygous","Itch","DOWN","Itch"
0,-0.695640626445815,0.824,0.956,0,"heterozygous","Fnip2","DOWN","Fnip2"
0,-0.70210632939498,0.848,0.947,0,"heterozygous","Slc17a1","DOWN","Slc17a1"
0,-0.727660130953632,0.926,0.989,0,"heterozygous","Frmd4b","DOWN","Frmd4b"
0,-0.750122772010396,0.738,0.934,0,"heterozygous","Ppp1r16b","DOWN","Ppp1r16b"
0,-0.756562985417403,0.84,0.952,0,"heterozygous","Mtss1","DOWN","Mtss1"
0,-0.765013766691,0.424,0.829,0,"heterozygous","Nr1d2","DOWN","Nr1d2"
0,-0.766452645375991,0.978,0.992,0,"heterozygous","Gk","DOWN","Gk"
0,-0.773450251436824,0.958,0.988,0,"heterozygous","Tnfaip8","DOWN","Tnfaip8"
0,-0.790810578631016,0.624,0.891,0,"heterozygous","Tef","DOWN","Tef"
0,-0.792762414290176,0.646,0.862,0,"heterozygous","Polr3e","DOWN","Polr3e"
0,-0.824106167380577,0.889,0.979,0,"heterozygous","Ppp2r5e","DOWN","Ppp2r5e"
0,-0.855118009641394,0.773,0.927,0,"heterozygous","Lncpint","DOWN","Lncpint"
0,-0.874667286125669,0.922,0.979,0,"heterozygous","Rgl1","DOWN","Rgl1"
0,-0.878172707897659,0.385,0.751,0,"heterozygous","Alas1","DOWN","Alas1"
0,-0.92009505027163,0.566,0.82,0,"heterozygous","Etv1","DOWN","Etv1"
0,-0.929281378154271,0.948,0.987,0,"heterozygous","Kcnj16","DOWN","Kcnj16"
0,-0.938209578507839,0.886,0.98,0,"heterozygous","Osbpl9","DOWN","Osbpl9"
0,-0.944574742951512,0.795,0.945,0,"heterozygous","Ppara","DOWN","Ppara"
0,-0.992714534016269,0.44,0.824,0,"heterozygous","Herpud1","DOWN","Herpud1"
0,-1.01900311171386,0.495,0.777,0,"heterozygous","Ugt8a","DOWN","Ugt8a"
0,-1.02752502443693,0.886,0.971,0,"heterozygous","Nr1h4","DOWN","Nr1h4"
0,-1.04270917092369,0.896,0.974,0,"heterozygous","Enpp2","DOWN","Enpp2"
0,-1.07078643358682,0.689,0.894,0,"heterozygous","Cyp2j13","DOWN","Cyp2j13"
0,-1.08477470231992,0.648,0.902,0,"heterozygous","Foxo3","DOWN","Foxo3"
0,-1.09076040475739,0.903,0.977,0,"heterozygous","Atp2a2","DOWN","Atp2a2"
0,-1.09430030277405,0.746,0.923,0,"heterozygous","Tnfrsf21","DOWN","Tnfrsf21"
0,-1.35992734802882,0.216,0.676,0,"heterozygous","Noct","DOWN","Noct"
0,-1.71803987684268,0.458,0.89,0,"heterozygous","Fkbp5","DOWN","Fkbp5"
8.50270666149025e-308,0.732479887931482,0.753,0.53,2.74501381859551e-303,"heterozygous","Nav2","UP","Nav2"
1.11238626927094e-305,-0.67801930961102,0.917,0.982,3.59122783171429e-301,"heterozygous","Errfi1","DOWN","Errfi1"
