"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
6.01589360331786e-22,-2.36209315058553,0.242,0.832,1.94217109089514e-17,"heterozygous","Zbtb16","DOWN","Zbtb16"
6.98639745252571e-19,1.27662076675094,1,1,2.2554885535734e-14,"heterozygous","Kap","UP","Kap"
1.62262884711793e-17,-1.23977027414902,0.859,0.987,5.23849497003552e-13,"heterozygous","Rbpms","DOWN","Rbpms"
2.23038772928099e-17,1.43874719011617,1,0.968,7.20058374521075e-13,"heterozygous","mt-Co1","UP","mt-Co1"
4.2630237442624e-16,1.22099192499318,1,1,1.37627458559767e-11,"heterozygous","Gm42418","UP","Gm42418"
2.10115568051837e-15,-1.57388195115455,0.202,0.742,6.7833709989855e-11,"heterozygous","Fkbp5","DOWN","Fkbp5"
1.3410955167913e-14,1.40672249026875,0.98,0.974,4.32959276640905e-10,"heterozygous","mt-Co3","UP","mt-Co3"
8.6388247473187e-14,1.26594386790492,0.97,0.89,2.78895818142437e-09,"heterozygous","mt-Atp6","UP","mt-Atp6"
2.87307281007945e-13,-1.63976179883081,0.505,0.877,9.2754282600605e-09,"heterozygous","Samd4","DOWN","Samd4"
3.92003740246914e-13,1.2958876853112,0.879,0.703,1.26554487501314e-08,"heterozygous","Cox6c","UP","Cox6c"
1.49619735785043e-12,1.34225768816589,0.939,0.91,4.83032355008434e-08,"heterozygous","Fxyd2","UP","Fxyd2"
1.84155502173813e-12,0.85715349331159,0.99,0.987,5.94527623217938e-08,"heterozygous","AY036118","UP","AY036118"
2.00945801925255e-12,0.944074943842609,0.98,0.961,6.48733426935492e-08,"heterozygous","Fth1","UP","Fth1"
2.42406577110771e-12,-0.76620298967338,0.828,1,7.82585393544414e-08,"heterozygous","Rere","DOWN","Rere"
6.32664315406487e-12,-0.900146850671023,0.889,0.994,2.0424934758583e-07,"heterozygous","Tns1","DOWN","Tns1"
1.08978819817512e-11,1.23704561429891,0.879,0.729,3.51827221898855e-07,"heterozygous","mt-Nd4","UP","mt-Nd4"
1.16756026323339e-11,0.918269305136502,1,1,3.76935155382267e-07,"heterozygous","Camk1d","UP","Camk1d"
2.06275860397617e-11,-0.862251059203135,0.848,0.974,6.65940987707666e-07,"heterozygous","Syne2","DOWN","Syne2"
3.80121446269192e-11,-1.18823170394921,0.354,0.774,1.22718407713546e-06,"heterozygous","Foxo3","DOWN","Foxo3"
4.70282487832755e-11,1.2061591675441,0.758,0.51,1.51825998371926e-06,"heterozygous","Cox8a","UP","Cox8a"
5.60803723983859e-11,0.860430870460579,0.919,0.781,1.81049874250949e-06,"heterozygous","Ftl1","UP","Ftl1"
8.04956691958629e-11,-1.10085076758849,0.525,0.852,2.59872218431924e-06,"heterozygous","Zswim6","DOWN","Zswim6"
8.34542322967519e-11,-1.21952365027986,0.646,0.89,2.69423643546834e-06,"heterozygous","Sh3rf1","DOWN","Sh3rf1"
8.78738080792861e-11,0.781533281745046,1,1,2.83691802003167e-06,"heterozygous","Cmss1","UP","Cmss1"
9.19389278761252e-11,-1.13783484493203,0.495,0.89,2.96815634755283e-06,"heterozygous","Cp","DOWN","Cp"
1.12721730104446e-10,1.24550403699343,0.758,0.555,3.63910833469192e-06,"heterozygous","Napsa","UP","Napsa"
1.42769533712712e-10,-0.990545483112813,0.364,0.806,4.6091716263812e-06,"heterozygous","Myof","DOWN","Myof"
2.30264337344485e-10,-0.71961878143776,0.788,0.961,7.43385386682934e-06,"heterozygous","Zfand3","DOWN","Zfand3"
3.19791911142398e-10,-0.711324690245456,0.798,0.987,1.03241620593212e-05,"heterozygous","Msi2","DOWN","Msi2"
3.3063779282799e-10,-0.85981858395546,0.646,0.903,1.06743105036588e-05,"heterozygous","Trio","DOWN","Trio"
4.86404757407371e-10,-0.801672119674961,0.859,1,1.57030911881396e-05,"heterozygous","Atxn1","DOWN","Atxn1"
5.0635529667489e-10,-1.08837386255843,0.414,0.8,1.63471743978522e-05,"heterozygous","Vcl","DOWN","Vcl"
6.06320204972356e-10,-1.15691732767236,0.303,0.697,1.95744414973275e-05,"heterozygous","Dusp16","DOWN","Dusp16"
1.11366803220298e-09,-1.00086031314728,0.576,0.89,3.59536587516412e-05,"heterozygous","Osbpl3","DOWN","Osbpl3"
1.33210112766309e-09,1.09832058452692,0.929,0.89,4.30055528054752e-05,"heterozygous","mt-Co2","UP","mt-Co2"
1.65607010400056e-09,1.10988812498391,0.838,0.71,5.34645672375541e-05,"heterozygous","Umod","UP","Umod"
1.80809001354785e-09,1.25932632870284,0.818,0.626,5.83723779973786e-05,"heterozygous","mt-Nd1","UP","mt-Nd1"
2.13467767610239e-09,1.27181939142539,0.879,0.703,6.89159340952895e-05,"heterozygous","mt-Cytb","UP","mt-Cytb"
2.21527522964177e-09,0.906142182276222,0.939,0.903,7.15179455137548e-05,"heterozygous","Atp1a1","UP","Atp1a1"
4.60622596977752e-09,1.2172693965075,0.697,0.465,0.000148707399208297,"heterozygous","S100g","UP","S100g"
4.85500490472641e-09,0.994521130324673,0.788,0.632,0.000156738978344187,"heterozygous","Rpl41","UP","Rpl41"
5.23366202014573e-09,-1.25810875510115,0.404,0.774,0.000168963544658385,"heterozygous","Actn1","DOWN","Actn1"
8.3386586803129e-09,0.960563934805413,1,1,0.000269205256835222,"heterozygous","Gpx3","UP","Gpx3"
8.89467504930382e-09,1.15218432794425,0.97,0.929,0.000287155689291724,"heterozygous","Aldob","UP","Aldob"
9.12296369232141e-09,1.17066059578465,0.747,0.574,0.000294525759842904,"heterozygous","Chchd2","UP","Chchd2"
1.01400165443902e-08,-0.724142927541341,0.929,0.981,0.000327360294119093,"heterozygous","Igf1r","DOWN","Igf1r"
1.3430594142425e-08,-0.912587096881093,0.121,0.477,0.000433593301294049,"heterozygous","Noct","DOWN","Noct"
1.61234819042025e-08,-0.808819607388034,0.737,0.948,0.000520530489795274,"heterozygous","Sik3","DOWN","Sik3"
1.68634655399233e-08,-1.45928295279614,0.515,0.839,0.000544420121490884,"heterozygous","Errfi1","DOWN","Errfi1"
1.76423788449726e-08,-1.01329467143475,0.051,0.374,0.000569566558631095,"heterozygous","Egr1","DOWN","Egr1"
1.77631788451831e-08,-0.957468046615323,0.596,0.865,0.000573466465837891,"heterozygous","Dpyd","DOWN","Dpyd"
1.80431823222078e-08,-1.1475878259204,0.485,0.781,0.000582506098090157,"heterozygous","Hivep2","DOWN","Hivep2"
1.91834630022848e-08,-1.06064477744207,0.505,0.89,0.000619318919565763,"heterozygous","Tspan5","DOWN","Tspan5"
2.03072195297377e-08,-0.78446028070558,0.121,0.484,0.000655598275298051,"heterozygous","Dlg5","DOWN","Dlg5"
2.09967062645281e-08,1.11370210594926,0.828,0.671,0.000677857665044025,"heterozygous","Atp5a1","UP","Atp5a1"
2.63932388849646e-08,-0.84152531783448,0.616,0.923,0.000852079324162197,"heterozygous","Agap1","DOWN","Agap1"
2.84042311775993e-08,-1.08794083014164,0.485,0.806,0.000917002199337614,"heterozygous","Bmp6","DOWN","Bmp6"
3.78389848297804e-08,0.903797641780613,0.768,0.561,0.00122159378624463,"heterozygous","Gpx4","UP","Gpx4"
3.84672313290883e-08,-1.00824908961664,0.606,0.852,0.00124187609622829,"heterozygous","Dleu2","DOWN","Dleu2"
4.54378281867104e-08,-0.727676966605681,0.808,0.942,0.00146691484517976,"heterozygous","Rora","DOWN","Rora"
5.36812556961011e-08,-0.881924884210529,0.556,0.832,0.00173304565889293,"heterozygous","Hoga1","DOWN","Hoga1"
5.41418656788519e-08,-0.696032650430961,0.697,0.955,0.00174791599157606,"heterozygous","Arhgef28","DOWN","Arhgef28"
5.59529527782515e-08,-0.828719547735943,0.333,0.671,0.00180638512749307,"heterozygous","Pik3c2a","DOWN","Pik3c2a"
6.31553723725144e-08,1.1412047175248,0.586,0.355,0.00203890804167425,"heterozygous","Rpl36","UP","Rpl36"
7.39487077704753e-08,0.943935924423779,0.687,0.497,0.00238736008166202,"heterozygous","Atp5f1","UP","Atp5f1"
7.43397588263237e-08,-0.783231917045284,0.485,0.813,0.00239998477394903,"heterozygous","Ppp2r5e","DOWN","Ppp2r5e"
7.69713884822431e-08,-0.8839142918027,0.141,0.465,0.00248494430576074,"heterozygous","Baiap2","DOWN","Baiap2"
1.00195270996788e-07,1.00940355286167,0.879,0.781,0.00323470412886029,"heterozygous","Atp5b","UP","Atp5b"
1.03634266411022e-07,1.15305385090387,0.758,0.626,0.00334572865681344,"heterozygous","Akr1c21","UP","Akr1c21"
1.11063855377809e-07,1.0847883012694,0.747,0.626,0.0035855855070172,"heterozygous","Ptma","UP","Ptma"
1.11614027859248e-07,-0.648438400671191,0.061,0.361,0.00360334727540797,"heterozygous","Per2","DOWN","Per2"
1.15240586300777e-07,1.09207895620493,0.707,0.561,0.0037204270881343,"heterozygous","Cat","UP","Cat"
1.15632586481408e-07,1.05933009559137,0.808,0.619,0.00373308242196579,"heterozygous","Sord","UP","Sord"
1.19586171874076e-07,0.854291923299854,0.939,0.916,0.00386071997278266,"heterozygous","Eef1a1","UP","Eef1a1"
1.20475538738258e-07,-0.585482035215599,0.303,0.729,0.00388943229262593,"heterozygous","Kmt2a","DOWN","Kmt2a"
1.43460496489982e-07,-0.920708256397751,0.343,0.703,0.00463147866868257,"heterozygous","2610035D17Rik","DOWN","2610035D17Rik"
1.45569488193831e-07,1.01927885108666,0.727,0.529,0.00469956535684964,"heterozygous","Rps8","UP","Rps8"
1.52670933489013e-07,-1.02402271754936,0.121,0.432,0.0049288284167593,"heterozygous","Rell1","DOWN","Rell1"
1.80194633713861e-07,-0.660065369515876,0.303,0.729,0.00581740355481828,"heterozygous","Rai1","DOWN","Rai1"
1.99312532085768e-07,-0.818855089797016,0.535,0.865,0.00643460578585695,"heterozygous","Zmiz1","DOWN","Zmiz1"
