"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0,-1.1049650119912,0.679,0.884,0,"heterozygous","Sgms1","DOWN","Sgms1"
0,-2.05968001207359,0.184,0.636,0,"heterozygous","Fkbp5","DOWN","Fkbp5"
0,-2.75704870747483,0.117,0.716,0,"heterozygous","Zbtb16","DOWN","Zbtb16"
1.62620257013166e-295,0.387031620567681,1,1,5.25003237741304e-291,"heterozygous","Kap","UP","Kap"
3.54556659794811e-235,0.504478087816075,0.994,0.973,1.14465072048157e-230,"heterozygous","mt-Co1","UP","mt-Co1"
2.54412538815119e-222,0.497591671739282,0.992,0.968,8.21345440310729e-218,"heterozygous","mt-Co3","UP","mt-Co3"
4.4432627982516e-215,0.558231455093328,0.966,0.885,1.43446296178755e-210,"heterozygous","Aldob","UP","Aldob"
7.39715763182988e-215,0.558391332090974,0.963,0.888,2.38809836985996e-210,"heterozygous","Fxyd2","UP","Fxyd2"
1.8622771279213e-198,-0.788452790809227,0.201,0.469,6.01217547978111e-194,"heterozygous","Nr1d2","DOWN","Nr1d2"
5.04081910882926e-194,-0.998181004192476,0.389,0.625,1.62737804109444e-189,"heterozygous","Ednrb","DOWN","Ednrb"
8.75087379839592e-191,-0.73162312680302,0.698,0.829,2.82513209707414e-186,"heterozygous","Hecw2","DOWN","Hecw2"
2.14678300241502e-183,0.378896319620087,0.999,0.996,6.93067424499664e-179,"heterozygous","Gpx3","UP","Gpx3"
2.06922869563813e-177,-0.744399598626154,0.617,0.78,6.68029792099815e-173,"heterozygous","Snrk","DOWN","Snrk"
1.88973291376295e-176,0.597650207816514,0.844,0.669,6.10081373879231e-172,"heterozygous","Ndrg1","UP","Ndrg1"
9.30438695618299e-166,0.34953549845469,1,1,3.00382828493412e-161,"heterozygous","Gm42418","UP","Gm42418"
7.71379756198292e-161,0.511368440384018,0.922,0.833,2.49032240491057e-156,"heterozygous","Atp1a1","UP","Atp1a1"
9.86919842263628e-155,-0.758833878598943,0.523,0.7,3.1861720187639e-150,"heterozygous","Zhx3","DOWN","Zhx3"
1.66340534010499e-143,-0.593736838293212,0.646,0.795,5.37013779999496e-139,"heterozygous","Serinc3","DOWN","Serinc3"
1.02960328927279e-141,-0.69132504424758,0.533,0.701,3.32397125908827e-137,"heterozygous","Inpp5d","DOWN","Inpp5d"
3.1892531744118e-140,-0.743568142765068,0.571,0.73,1.02961849482711e-135,"heterozygous","Bcl2l1","DOWN","Bcl2l1"
5.05240021098807e-139,0.688457805810039,0.693,0.483,1.63111688411539e-134,"heterozygous","Rarb","UP","Rarb"
1.31520284986053e-133,-0.52495282846886,0.84,0.912,4.24600088048975e-129,"heterozygous","Lncpint","DOWN","Lncpint"
2.10461140788506e-131,0.383456088494355,0.979,0.945,6.79452746921614e-127,"heterozygous","Fth1","UP","Fth1"
1.04322465497357e-129,0.644381829426962,0.365,0.163,3.36794647611668e-125,"heterozygous","Arntl","UP","Arntl"
2.8273301422046e-128,-0.564830260454371,0.777,0.876,9.12775263109332e-124,"heterozygous","Rapgef5","DOWN","Rapgef5"
2.06596077721655e-126,-0.574184473787966,0.033,0.179,6.66974777316592e-122,"heterozygous","Egr1","DOWN","Egr1"
4.1006787953803e-126,-0.502498206843949,0.812,0.883,1.32386314230057e-121,"heterozygous","Shank3","DOWN","Shank3"
4.45892826840649e-125,-0.589389508335985,0.676,0.792,1.43952040217235e-120,"heterozygous","Ccny","DOWN","Ccny"
4.87812007233918e-125,0.576305215894806,0.68,0.487,1.57485228415398e-120,"heterozygous","Napsa","UP","Napsa"
3.60434014742938e-124,0.573004122007835,0.921,0.852,1.1636251731961e-119,"heterozygous","Hipk2","UP","Hipk2"
3.76668708324528e-124,-0.431605378527752,0.93,0.957,1.2160372579549e-119,"heterozygous","Prkch","DOWN","Prkch"
4.13903225062615e-119,0.506847499443052,0.831,0.716,1.33624517179215e-114,"heterozygous","Umod","UP","Umod"
3.40501068679282e-118,-0.574080494095658,0.653,0.782,1.0992736501242e-113,"heterozygous","Rai14","DOWN","Rai14"
1.50506079874348e-116,-0.494869709916307,0.04,0.181,4.85893828266345e-112,"heterozygous","Per1","DOWN","Per1"
1.89010988217495e-115,-0.542171019639199,0.859,0.911,6.10203074361361e-111,"heterozygous","Fam117b","DOWN","Fam117b"
5.05107567480808e-115,0.7083307493973,0.801,0.655,1.63068927085504e-110,"heterozygous","Igfbp5","UP","Igfbp5"
5.03688513862322e-113,-0.587902830487825,0.053,0.2,1.62610799815312e-108,"heterozygous","Nr4a1","DOWN","Nr4a1"
2.13997735107885e-112,-0.562120391557756,0.714,0.814,6.90870288022296e-108,"heterozygous","Plxna2","DOWN","Plxna2"
2.52961784289302e-112,0.524257424236915,0.746,0.564,8.16661824399583e-108,"heterozygous","Zfp608","UP","Zfp608"
4.35494934188665e-111,-0.446641684329717,0.963,0.972,1.40595184553469e-106,"heterozygous","Flt1","DOWN","Flt1"
5.67806801460994e-111,0.476261514535019,0.799,0.658,1.83310747783667e-106,"heterozygous","Cox6c","UP","Cox6c"
1.00386799677637e-109,0.624668868198707,0.697,0.537,3.24088744079284e-105,"heterozygous","Slc6a6","UP","Slc6a6"
9.61374567469823e-109,-0.876152986486164,0.548,0.678,3.10370165361958e-104,"heterozygous","Insr","DOWN","Insr"
2.1855687870828e-103,-0.445793662887305,0.8,0.871,7.0558902722181e-99,"heterozygous","Tns1","DOWN","Tns1"
2.54042396263887e-103,0.506239898313099,0.707,0.529,8.20150472098334e-99,"heterozygous","Cox8a","UP","Cox8a"
2.73022074371875e-103,-0.63731868944561,0.367,0.555,8.81424464902163e-99,"heterozygous","Errfi1","DOWN","Errfi1"
9.7280419516609e-102,0.481374526077019,0.735,0.565,3.14060106367421e-97,"heterozygous","Akr1c21","UP","Akr1c21"
2.82607339438218e-101,-0.682839152378041,0.156,0.326,9.12369534642343e-97,"heterozygous","Tsc22d3","DOWN","Tsc22d3"
1.40479556507754e-100,0.488475484305618,0.797,0.646,4.53524200229632e-96,"heterozygous","Plscr2","UP","Plscr2"
3.41177981017151e-100,0.588353918698898,0.143,0.029,1.10145899391577e-95,"heterozygous","Cyp26b1","UP","Cyp26b1"
5.04837631517884e-100,0.475451130025015,0.728,0.556,1.62981780959234e-95,"heterozygous","Prdx5","UP","Prdx5"
1.77326167669462e-99,0.471431631587204,0.753,0.6,5.72479799704093e-95,"heterozygous","Cox7c","UP","Cox7c"
3.60992143778756e-99,-0.682658984241954,0.485,0.642,1.16542703697534e-94,"heterozygous","Rgcc","DOWN","Rgcc"
8.31576999362091e-99,-0.631949189327514,0.11,0.265,2.68466318474057e-94,"heterozygous","Jdp2","DOWN","Jdp2"
1.34691231528671e-98,0.409976364707505,0.882,0.779,4.3483717186716e-94,"heterozygous","Tpt1","UP","Tpt1"
5.00264775670225e-98,-0.471630804126233,0.919,0.943,1.61505480177375e-93,"heterozygous","Arhgap26","DOWN","Arhgap26"
9.14396786193696e-98,0.506962253198447,0.697,0.538,2.95203858454773e-93,"heterozygous","Spp1","UP","Spp1"
1.09722411440975e-97,0.486973397200095,0.687,0.511,3.54227833096045e-93,"heterozygous","Rps29","UP","Rps29"
4.89318196392669e-97,0.481368558033479,0.692,0.513,1.57971486523409e-92,"heterozygous","Gatm","UP","Gatm"
7.45460170525435e-97,0.43416726944006,0.816,0.695,2.40664361452432e-92,"heterozygous","Atp5b","UP","Atp5b"
1.53679749763739e-96,0.575999732738143,0.749,0.609,4.96139704137256e-92,"heterozygous","Rsad2","UP","Rsad2"
3.31694978476225e-96,0.425339201273371,0.834,0.712,1.07084406851264e-91,"heterozygous","Ftl1","UP","Ftl1"
6.00635080922287e-95,0.45382886839186,0.789,0.653,1.93909029524951e-90,"heterozygous","Cox4i1","UP","Cox4i1"
1.13441596086427e-94,0.50624604615915,0.633,0.452,3.6623484880542e-90,"heterozygous","Rps8","UP","Rps8"
4.28264936618453e-92,0.497470381139534,0.688,0.537,1.38261052137901e-87,"heterozygous","S100g","UP","S100g"
6.96761689943566e-92,-0.586277859598332,0.41,0.581,2.24942543981381e-87,"heterozygous","Slc43a3","DOWN","Slc43a3"
1.42275450641168e-91,0.419166320145981,0.774,0.628,4.59322064849946e-87,"heterozygous","Chchd2","UP","Chchd2"
