"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
3.61109195318034e-215,-3.22718244284719,0.278,0.923,1.16580492616474e-210,"heterozygous","Zbtb16","DOWN","Zbtb16"
7.35479823635031e-114,-1.91012771761785,0.229,0.73,2.37442306262333e-109,"heterozygous","Fkbp5","DOWN","Fkbp5"
2.58030224671702e-93,-1.99994797035926,0.453,0.822,8.33024777330123e-89,"heterozygous","Errfi1","DOWN","Errfi1"
2.75331935226426e-74,-1.18825541812447,0.91,0.972,8.88881619684992e-70,"heterozygous","Timp3","DOWN","Timp3"
2.87654282526957e-65,-1.62744022092414,0.732,0.871,9.28663085710029e-61,"heterozygous","Pdlim5","DOWN","Pdlim5"
1.51692713667836e-56,1.06481940736935,0.545,0.191,4.89724756805242e-52,"heterozygous","Arntl","UP","Arntl"
4.44439125344354e-50,-0.889626180988416,0.145,0.477,1.43482727226171e-45,"heterozygous","Nr1d2","DOWN","Nr1d2"
3.15291568462719e-49,0.635659732204534,0.993,0.965,1.01788729962504e-44,"heterozygous","mt-Co1","UP","mt-Co1"
1.75539357335632e-48,1.18226507693706,0.468,0.146,5.66711261222356e-44,"heterozygous","Npas2","UP","Npas2"
2.57870761723171e-48,-1.27282748212918,0.429,0.696,8.32509967147087e-44,"heterozygous","Hipk1","DOWN","Hipk1"
4.84532128807227e-47,0.774911731002062,0.848,0.601,1.56426352464125e-42,"heterozygous","Ndrg1","UP","Ndrg1"
1.10662197668274e-44,0.452017564420808,1,1,3.57261838952257e-40,"heterozygous","Kap","UP","Kap"
1.28249891785417e-43,-1.06408039065803,0.452,0.722,4.14041950640041e-39,"heterozygous","Myo1e","DOWN","Myo1e"
7.21092907355195e-42,0.676264950038735,0.934,0.819,2.32797634210551e-37,"heterozygous","Atp1a1","UP","Atp1a1"
1.469922753783e-41,-0.734577830464506,0.83,0.932,4.74549861831305e-37,"heterozygous","Tns1","DOWN","Tns1"
1.57636379798436e-41,-1.0891605084889,0.515,0.738,5.08913288541272e-37,"heterozygous","Foxo3","DOWN","Foxo3"
7.0431221919505e-40,-0.967413322858903,0.596,0.792,2.2738015684493e-35,"heterozygous","Msrb3","DOWN","Msrb3"
1.95001783403838e-39,0.98400184167375,0.314,0.061,6.29543757540951e-35,"heterozygous","Mctp2","UP","Mctp2"
5.50973977010241e-38,0.602418326119162,0.962,0.899,1.77876438737986e-33,"heterozygous","Fxyd2","UP","Fxyd2"
1.15341272318782e-37,-1.28492971270633,0.581,0.739,3.72367763553957e-33,"heterozygous","Stim1","DOWN","Stim1"
1.52002855208541e-37,-0.967638997870964,0.13,0.397,4.90726017755255e-33,"heterozygous","Tsc22d3","DOWN","Tsc22d3"
1.20753369065707e-36,-0.78302049251905,0.446,0.691,3.89840176691727e-32,"heterozygous","Klf9","DOWN","Klf9"
4.11148907942946e-36,-0.676152401842038,0.919,0.948,1.32735313440301e-31,"heterozygous","Rbpms","DOWN","Rbpms"
8.88090462345072e-36,0.942825403261942,0.795,0.62,2.86711124863483e-31,"heterozygous","Fign","UP","Fign"
1.54521663632863e-35,-1.04794692246783,0.313,0.581,4.98857738872334e-31,"heterozygous","Ccnd3","DOWN","Ccnd3"
2.94964791454953e-33,-0.769130762060128,0.518,0.735,9.52264332733171e-29,"heterozygous","Zhx3","DOWN","Zhx3"
3.60228106023238e-33,0.54806593523223,0.989,0.966,1.16296041748542e-28,"heterozygous","mt-Co3","UP","mt-Co3"
5.4912170160149e-32,-0.68729804477153,0.105,0.339,1.77278450145025e-27,"heterozygous","Baiap2","DOWN","Baiap2"
1.31382196029353e-31,0.582667833767355,0.95,0.903,4.24154281661162e-27,"heterozygous","Aldob","UP","Aldob"
1.75922915888963e-31,-0.887675989718371,0.279,0.525,5.67949541655927e-27,"heterozygous","Klhl2","DOWN","Klhl2"
1.97571197427782e-31,-0.87348082559848,0.402,0.648,6.3783885377585e-27,"heterozygous","Bcl2l1","DOWN","Bcl2l1"
3.10042554970499e-31,0.432777129432134,0.999,0.997,1.00094138446676e-26,"heterozygous","Gpx3","UP","Gpx3"
9.52010478115415e-31,-0.665864955652654,0.037,0.225,3.07347062754781e-26,"heterozygous","Egr1","DOWN","Egr1"
1.72512174175565e-30,-0.885419479650416,0.141,0.375,5.56938303108394e-26,"heterozygous","Ccn2","DOWN","Ccn2"
3.63829227954905e-30,-0.925835713360302,0.685,0.801,1.17458627952961e-25,"heterozygous","Lims1","DOWN","Lims1"
3.5635087691052e-29,-1.04947556640231,0.488,0.68,1.15044317101792e-24,"heterozygous","Vcl","DOWN","Vcl"
1.42893290359556e-27,0.43098547060339,0.986,0.944,4.6131669859679e-23,"heterozygous","Fth1","UP","Fth1"
9.76293138614934e-26,-0.830718929633405,0.384,0.581,3.15186476870445e-21,"heterozygous","Adap2","DOWN","Adap2"
1.98304884053744e-25,-0.792837562074565,0.403,0.608,6.40207487679106e-21,"heterozygous","Zbtb38","DOWN","Zbtb38"
2.1517535669063e-25,0.714445093027886,0.2,0.035,6.94672121540031e-21,"heterozygous","Gm38604","UP","Gm38604"
3.12649868351605e-25,-0.680764715053802,0.552,0.732,1.00935883498632e-20,"heterozygous","Tbc1d1","DOWN","Tbc1d1"
7.43011739916239e-25,-0.658069336294122,0.073,0.253,2.39873910114559e-20,"heterozygous","Adamtsl2","DOWN","Adamtsl2"
1.25706040322902e-24,-1.13275264700429,0.658,0.739,4.05829380578458e-20,"heterozygous","Adamts9","DOWN","Adamts9"
1.73083447604852e-24,-0.652673549134916,0.663,0.814,5.58782602247503e-20,"heterozygous","Myh9","DOWN","Myh9"
3.49226812214887e-24,-0.854373442020649,0.626,0.732,1.12744384055454e-19,"heterozygous","Rerg","DOWN","Rerg"
5.13591069263706e-24,-0.77415738206674,0.155,0.361,1.65807740801095e-19,"heterozygous","Slc43a3","DOWN","Slc43a3"
5.3507197236275e-24,-0.6936703741201,0.456,0.654,1.7274263555759e-19,"heterozygous","Acap2","DOWN","Acap2"
6.3941493362509e-24,0.694899256908801,0.224,0.054,2.06428717171524e-19,"heterozygous","Nr2f1","UP","Nr2f1"
1.73302375849875e-23,0.56974290768152,0.84,0.733,5.59489390193736e-19,"heterozygous","mt-Nd4","UP","mt-Nd4"
2.10430453634036e-23,0.5933897469121,0.806,0.661,6.79353676512123e-19,"heterozygous","Cox6c","UP","Cox6c"
5.44461105944335e-23,-0.417647835877769,0.901,0.957,1.75773823443069e-18,"heterozygous","Apbb2","DOWN","Apbb2"
2.82966497306184e-22,-0.562537757012254,0.757,0.844,9.13529039903284e-18,"heterozygous","Fchsd2","DOWN","Fchsd2"
2.97681484038464e-22,0.549331189986375,0.204,0.046,9.61034903069778e-18,"heterozygous","8430419K02Rik","UP","8430419K02Rik"
4.15839562538798e-22,-0.607133728927478,0.229,0.443,1.34249644370026e-17,"heterozygous","Mlxip","DOWN","Mlxip"
5.01464255387548e-22,-0.684961672516616,0.668,0.778,1.61892720209316e-17,"heterozygous","Esyt2","DOWN","Esyt2"
