"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
8.75688916579783e-34,0.892314979468024,0.407,0.095,2.46874219362172e-29,"heterozygous","Arntl","UP"
1.41840935316781e-31,-0.939770033108057,0.581,0.819,3.99877964845069e-27,"heterozygous","Zbtb16","DOWN"
5.76048659568064e-27,-0.712614445477948,0.385,0.673,1.62399638105428e-22,"heterozygous","Nr1d2","DOWN"
2.89723874725451e-26,0.602044289076635,0.998,1,8.16789547625992e-22,"heterozygous","Gm42418","UP"
2.03728615872801e-25,0.674386126707722,0.339,0.078,5.74351713868602e-21,"heterozygous","Rps23","UP"
4.48465962800052e-24,-0.611831368611769,0.885,0.952,1.26431524232591e-19,"heterozygous","Lncpint","DOWN"
2.1927783010962e-23,-0.558960660004496,0.086,0.325,6.18188058645041e-19,"heterozygous","Per2","DOWN"
6.79393065128091e-21,-0.628839799061789,0.253,0.523,1.91534492920911e-16,"heterozygous","Tef","DOWN"
7.30104792360829e-19,-0.751929079839871,0.532,0.717,2.05831143062365e-14,"heterozygous","Fkbp5","DOWN"
3.20660450502475e-17,1.22169256909356,0.478,0.251,9.04005942056577e-13,"heterozygous","Kap","UP"
2.58635800110193e-16,0.416077383069077,0.987,0.996,7.29146047670655e-12,"heterozygous","Cmss1","UP"
5.58378970994849e-15,-0.765752719967153,0.412,0.606,1.57418199502868e-10,"heterozygous","Gm43305","DOWN"
8.29376761852991e-15,2.37393192146087,0.24,0.076,2.33817896701595e-10,"heterozygous","Lsamp","UP"
1.21456974302417e-14,0.445046223599482,0.142,0.015,3.42411501953373e-10,"heterozygous","Npas2","UP"
4.42263397752785e-14,-0.399640466517585,0.124,0.317,1.24682897094465e-09,"heterozygous","Slc15a2","DOWN"
6.34242270612321e-14,-0.494639048761814,0.654,0.823,1.78805580931025e-09,"heterozygous","Ankrd12","DOWN"
2.3163613174901e-13,-0.552379951740958,0.459,0.641,6.5302858262681e-09,"heterozygous","Ccnd3","DOWN"
9.75380336843005e-13,-0.545957969162505,0.111,0.281,2.7497922456278e-08,"heterozygous","Coro2a","DOWN"
1.23030310077458e-12,0.579449417259247,0.24,0.082,3.4684705017037e-08,"heterozygous","S100g","UP"
