"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
3.42367532790146e-132,-1.25758721275874,0.013,0.322,9.65202548441981e-128,"heterozygous","Egr1","DOWN"
2.79313412382135e-105,-1.09621766980558,0.009,0.26,7.87440372187714e-101,"heterozygous","Nr4a1","DOWN"
3.27707711214934e-101,-1.20679266502273,0.675,0.827,9.23873579457141e-97,"heterozygous","Hivep2","DOWN"
6.91171666175176e-97,-1.3344865150325,0.809,0.858,1.94855116128106e-92,"heterozygous","Pde3b","DOWN"
4.65766066500782e-96,-1.49329421824385,0.63,0.786,1.313087694679e-91,"heterozygous","Arid5b","DOWN"
1.27541215819894e-79,-0.957649702756812,0.656,0.831,3.59564195639444e-75,"heterozygous","P3h2","DOWN"
1.60500558402658e-76,-1.12709798504303,0.535,0.712,4.52483174248774e-72,"heterozygous","Stim2","DOWN"
1.01726476981608e-65,-0.768794227343294,0.783,0.915,2.8678728390655e-61,"heterozygous","Neat1","DOWN"
1.79979687826384e-63,-0.719894258373923,0.789,0.842,5.0739873592014e-59,"heterozygous","Sik3","DOWN"
9.41421999108188e-62,-0.985491862722601,0.241,0.476,2.6540568998858e-57,"heterozygous","Zbtb16","DOWN"
6.03302497967002e-60,-0.628391079287455,0.059,0.262,1.70083040226857e-55,"heterozygous","Nr1d2","DOWN"
4.04599509383468e-58,-0.923461785452218,0.1,0.308,1.14064693685387e-53,"heterozygous","Fosl2","DOWN"
1.89201361201981e-57,-0.899114430208003,0.848,0.887,5.33396477500626e-53,"heterozygous","Sh3rf1","DOWN"
5.64519075873554e-55,0.389560409075445,1,1,1.59149217870272e-50,"heterozygous","Gm42418","UP"
6.78725306164961e-55,-0.814392740403053,0.822,0.894,1.91346238314026e-50,"heterozygous","Chka","DOWN"
4.60669727078916e-53,-0.734473627072314,0.035,0.201,1.29872009458088e-48,"heterozygous","Nr4a2","DOWN"
6.24207190450234e-53,-1.10896810515167,0.132,0.341,1.7597649113173e-48,"heterozygous","Abtb2","DOWN"
5.84363078994537e-49,0.705366389962319,0.483,0.253,1.6474363923014e-44,"heterozygous","Nuak2","UP"
1.29699317394313e-47,-0.672760411883032,0.738,0.838,3.65648315598048e-43,"heterozygous","Zswim6","DOWN"
1.37953585267877e-47,0.658559121770664,0.464,0.231,3.889187475872e-43,"heterozygous","Pck1","UP"
3.51935879924921e-46,-0.452170016073623,0.971,0.981,9.92177632684337e-42,"heterozygous","Ptprj","DOWN"
4.15845250939631e-44,-0.775399296778582,0.274,0.47,1.17235093144901e-39,"heterozygous","Esrp1","DOWN"
1.39749914632374e-43,0.568089483905326,0.481,0.269,3.93982959331588e-39,"heterozygous","Arntl","UP"
2.21776354688602e-43,-0.579954239760901,0.034,0.176,6.25231899138105e-39,"heterozygous","Hbegf","DOWN"
6.36379747307542e-41,0.600612368434191,0.411,0.207,1.79408178360942e-36,"heterozygous","Efemp1","UP"
8.79015093815316e-40,0.542898480851998,0.419,0.213,2.47811935248414e-35,"heterozygous","Npas2","UP"
9.16149822971049e-39,-0.419248869502586,0.974,0.979,2.58280958091998e-34,"heterozygous","Setbp1","DOWN"
2.52610010001427e-38,-0.749097798860463,0.283,0.465,7.12158140196022e-34,"heterozygous","Sema4b","DOWN"
5.43364344985946e-38,0.470709842019199,0.922,0.833,1.53185276138438e-33,"heterozygous","Arhgap24","UP"
3.56696677218788e-36,-0.623207777208483,0.904,0.909,1.00559927241521e-31,"heterozygous","Pde7b","DOWN"
9.57406788344274e-36,-0.573173029476175,0.165,0.341,2.69912121770018e-31,"heterozygous","Nab1","DOWN"
5.52503814978668e-35,-0.853050805390673,0.763,0.817,1.55761875518786e-30,"heterozygous","Fam129a","DOWN"
