"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
1.33776057162291e-132,-1.16461525617379,0.111,0.439,3.7714146035193e-128,"heterozygous","Zbtb16","DOWN"
1.13312721723598e-129,0.624891437642817,1,1,3.19451225083168e-125,"heterozygous","Gm42418","UP"
1.02642312215235e-120,0.944994632751175,0.37,0.061,2.8936920659719e-116,"heterozygous","Pck1","UP"
3.25317675219309e-108,-0.736574296749045,0.098,0.393,9.17135589978276e-104,"heterozygous","Nr1d2","DOWN"
7.85619632050399e-94,-0.899214107317573,0.497,0.725,2.21481886667649e-89,"heterozygous","Usp53","DOWN"
4.63272225774748e-93,0.801715521819771,0.54,0.261,1.30605705890417e-88,"heterozygous","Arntl","UP"
1.90853033491106e-90,-0.674606334334153,0.004,0.184,5.38052872018126e-86,"heterozygous","Nr4a1","DOWN"
5.09602766789726e-86,-0.679615100600019,0.064,0.299,1.4366721201336e-81,"heterozygous","Pim3","DOWN"
7.00623387649231e-80,-0.925881140870092,0.46,0.691,1.97519745446071e-75,"heterozygous","Fkbp5","DOWN"
8.40113964543768e-66,-0.437717613591999,0.001,0.132,2.36844928884179e-61,"heterozygous","Egr1","DOWN"
3.50539076584173e-65,0.396550881693466,0.998,0.998,9.88239764706102e-61,"heterozygous","Cmss1","UP"
1.42861560578638e-62,-0.498671351480614,0.899,0.936,4.02755311583298e-58,"heterozygous","Sik3","DOWN"
1.64835518536867e-62,-0.629706664241413,0.537,0.73,4.64704293859135e-58,"heterozygous","Flvcr1","DOWN"
2.00596530349782e-54,0.392425397472791,0.99,0.986,5.65521738362104e-50,"heterozygous","Camk1d","UP"
1.63098153621311e-51,0.527701427076808,0.216,0.054,4.598063146892e-47,"heterozygous","Npas2","UP"
3.08679411824238e-50,0.589287098567049,0.129,0.008,8.70228997814893e-46,"heterozygous","Fut9","UP"
5.1488657580641e-50,-0.621734182475928,0.749,0.86,1.45156823451343e-45,"heterozygous","Foxo3","DOWN"
