"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
5.85715454041333e-141,-2.21620979199635,0.228,0.675,1.65124900803333e-136,"heterozygous","Zbtb16","DOWN"
2.02635235369251e-134,-1.55565395084689,0.015,0.422,5.71269255552992e-130,"heterozygous","Egr1","DOWN"
5.73357188001818e-77,-0.987493203656227,0.133,0.466,1.61640858441472e-72,"heterozygous","Gm43305","DOWN"
1.85225361213686e-72,-0.941257303062599,0.096,0.402,5.22187338333625e-68,"heterozygous","Per2","DOWN"
5.92619828505666e-60,-1.01874782036477,0.094,0.362,1.67071382052317e-55,"heterozygous","Hbegf","DOWN"
1.424791063772e-58,1.11193805966687,0.411,0.129,4.01677096698603e-54,"heterozygous","Npas2","UP"
2.27935054208158e-58,-0.694844299342989,0.05,0.291,6.42594504823639e-54,"heterozygous","Per1","DOWN"
9.6036190244555e-56,-0.773956849069586,0.879,0.944,2.70745227537449e-51,"heterozygous","Tns1","DOWN"
8.71730101498349e-55,-0.967490207556103,0.151,0.421,2.45758150214415e-50,"heterozygous","Gm49980","DOWN"
1.89543527292933e-54,0.57499546170084,1,1,5.34361112144236e-50,"heterozygous","Gm42418","UP"
3.55385627394637e-50,-1.58572253348597,0.204,0.461,1.00190316075096e-45,"heterozygous","Akap12","DOWN"
4.52271269009409e-50,0.745941169695733,0.934,0.82,1.27504316159132e-45,"heterozygous","Hnrnpr","UP"
9.90645529292156e-47,-0.784528445775889,0.438,0.683,2.79282787618045e-42,"heterozygous","Myh9","DOWN"
1.11075555298156e-45,-0.89587617911476,0.232,0.489,3.13144205496562e-41,"heterozygous","Actn1","DOWN"
7.79739533419819e-44,-0.651495351311178,0.319,0.593,2.19824169261715e-39,"heterozygous","Nr1d2","DOWN"
2.00184075216871e-42,0.717043591204293,0.286,0.073,5.64358944851403e-38,"heterozygous","Arntl","UP"
2.02154938537701e-42,-0.783674920529029,0.785,0.89,5.69915202725488e-38,"heterozygous","Gm26917","DOWN"
2.3514695917028e-42,-0.902644466190143,0.28,0.521,6.62926307292853e-38,"heterozygous","Spns2","DOWN"
8.95196098308873e-42,-1.09827007355925,0.106,0.316,2.52373684035238e-37,"heterozygous","Fkbp5","DOWN"
5.77550744179664e-41,-0.693055761042261,0.661,0.82,1.62823105799131e-36,"heterozygous","Proser2","DOWN"
4.38632936442812e-40,-0.584963085862778,0.044,0.222,1.23659397441958e-35,"heterozygous","Junb","DOWN"
1.07738176520355e-37,-0.658182575705287,0.898,0.951,3.03735467246184e-33,"heterozygous","Rbpms","DOWN"
2.98449904002601e-37,0.756003777852011,0.563,0.323,8.41389969364132e-33,"heterozygous","Pck1","UP"
4.14148240526372e-36,0.779709340002339,0.383,0.166,1.16756671969195e-31,"heterozygous","Slc12a1","UP"
8.69174898848698e-36,0.565259264741217,0.907,0.757,2.45037787483425e-31,"heterozygous","Ranbp3l","UP"
