"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
0,1.27684135906869,0.937,0.879,0,"heterozygous","Rhobtb1","UP"
0,1.26170266152598,0.501,0.083,0,"heterozygous","Npas2","UP"
0,1.05770904576475,0.768,0.464,0,"heterozygous","Nav2","UP"
0,0.912578953393944,0.459,0.07,0,"heterozygous","Arntl","UP"
0,-0.501435593103566,0.987,0.993,0,"heterozygous","Tns1","DOWN"
0,-0.765858630284977,0.376,0.743,0,"heterozygous","Nr1d2","DOWN"
0,-0.893403927537651,0.867,0.958,0,"heterozygous","Osbpl9","DOWN"
0,-0.906255384211391,0.362,0.719,0,"heterozygous","Alas1","DOWN"
0,-1.01085774855701,0.908,0.973,0,"heterozygous","Enpp2","DOWN"
0,-1.10415728140588,0.627,0.866,0,"heterozygous","Foxo3","DOWN"
0,-1.11966368724718,0.281,0.679,0,"heterozygous","Herpud1","DOWN"
0,-1.14842300726919,0.897,0.965,0,"heterozygous","Atp2a2","DOWN"
0,-1.39470928885723,0.199,0.63,0,"heterozygous","Noct","DOWN"
0,-1.64746057163776,0.435,0.835,0,"heterozygous","Fkbp5","DOWN"
8.39355910468624e-299,0.933581888859601,0.636,0.299,2.36631218279315e-294,"heterozygous","Prom1","UP"
4.93945945699384e-297,-0.856028232103883,0.937,0.972,1.3925324101157e-292,"heterozygous","Gk","DOWN"
3.20020548981487e-287,0.911351470799537,0.693,0.365,9.02201931688609e-283,"heterozygous","Gsta2","UP"
1.37782222292799e-285,-1.10051037503429,0.589,0.824,3.88435641087859e-281,"heterozygous","Cyp2j13","DOWN"
5.66412008663748e-278,-0.831925807777706,0.841,0.936,1.59682873482484e-273,"heterozygous","Ppara","DOWN"
1.05644181209903e-277,-0.769072710573553,0.929,0.971,2.97832075666959e-273,"heterozygous","Nr1h4","DOWN"
3.59602098953535e-273,-0.978998706304778,0.706,0.877,1.01379023736981e-268,"heterozygous","Tnfrsf21","DOWN"
2.34447380905411e-271,-1.15214614746859,0.331,0.655,6.60954056248536e-267,"heterozygous","Ugt8a","DOWN"
2.66591490286525e-271,-0.686152055401975,0.921,0.966,7.51574729415771e-267,"heterozygous","Ppp2r5e","DOWN"
7.12189709352035e-266,-0.560454618150739,0.978,0.991,2.00780522860526e-261,"heterozygous","Frmd4b","DOWN"
4.8131255256401e-263,-0.664823936431227,0.921,0.958,1.35691634818846e-258,"heterozygous","Itch","DOWN"
8.71141851131827e-262,0.919419249509184,0.818,0.601,2.45592310671085e-257,"heterozygous","Cdkl1","UP"
3.43098335873736e-260,0.773040363189479,0.894,0.794,9.67262828495237e-256,"heterozygous","Agxt2","UP"
1.60164879138988e-254,1.05403619868713,0.675,0.397,4.51536827268636e-250,"heterozygous","Wsb1","UP"
3.18358360583952e-254,0.87109734496145,0.415,0.114,8.97515890158278e-250,"heterozygous","Rdh16f2","UP"
2.66173783792714e-252,-0.724546299955305,0.595,0.841,7.50397131268419e-248,"heterozygous","Tef","DOWN"
1.76357514120553e-251,-0.863510823313261,0.72,0.871,4.97187103808662e-247,"heterozygous","Lncpint","DOWN"
1.03542474888421e-250,-0.751967280487218,0.959,0.971,2.91906945205437e-246,"heterozygous","Rgl1","DOWN"
6.03501454929385e-250,0.917060229136983,0.818,0.656,1.70139130173692e-245,"heterozygous","Greb1l","UP"
6.92008512041207e-243,0.882867510742702,0.609,0.318,1.95091039714657e-238,"heterozygous","Ddc","UP"
8.01494545259179e-230,-0.693593966439564,0.81,0.922,2.25957342199468e-225,"heterozygous","Fnip2","DOWN"
3.91663978644371e-229,-0.904310503937604,0.577,0.804,1.10417908859421e-224,"heterozygous","Etv1","DOWN"
3.6319343902484e-220,-0.911852632454149,0.96,0.979,1.02391494329883e-215,"heterozygous","Kcnj16","DOWN"
5.12318708787714e-214,0.589629823261036,0.408,0.125,1.44432890381432e-209,"heterozygous","Gm53","UP"
4.00556647358807e-212,-0.689910690776881,0.598,0.819,1.12924930023395e-207,"heterozygous","Sult1d1","DOWN"
5.36518661746462e-211,0.832509525295348,0.463,0.186,1.51255341119563e-206,"heterozygous","Hao2","UP"
1.47137488589695e-203,0.402003189770599,0.989,0.988,4.14810007832069e-199,"heterozygous","Ptprk","UP"
3.30763581653945e-198,-0.646086006643689,0.954,0.984,9.32488689398802e-194,"heterozygous","P3h2","DOWN"
1.17561842334143e-196,-0.517818446954246,0.057,0.3,3.31430345908417e-192,"heterozygous","Plk3","DOWN"
2.40922791585335e-193,-0.681644374467739,0.792,0.891,6.79209534037376e-189,"heterozygous","Slc17a1","DOWN"
2.95564891292376e-192,-0.863451592058513,0.336,0.628,8.33256541531465e-188,"heterozygous","Ces1d","DOWN"
2.18423461834248e-190,-0.711256607133358,0.863,0.939,6.15779423603112e-186,"heterozygous","Gpc4","DOWN"
8.03536025133436e-188,0.938724049806403,0.527,0.277,2.26532876205618e-183,"heterozygous","Ypel2","UP"
1.31103604925958e-186,0.333694606359569,0.993,0.994,3.6960728300726e-182,"heterozygous","Snx29","UP"
1.60466124942015e-186,-0.554842388411385,0.972,0.985,4.52386099436528e-182,"heterozygous","Plxdc2","DOWN"
3.84393133716488e-185,0.664964184797598,0.93,0.833,1.08368112257352e-180,"heterozygous","Gm32461","UP"
8.67156813213208e-185,0.489559753007427,0.977,0.951,2.44468848781067e-180,"heterozygous","Cgnl1","UP"
7.77447438431003e-183,0.635589235318161,0.67,0.438,2.19177981842468e-178,"heterozygous","Slc5a11","UP"
1.50813919258786e-181,-0.607244741920036,0.561,0.782,4.25174601174369e-177,"heterozygous","Igfbp4","DOWN"
4.51634210606882e-181,-0.720714377773484,0.396,0.661,1.27324716654292e-176,"heterozygous","Pdia3","DOWN"
2.10170113651157e-179,-0.553895779953544,0.954,0.974,5.92511584405342e-175,"heterozygous","Gramd1b","DOWN"
4.82859829049617e-178,-0.769884656098502,0.258,0.543,1.36127843005668e-173,"heterozygous","Chst11","DOWN"
3.71866520526534e-175,-0.870191762431539,0.441,0.707,1.04836609466841e-170,"heterozygous","Gpx3","DOWN"
1.78718693659537e-173,-0.58116072169958,0.189,0.459,5.03843741164966e-169,"heterozygous","Hsph1","DOWN"
1.87070632950971e-173,-0.55167290247906,0.98,0.988,5.27389528415378e-169,"heterozygous","Tnfaip8","DOWN"
1.05568623363699e-172,-0.756637521918447,0.525,0.733,2.97619062986941e-168,"heterozygous","Polr3e","DOWN"
1.49729621959366e-168,0.514242667211956,0.969,0.935,4.22117750227844e-164,"heterozygous","Col4a3","UP"
2.43373140383591e-165,-0.525944419054698,0.78,0.921,6.8611755736942e-161,"heterozygous","Ppp1r16b","DOWN"
1.12915885620384e-163,0.497026958733774,0.97,0.919,3.18332464740986e-159,"heterozygous","Gatm","UP"
