"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
5.89683390317002e-12,1.23658645681199,0.302,0.028,1.66243541398169e-07,"heterozygous","Ubb","UP"
2.27847011352407e-10,-0.961625584930792,0.762,0.956,6.42346294404706e-06,"heterozygous","Ccnd3","DOWN"
4.41888354826566e-10,1.29780370544758,0.372,0.083,1.24577164992706e-05,"heterozygous","Slc12a1","UP"
4.75144960327819e-10,-0.79398731054566,0.145,0.45,1.33952867215619e-05,"heterozygous","Hsph1","DOWN"
6.86065823498514e-10,0.827437548178019,0.279,0.044,1.93415676960701e-05,"heterozygous","Npas2","UP"
4.10923807779965e-09,-0.644291467604682,0.733,0.894,0.000115847639889328,"heterozygous","Mtss1","DOWN"
6.84894900343874e-09,-1.11434530651277,0.407,0.667,0.000193085570304945,"heterozygous","Errfi1","DOWN"
1.05048429705251e-08,-0.621688059532655,0.244,0.511,0.000296152533025044,"heterozygous","P4ha1","DOWN"
2.1131403787687e-08,-1.18452931202471,0.349,0.578,0.000595736535582472,"heterozygous","Fkbp5","DOWN"
5.26833943425755e-08,0.457782008518675,0.169,0.006,0.00148525025330589,"heterozygous","Mrpl53","UP"
7.17946957068819e-08,-0.362227263992132,0.035,0.233,0.00202403606136841,"heterozygous","Per1","DOWN"
7.28242385360042e-08,-0.672028097736484,0.122,0.361,0.00205306093280703,"heterozygous","Noct","DOWN"
7.53970462611052e-08,-0.664604369037036,0.622,0.833,0.00212559352819308,"heterozygous","Fam107b","DOWN"
9.32300624701099e-08,-0.530724215419616,0.14,0.389,0.00262834192115734,"heterozygous","Gm43305","DOWN"
2.22668573514157e-07,-0.63538933040687,0.628,0.806,0.00627747242451111,"heterozygous","Itch","DOWN"
2.23254642812307e-07,2.12012735067712,0.14,0,0.00629399489016457,"heterozygous","mt-Co1","UP"
2.86998123531018e-07,1.01975142581828,0.43,0.189,0.00809105109858645,"heterozygous","Umod","UP"
3.6453553327122e-07,-0.601399714265693,0.68,0.822,0.0102769857539822,"heterozygous","Lncpint","DOWN"
5.6200799328587e-07,-0.379481979000596,0.081,0.289,0.0158441293467152,"heterozygous","Per2","DOWN"
6.24389229788789e-07,-0.264201845584622,0.017,0.178,0.0176027811662056,"heterozygous","E230001N04Rik","DOWN"
6.60022708527346e-07,-0.495666891711278,0.174,0.422,0.0186073601988029,"heterozygous","Alas1","DOWN"
7.71913411018255e-07,-0.552388955817972,0.826,0.922,0.0217617828834266,"heterozygous","Slc12a6","DOWN"
1.10189868384199e-06,-0.617788415824392,0.669,0.828,0.0310647276948733,"heterozygous","Osbpl9","DOWN"
1.15332682932859e-06,-0.432021216534537,0.552,0.806,0.0325145899724316,"heterozygous","Fbxo11","DOWN"
1.15511312999822e-06,-0.246088575340799,0.012,0.156,0.0325649493609099,"heterozygous","Tns2","DOWN"
1.52646496179399e-06,1.15448855805262,0.291,0.1,0.0430341002028961,"heterozygous","Cfh","UP"
1.79686537972448e-06,0.702529909735962,0.273,0.078,0.0506572287851926,"heterozygous","Rplp2","UP"
1.82293696155091e-06,0.873659720094388,0.198,0.033,0.0513922388200431,"heterozygous","Robo2","UP"
1.9663778816889e-06,0.69162800240392,0.279,0.089,0.0554361252405734,"heterozygous","Hao2","UP"
2.49425510449239e-06,-0.670721666342116,0.512,0.667,0.0703180399058494,"heterozygous","Rnf169","DOWN"
3.27743117492595e-06,-0.539975244996042,0.302,0.55,0.0923973396835125,"heterozygous","Tef","DOWN"
3.56338014251621e-06,-0.402010237244869,0.064,0.239,0.100458812977817,"heterozygous","Il34","DOWN"
5.55652816917798e-06,-0.660127524014963,0.5,0.694,0.156649642145466,"heterozygous","Ldlrad4","DOWN"
6.19473704041403e-06,-1.12867527592063,0.366,0.522,0.174642026643352,"heterozygous","Kcnk5","DOWN"
7.56660984280186e-06,-0.221862704705257,0.012,0.139,0.21331786468827,"heterozygous","Plk3","DOWN"
7.56677839488428e-06,-0.414538990116497,0.384,0.617,0.213322616508578,"heterozygous","Mlxip","DOWN"
7.58997154456933e-06,-0.405356758147445,0.221,0.467,0.213976477784498,"heterozygous","Chordc1","DOWN"
8.01814706003054e-06,1.01898750466507,0.174,0.033,0.226047601916381,"heterozygous","Gstm1","UP"
9.33277966296804e-06,0.866189769474595,0.273,0.089,0.263109724258395,"heterozygous","Ttc36","UP"
1.12964253918966e-05,0.285462033273435,0.18,0.033,0.318468824648348,"heterozygous","D630029K05Rik","UP"
1.21417892573618e-05,1.31948086895827,0.174,0.033,0.342301322743545,"heterozygous","Gpc6","UP"
1.31640462780848e-05,0.657251600022183,0.209,0.05,0.371120792671768,"heterozygous","Pde3a","UP"
1.3716910594857e-05,-0.59311894649508,0.349,0.544,0.386707143490208,"heterozygous","Banp","DOWN"
1.58063172760624e-05,-0.932706844003423,0.349,0.533,0.445611696646752,"heterozygous","Cyp2j13","DOWN"
1.70136197155274e-05,-0.356640965645758,0.256,0.483,0.479647967020147,"heterozygous","Atg3","DOWN"
1.72072692125772e-05,-0.982974328439076,0.401,0.561,0.485107333640977,"heterozygous","Nr1h4","DOWN"
1.73638383264028e-05,-0.368735001354799,0.081,0.25,0.489521330097946,"heterozygous","Camta2","DOWN"
1.85408201847336e-05,-0.599676765421309,0.384,0.622,0.522702802648011,"heterozygous","Plekha2","DOWN"
1.90600371314749e-05,-0.335835633692107,0.128,0.333,0.53734056681054,"heterozygous","Gm49980","DOWN"
1.93740323203938e-05,-0.233014157561551,0.105,0.294,0.546192719176541,"heterozygous","Blvra","DOWN"
2.05382946645412e-05,-0.592189134801126,0.366,0.583,0.579015603182747,"heterozygous","Tsc22d3","DOWN"
2.18824690753688e-05,-0.449850574965763,0.116,0.3,0.616910568172798,"heterozygous","Lrrc8a","DOWN"
2.21128433880409e-05,0.668103527834937,0.157,0.028,0.623405280795649,"heterozygous","Adamts5","UP"
2.45576485575093e-05,-0.552872115886598,0.093,0.261,0.692329228133302,"heterozygous","Kif20b","DOWN"
2.58300446713436e-05,-0.243657632294041,0.017,0.139,0.72820061937452,"heterozygous","Creld1","DOWN"
2.90727328216022e-05,0.920571662620874,0.593,0.411,0.819618483706608,"heterozygous","Cox6c","UP"
