"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
0,-1.14032081972344,0.628,0.864,0,"heterozygous","Sgms1","DOWN"
0,-2.16512920271006,0.14,0.588,0,"heterozygous","Fkbp5","DOWN"
0,-2.79825068370398,0.099,0.7,0,"heterozygous","Zbtb16","DOWN"
6.24137363450576e-186,-1.018871796877,0.38,0.619,1.75956805503986e-181,"heterozygous","Ednrb","DOWN"
1.28423476998827e-171,-0.712826746339981,0.692,0.828,3.62051466355093e-167,"heterozygous","Hecw2","DOWN"
7.09927371400068e-158,-0.792900590023155,0.153,0.386,2.00142724545107e-153,"heterozygous","Nr1d2","DOWN"
6.30848085718838e-152,0.368058199540371,1,1,1.77848692325855e-147,"heterozygous","Gm42418","UP"
2.25872512508826e-150,-0.735639471164552,0.599,0.759,6.36779787264883e-146,"heterozygous","Snrk","DOWN"
8.90515071476763e-148,0.402910912133891,0.986,0.975,2.51054008950729e-143,"heterozygous","Kap","UP"
1.49385585905196e-137,0.733283973766393,0.679,0.467,4.21147843783929e-133,"heterozygous","Rarb","UP"
2.72633581676233e-136,-0.773311248518667,0.475,0.664,7.68608593461635e-132,"heterozygous","Zhx3","DOWN"
1.15218565405644e-130,-0.691980893977195,0.53,0.699,3.24824179591591e-126,"heterozygous","Inpp5d","DOWN"
1.12230803686762e-129,0.605672779392797,0.908,0.839,3.16401081753719e-125,"heterozygous","Hipk2","UP"
3.66917103078118e-126,-0.62604591344539,0.564,0.736,1.03441269699783e-121,"heterozygous","Serinc3","DOWN"
5.55008191786053e-126,0.583855735490228,0.829,0.684,1.56467909428324e-121,"heterozygous","Aldob","UP"
2.68848814063733e-121,0.733187873684507,0.644,0.454,7.57938576608475e-117,"heterozygous","Slc6a6","UP"
9.54670901384609e-119,-0.73824019950164,0.542,0.7,2.69140820518349e-114,"heterozygous","Bcl2l1","DOWN"
8.81381189604111e-117,-0.612039350464869,0.64,0.773,2.48478984973191e-112,"heterozygous","Ccny","DOWN"
1.05467634167673e-112,0.666740481503103,0.335,0.149,2.97334354245503e-108,"heterozygous","Arntl","UP"
9.76591048934305e-111,-0.535017930483006,0.771,0.87,2.75320548515559e-106,"heterozygous","Rapgef5","DOWN"
6.39733109096284e-110,0.560806532344097,0.721,0.537,1.80353558116424e-105,"heterozygous","Zfp608","UP"
5.36623271754961e-109,-0.476243513486736,0.813,0.883,1.51284832773159e-104,"heterozygous","Shank3","DOWN"
4.82967671292959e-107,0.588963754944379,0.628,0.423,1.36158245890911e-102,"heterozygous","Pck1","UP"
1.22952017230106e-106,-0.585300087938168,0.62,0.757,3.46626326975116e-102,"heterozygous","Rai14","DOWN"
1.01404531021869e-105,-0.932833819409396,0.496,0.643,2.85879653856853e-101,"heterozygous","Insr","DOWN"
1.17984201382369e-101,-0.528485852261846,0.849,0.905,3.32621060537174e-97,"heterozygous","Fam117b","DOWN"
1.38397503913848e-101,-0.398326327348711,0.933,0.955,3.9017024303392e-97,"heterozygous","Prkch","DOWN"
7.99673933785983e-99,-0.850497384354718,0.444,0.605,2.25444075412944e-94,"heterozygous","Igfbp3","DOWN"
1.10302809996837e-97,0.65602053105958,0.141,0.027,3.10965681943084e-93,"heterozygous","Cyp26b1","UP"
1.48494405349009e-97,-0.418977565962031,0.964,0.973,4.18635427559928e-93,"heterozygous","Flt1","DOWN"
5.50976546568647e-97,-0.544424662321192,0.704,0.807,1.55331308008633e-92,"heterozygous","Plxna2","DOWN"
5.78488875947997e-95,-0.484190959395491,0.813,0.884,1.63087583907259e-90,"heterozygous","Lncpint","DOWN"
2.39698179382681e-94,-0.674918967182892,0.101,0.254,6.75757107315654e-90,"heterozygous","Jdp2","DOWN"
3.49803796594288e-94,-0.477847338816537,0.025,0.139,9.86166863358618e-90,"heterozygous","Per1","DOWN"
3.74867913488369e-92,-0.596036331790332,0.052,0.182,1.05682762170641e-87,"heterozygous","Nr4a1","DOWN"
4.78674019786704e-91,0.722142498386332,0.725,0.581,1.34947779658268e-86,"heterozygous","Igfbp5","UP"
6.80709887770926e-90,-0.677940804501981,0.473,0.632,1.91905731560379e-85,"heterozygous","Rgcc","DOWN"
1.71920582345417e-88,0.594123055403008,0.721,0.586,4.84678505748199e-84,"heterozygous","Rsad2","UP"
5.68346243294546e-88,0.479746872961098,0.806,0.685,1.60228172909599e-83,"heterozygous","Fth1","UP"
1.18484980556719e-87,-0.513767416810898,0.026,0.135,3.34032857185502e-83,"heterozygous","Egr1","DOWN"
1.5707574243622e-87,0.522565939767742,0.733,0.586,4.42827933076192e-83,"heterozygous","Plscr2","UP"
2.14575961694044e-87,-0.696342234923895,0.138,0.295,6.04932551207849e-83,"heterozygous","Tsc22d3","DOWN"
7.48245851021854e-87,-0.459871603623192,0.907,0.938,2.10945470320081e-82,"heterozygous","Arhgap26","DOWN"
2.46015593260936e-85,0.263213542051437,0.996,0.997,6.9356716052123e-81,"heterozygous","Pbx1","UP"
4.24001676501827e-85,0.239976009140586,1,1,1.19534552639395e-80,"heterozygous","Cmss1","UP"
1.02040348522202e-84,0.508239484286702,0.752,0.629,2.87672150553793e-80,"heterozygous","Atp1a1","UP"
1.41533089462338e-84,-0.597311964204065,0.395,0.57,3.99010085812225e-80,"heterozygous","Slc43a3","DOWN"
1.30230349475644e-81,0.566121549000399,0.664,0.516,3.67145401241736e-77,"heterozygous","Fxyd2","UP"
7.98916519965689e-79,0.551879607485652,0.778,0.672,2.25230545308727e-74,"heterozygous","Mcc","UP"
2.65822566048771e-76,-0.537118703936174,0.53,0.673,7.49406978204696e-72,"heterozygous","Tnrc6c","DOWN"
6.84136009585698e-76,-0.606567258378094,0.424,0.573,1.928716238224e-71,"heterozygous","Mcf2l","DOWN"
1.3510694894523e-75,-0.703391642625218,0.258,0.413,3.80893510466392e-71,"heterozygous","Nostrin","DOWN"
1.68077015689182e-73,-0.677426063628968,0.517,0.643,4.73842722630942e-69,"heterozygous","Entpd1","DOWN"
9.0992377592999e-73,-0.445954406089602,0.024,0.117,2.56525710910183e-68,"heterozygous","Apold1","DOWN"
1.06485572650888e-72,0.547888910524593,0.434,0.27,3.00204126417383e-68,"heterozygous","Kank4","UP"
2.09250035389348e-72,0.248401029901338,0.999,0.994,5.89917699769649e-68,"heterozygous","Camk1d","UP"
8.11646126264894e-72,0.429225261841017,0.8,0.678,2.28819275916599e-67,"heterozygous","Ehd4","UP"
4.61469065886148e-71,-0.560910077184959,0.488,0.625,1.30097359054623e-66,"heterozygous","Rin2","DOWN"
5.41295442564659e-71,-0.486367843886886,0.294,0.458,1.52602011167829e-66,"heterozygous","Mxd4","DOWN"
2.86421719716703e-70,0.488738006185523,0.594,0.442,8.07480112225329e-66,"heterozygous","Cox7c","UP"
3.8432066737843e-70,-0.642965552875722,0.456,0.591,1.08347682547327e-65,"heterozygous","Acer2","DOWN"
6.75911385315676e-70,-0.600872412430348,0.505,0.64,1.90552937748195e-65,"heterozygous","Kalrn","DOWN"
1.09219009452278e-69,-0.564802518109673,0.481,0.615,3.07910231447862e-65,"heterozygous","Myh9","DOWN"
2.3048928960161e-69,-0.42643176318992,0.84,0.89,6.49795405244859e-65,"heterozygous","Fli1","DOWN"
6.73360910596328e-69,-0.528554100764911,0.218,0.373,1.89833907915317e-64,"heterozygous","Pald1","DOWN"
4.65172964724625e-68,0.535554414145489,0.594,0.447,1.31141562215166e-63,"heterozygous","Ndrg1","UP"
8.23398645213583e-68,-0.57777125232702,0.226,0.377,2.32132546058613e-63,"heterozygous","St3gal5","DOWN"
1.84116491225227e-67,-0.754845256681703,0.305,0.447,5.19061212062159e-63,"heterozygous","Gm12002","DOWN"
1.6594229510135e-66,0.457701160024399,0.825,0.744,4.67824518349726e-62,"heterozygous","Arhgef3","UP"
2.3439822221917e-66,-0.372395645402608,0.925,0.952,6.60815468080285e-62,"heterozygous","Limch1","DOWN"
4.91899225545804e-66,-0.531536267083452,0.343,0.497,1.38676229665873e-61,"heterozygous","Prkd2","DOWN"
1.05131711615579e-63,0.52686954712827,0.454,0.302,2.9638732138664e-59,"heterozygous","Nuak1","UP"
4.97278570591654e-63,0.488411282618567,0.516,0.359,1.40192774621199e-58,"heterozygous","Rps29","UP"
1.61000789326849e-62,-0.494004263886276,0.318,0.468,4.53893425270252e-58,"heterozygous","Sh2d3c","DOWN"
