"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
0,-1.8088847173276,0.647,0.855,0,"heterozygous","Pdlim5","DOWN"
0,-2.0470330690065,0.539,0.865,0,"heterozygous","Errfi1","DOWN"
0,-2.09538599232398,0.324,0.805,0,"heterozygous","Fkbp5","DOWN"
0,-3.34871252463105,0.298,0.962,0,"heterozygous","Zbtb16","DOWN"
1.28720118642208e-276,1.09834909033719,0.921,0.777,3.62887758476112e-272,"heterozygous","Fign","UP"
1.31258680522327e-256,-1.24001259413902,0.454,0.762,3.70044472128545e-252,"heterozygous","Hipk1","DOWN"
2.67066494556777e-245,-1.39019222034716,0.305,0.661,7.52913861454466e-241,"heterozygous","Ccn2","DOWN"
1.61046602847637e-241,-1.05081023943231,0.727,0.914,4.54022582748058e-237,"heterozygous","Rerg","DOWN"
3.2887421774083e-238,-1.49798779647912,0.733,0.887,9.27162194654949e-234,"heterozygous","Timp3","DOWN"
4.21562605635425e-229,-1.09937648256066,0.725,0.892,1.18846929780739e-224,"heterozygous","Stim1","DOWN"
4.86775060889627e-218,-0.698388480645045,0.929,0.986,1.37231625166004e-213,"heterozygous","Rbpms","DOWN"
1.29379935996691e-216,-1.1582044536696,0.554,0.801,3.64747915561871e-212,"heterozygous","Foxo3","DOWN"
2.23344088366293e-216,-0.896834854001399,0.817,0.932,6.29651653922253e-212,"heterozygous","Tns1","DOWN"
3.887039835229e-212,0.781176156542495,0.967,0.971,1.09583427034776e-207,"heterozygous","Zeb2","UP"
2.26902362233367e-208,-1.30684740427982,0.55,0.791,6.39683139608308e-204,"heterozygous","Cp","DOWN"
1.29276580292143e-199,-1.26166962842496,0.712,0.863,3.6445653515961e-195,"heterozygous","Abi1","DOWN"
6.3258419999061e-198,-0.894486628064622,0.806,0.926,1.78338137661353e-193,"heterozygous","Myo1b","DOWN"
8.27157646105912e-198,-1.02086766507745,0.142,0.457,2.33192283590179e-193,"heterozygous","Adamtsl2","DOWN"
9.88559563252272e-188,-1.03824976044081,0.549,0.779,2.7869471207208e-183,"heterozygous","Tbc1d1","DOWN"
1.60936821989901e-186,-1.0814000236571,0.333,0.628,4.53713088553928e-182,"heterozygous","Klhl2","DOWN"
