"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
4.78434943158231e-41,0.823444755745041,0.401,0.005,1.54457937049203e-36,"heterozygous","Gm40418","UP"
3.15223030941224e-17,-0.728173582603421,0.448,0.717,1.01766603309065e-12,"heterozygous","Smad3","DOWN"
4.47894896835612e-17,-0.452716669170295,0.939,0.987,1.44598388494409e-12,"heterozygous","Lncpint","DOWN"
1.76846888035878e-16,0.959307705652498,0.812,0.719,5.7093249333503e-12,"heterozygous","Gm47283","UP"
5.90296208712023e-15,0.502066313973228,0.35,0.11,1.90571228020589e-10,"heterozygous","Gm13561","UP"
6.10594559287966e-15,0.591591174948101,0.498,0.24,1.97124347520527e-10,"heterozygous","Fgf1","UP"
2.56375324124188e-13,-0.520984390495155,0.264,0.518,8.27682096402528e-09,"heterozygous","Dgkg","DOWN"
4.21032028378394e-13,-0.361963202155064,0.827,0.898,1.35925980041681e-08,"heterozygous","Nav3","DOWN"
7.61031244227345e-13,-0.420073560293939,0.217,0.467,2.45691326886356e-08,"heterozygous","Hrh3","DOWN"
3.15199947550471e-12,-0.479512073082692,0.469,0.696,1.01759151067194e-07,"heterozygous","Sik2","DOWN"
8.26903548301811e-12,-0.511715105442204,0.646,0.788,2.66957541533757e-07,"heterozygous","Nckap5","DOWN"
9.42207201512416e-12,0.630937520630428,0.917,0.86,3.04182172936268e-07,"heterozygous","Etl4","UP"
1.23009597500666e-11,-0.464769793233977,0.249,0.492,3.97124184571152e-07,"heterozygous","Per1","DOWN"
4.32753551802586e-11,0.269805323839103,0.181,0.031,1.39710156663947e-06,"heterozygous","Gm29260","UP"
5.18492076759041e-11,-0.418550201532718,0.448,0.676,1.67389982060889e-06,"heterozygous","Ptk2b","DOWN"
7.54601689303583e-11,-0.418745722469393,0.617,0.786,2.43615609374769e-06,"heterozygous","Shank2","DOWN"
1.16253861686184e-10,-0.414644085991133,0.744,0.872,3.75313967067677e-06,"heterozygous","Slc17a7","DOWN"
1.3591788097283e-10,-0.314183140394459,0.17,0.406,4.38797286932685e-06,"heterozygous","Dbp","DOWN"
3.5898990553647e-10,-0.475227809402125,0.567,0.778,1.15896301103394e-05,"heterozygous","Tef","DOWN"
4.19663781567733e-10,-0.468618643694261,0.816,0.878,1.35484255241327e-05,"heterozygous","Tenm2","DOWN"
5.17505099877888e-10,-0.413864213896739,0.794,0.878,1.67071346444577e-05,"heterozygous","Camk2a","DOWN"
5.58169669713667e-10,-0.406991301431978,0.78,0.865,1.8019949617036e-05,"heterozygous","Xpr1","DOWN"
4.02142984325067e-09,-0.249407142407186,0.159,0.365,0.000129827841059505,"heterozygous","Cox17","DOWN"
4.46854417976577e-09,-0.533521469905161,0.704,0.814,0.000144262480299558,"heterozygous","Caln1","DOWN"
