"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
7.21391993037209e-113,0.80787477298777,0.853,0.751,2.32894191032132e-108,"heterozygous","Gm47283","UP"
2.73241421990542e-63,0.348427712566211,0.988,0.989,8.82132606754264e-59,"heterozygous","Zeb2","UP"
2.74768609098488e-60,-0.269257060316265,0.994,0.999,8.87062977613557e-56,"heterozygous","Gm42418","DOWN"
6.36885361948429e-59,0.478056694775439,0.961,0.962,2.05612070251431e-54,"heterozygous","Mef2c","UP"
5.43767104358427e-46,0.298934026856175,0.975,0.976,1.75549771971075e-41,"heterozygous","Pam","UP"
6.77916893682202e-37,0.407545429298919,0.569,0.44,2.18858689956362e-32,"heterozygous","Arhgap15","UP"
1.03090797827379e-35,0.479322381275928,0.942,0.939,3.3281833170591e-31,"heterozygous","Mir99ahg","UP"
4.37747390687641e-33,0.20440790882944,0.974,0.971,1.41322367609598e-28,"heterozygous","Rbm39","UP"
2.50991024575333e-32,0.24255046549565,0.966,0.956,8.10299423739006e-28,"heterozygous","C130071C03Rik","UP"
1.9734506773127e-31,0.337306622136914,0.725,0.639,6.37108816663632e-27,"heterozygous","Fgf1","UP"
5.14167739114883e-29,-0.289292213621118,0.247,0.385,1.65993912895849e-24,"heterozygous","Gm46102","DOWN"
1.1420896416463e-26,0.276494928064524,0.809,0.756,3.68712219909092e-22,"heterozygous","9630014M24Rik","UP"
3.32613657925288e-26,0.191711764788922,0.969,0.965,1.073809933246e-21,"heterozygous","Pnisr","UP"
2.4842740750248e-25,0.532708352308062,0.716,0.647,8.02023042381008e-21,"heterozygous","Gm38505","UP"
1.32826873404603e-23,-0.17619147043455,0.22,0.342,4.28818278099419e-19,"heterozygous","Hlf","DOWN"
8.31530779125519e-23,0.137126573087436,1,1,2.68451396732883e-18,"heterozygous","Tcf4","UP"
1.65996764306555e-22,-0.284387386201978,0.774,0.854,5.35903953887282e-18,"heterozygous","Cdh2","DOWN"
2.15866204668942e-22,0.352876349179534,0.923,0.914,6.96902455153212e-18,"heterozygous","Sox2ot","UP"
2.41740779256122e-22,0.270447083146948,0.926,0.921,7.80435931750464e-18,"heterozygous","Epha5","UP"
3.98801079014033e-21,-0.152603883742387,0.964,0.975,1.2874894034889e-16,"heterozygous","Lncpint","DOWN"
6.28035893675188e-21,-0.166050448477731,0.494,0.628,2.02755107914098e-16,"heterozygous","Banp","DOWN"
2.46456812704662e-20,-0.200286023135983,0.413,0.534,7.9566117413573e-16,"heterozygous","Camk2n1","DOWN"
1.45448304539656e-19,0.187366528091348,0.937,0.928,4.69565306375825e-15,"heterozygous","Prpf4b","UP"
1.18556742650214e-18,-0.130905016901082,0.177,0.282,3.82748587971951e-14,"heterozygous","Fkbp5","DOWN"
3.17774668045787e-18,0.184893349370247,0.976,0.981,1.02590373831902e-13,"heterozygous","Pde10a","UP"
8.76110341443494e-18,0.186641162421258,0.996,0.993,2.82843462631618e-13,"heterozygous","Sntg1","UP"
1.00457339900334e-17,0.290413374890122,0.675,0.608,3.24316476134238e-13,"heterozygous","Dlx1as","UP"
1.27482489360471e-17,-0.147043573502467,0.266,0.379,4.11564468651344e-13,"heterozygous","Klf9","DOWN"
2.01960205408885e-17,0.257184852816365,0.296,0.205,6.52008327142044e-13,"heterozygous","Ltbp1","UP"
3.03439492256608e-17,-0.112173173449814,0.216,0.323,9.79624056801234e-13,"heterozygous","Per1","DOWN"
3.35558685074489e-17,-0.198980974762116,0.746,0.84,1.08331765889448e-12,"heterozygous","Zbtb16","DOWN"
1.24020925925456e-16,-0.133383363151606,0.37,0.49,4.00389157257743e-12,"heterozygous","Smpd3","DOWN"
1.51010850986844e-16,-0.129280405156715,0.273,0.38,4.87523431325929e-12,"heterozygous","Mrps6","DOWN"
1.63813678279631e-16,-0.158360524062184,0.836,0.904,5.28856078957961e-12,"heterozygous","Rufy3","DOWN"
2.47569705697527e-16,-0.139165286438119,0.34,0.449,7.99254037873895e-12,"heterozygous","Mxi1","DOWN"
2.61978405259286e-16,-0.166343584028199,0.498,0.612,8.45771083539078e-12,"heterozygous","Tmsb4x","DOWN"
3.68894446170278e-16,0.178289142238082,0.819,0.812,1.19093883001613e-11,"heterozygous","Crebzf","UP"
4.21831545532239e-16,0.145508075920673,0.995,0.997,1.36184096159628e-11,"heterozygous","Ube3a","UP"
5.00124433494798e-16,0.218252522206977,0.168,0.097,1.6146017210946e-11,"heterozygous","Gm17750","UP"
5.24233667814862e-16,-0.146437205150962,0.432,0.549,1.6924359731735e-11,"heterozygous","Tef","DOWN"
1.3356118030061e-15,0.240543384006787,0.913,0.923,4.31188914482488e-11,"heterozygous","Gm20642","UP"
1.59435065291658e-15,-0.117155754430222,0.279,0.385,5.14720164787588e-11,"heterozygous","Hsph1","DOWN"
4.55990880715429e-15,-0.111229148265701,0.218,0.315,1.47212095930169e-10,"heterozygous","Sh3bgrl2","DOWN"
5.16415625841938e-15,0.136383631318925,1,1,1.66719620646811e-10,"heterozygous","Dlg2","UP"
1.39786217462924e-14,-0.100266296863774,0.24,0.34,4.51285824457305e-10,"heterozygous","Hrh3","DOWN"
2.04546375743155e-14,-0.119505449467058,0.393,0.505,6.60357519449201e-10,"heterozygous","Kcnab2","DOWN"
2.48155256734751e-14,-0.14179883480851,0.861,0.917,8.01144430842471e-10,"heterozygous","Sik3","DOWN"
4.87006299354467e-14,-0.343853769684563,0.635,0.714,1.57225113683596e-09,"heterozygous","Cdh13","DOWN"
5.68641695393313e-14,0.167605089590962,0.263,0.183,1.83580284940777e-09,"heterozygous","Mid1","UP"
6.2266237270583e-14,-0.147941955796389,0.301,0.4,2.0102032040435e-09,"heterozygous","Gm33228","DOWN"
7.02043181444071e-14,-0.140329485664771,0.518,0.619,2.26647620697404e-09,"heterozygous","Zfyve28","DOWN"
7.37138228652423e-14,-0.122070355039723,0.933,0.96,2.37977705738148e-09,"heterozygous","Srpk2","DOWN"
