"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
9.1607689231966e-62,-1.8891494520771,0.263,0.701,2.95746263916479e-57,"heterozygous","Fkbp5","DOWN"
1.50072104304259e-31,-0.831386874108357,0.584,0.853,4.8449278153587e-27,"heterozygous","Ccnd3","DOWN"
1.68138100674957e-13,-0.638705653822483,0.057,0.201,5.42817044219032e-09,"heterozygous","Tsc22d3","DOWN"
2.1100170102731e-11,-0.535895828141769,0.579,0.755,6.81197891596566e-07,"heterozygous","Pten","DOWN"
2.03137073220357e-09,-0.303843356361814,0.916,0.963,6.558077271846e-05,"heterozygous","Ssh2","DOWN"
2.15294756042968e-09,0.56872004281439,0.462,0.329,6.95057590409118e-05,"heterozygous","Gm47283","UP"
4.86840796312539e-09,-0.376551918050568,0.581,0.72,0.00015717168268154,"heterozygous","March1","DOWN"
7.64275413772971e-09,0.55536114883367,0.226,0.106,0.000246738674582466,"heterozygous","mt-Nd4","UP"
2.37011279330758e-08,-0.386937243723842,0.828,0.897,0.000765167214191419,"heterozygous","Csmd3","DOWN"
2.55209421069481e-08,0.394509461721774,0.677,0.564,0.000823918094980711,"heterozygous","Wsb1","UP"
3.48642413200744e-08,-0.530681368819675,0.233,0.37,0.00112555716677728,"heterozygous","Glul","DOWN"
3.89234236651917e-08,0.561470317852264,0.448,0.314,0.00125660380960705,"heterozygous","Rin2","UP"
4.78653521144928e-08,0.502273732001793,0.367,0.232,0.00154528502766428,"heterozygous","mt-Co2","UP"
7.02766358234876e-08,-0.450872870033328,0.376,0.523,0.00226881091092547,"heterozygous","Dhx9","DOWN"
1.41048596521648e-07,-0.476529762907644,0.289,0.429,0.00455361289010488,"heterozygous","Mlxip","DOWN"
1.47684998131228e-07,-0.250414077541341,0.683,0.827,0.00476786247966857,"heterozygous","Ptprd","DOWN"
1.54108045173078e-07,0.570324516287502,0.315,0.198,0.00497522413036766,"heterozygous","Etv5","UP"
1.68337783336883e-07,0.474447210694177,0.194,0.093,0.00543461699724793,"heterozygous","Adam2","UP"
2.21946824944314e-07,-0.533425536454751,0.563,0.667,0.00716533129650222,"heterozygous","Cadm1","DOWN"
2.94714874272619e-07,-0.436836502213022,0.373,0.516,0.00951457500101725,"heterozygous","Osbpl11","DOWN"
3.66978164855786e-07,0.459034666065417,0.292,0.171,0.0118475230742042,"heterozygous","mt-Cytb","UP"
4.35186623171576e-07,-0.221195391578451,0.971,0.983,0.0140495649424711,"heterozygous","Gm42418","DOWN"
4.68511728803992e-07,-0.426095761900388,0.398,0.533,0.0151254326527081,"heterozygous","Ppp1r21","DOWN"
