"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
1.18683740683575e-45,-1.07272081840516,0.141,0.431,3.83158588422855e-41,"heterozygous","Zbtb16","DOWN"
1.25920823743508e-30,0.576383548621621,0.156,0.011,4.06522787373542e-26,"heterozygous","Gm29260","UP"
4.89371126071528e-28,-0.888873981904723,0.216,0.448,1.57988574340932e-23,"heterozygous","Mertk","DOWN"
1.18346740188396e-19,-0.498332510757132,0.615,0.797,3.82070616024218e-15,"heterozygous","Sema3d","DOWN"
4.07106715728359e-19,-0.443742337765292,0.136,0.316,1.31430332105743e-14,"heterozygous","Fkbp5","DOWN"
2.41656413397953e-18,0.637818016991635,0.499,0.324,7.80163565013953e-14,"heterozygous","Arhgef3","UP"
5.25887894826327e-17,0.634204098372935,0.655,0.55,1.69777647965731e-12,"heterozygous","Gm47283","UP"
5.91707165924614e-16,-0.430956606482073,0.532,0.697,1.91026741447102e-11,"heterozygous","Pik3r1","DOWN"
9.94083306413642e-14,-0.381535096925822,0.16,0.313,3.2092985464258e-09,"heterozygous","Chst2","DOWN"
3.73263281091113e-13,0.464751845745423,0.729,0.636,1.20504317667455e-08,"heterozygous","C130071C03Rik","UP"
7.35672759461004e-13,-0.445779692605335,0.205,0.355,2.37504593664391e-08,"heterozygous","Htra1","DOWN"
9.21923769004113e-13,-0.359425709459825,0.8,0.885,2.97633869585288e-08,"heterozygous","Fry","DOWN"
3.02216739235754e-11,0.711449743324564,0.425,0.314,9.75676520948707e-07,"heterozygous","Kcnab1","UP"
3.79533201216013e-11,-0.362418911053875,0.491,0.637,1.22528498680578e-06,"heterozygous","Sgk1","DOWN"
6.5196587583891e-11,-0.400219755259565,0.168,0.299,2.10480663355834e-06,"heterozygous","Bcl6","DOWN"
7.58841199776739e-11,-0.306841605809513,0.338,0.504,2.44984292935922e-06,"heterozygous","Scrg1","DOWN"
1.50179103211876e-10,-0.362198388018871,0.652,0.787,4.84838216809222e-06,"heterozygous","Abhd17b","DOWN"
3.1795320710697e-10,0.461629786758239,0.665,0.584,1.02648013382414e-05,"heterozygous","Meis2","UP"
6.09877275444518e-10,-0.265140838758414,0.139,0.259,1.96892779604508e-05,"heterozygous","Azin1","DOWN"
8.45745306255548e-10,-0.324129233709603,0.727,0.846,2.73040414671541e-05,"heterozygous","Ptprj","DOWN"
4.62550171641298e-09,-0.248216254187634,0.428,0.568,0.000149329697412677,"heterozygous","Mat2a","DOWN"
5.58821565287328e-09,-0.342540347011427,0.643,0.749,0.000180409954137361,"heterozygous","Edil3","DOWN"
7.63420533940136e-09,-0.287612237666717,0.888,0.891,0.000246462685177234,"heterozygous","Slc35f1","DOWN"
7.95141141126241e-09,-0.268340821172575,0.643,0.769,0.000256703366001196,"heterozygous","Plcl1","DOWN"
8.35301317490649e-09,0.331223141925518,0.886,0.852,0.000269668677338681,"heterozygous","Mir99ahg","UP"
1.13883488952614e-08,-0.353855339318009,0.454,0.586,0.000367661455734618,"heterozygous","Gng12","DOWN"
1.44318354080632e-08,-0.246094520217339,0.633,0.759,0.000465917374313913,"heterozygous","Hip1","DOWN"
1.51345417850178e-08,-0.225876721850419,0.199,0.322,0.000488603546987513,"heterozygous","Hsph1","DOWN"
1.6852012748202e-08,-0.211001804627654,0.052,0.13,0.000544050379562953,"heterozygous","Per1","DOWN"
3.97569435091813e-08,0.26678978100793,0.954,0.972,0.00128351316425041,"heterozygous","Epn2","UP"
7.17887838987121e-08,-0.316190390561861,0.401,0.527,0.00231762909938602,"heterozygous","Lamc1","DOWN"
8.2959688600086e-08,0.267676185658137,0.128,0.056,0.00267827058676518,"heterozygous","2310002F09Rik","UP"
1.57646622296981e-07,-0.275936003331768,0.073,0.149,0.00508946355423573,"heterozygous","Ptgfrn","DOWN"
1.65220509824999e-07,0.244948570472689,0.93,0.915,0.00533397893919026,"heterozygous","Cmss1","UP"
2.15297091927553e-07,-0.216574280139493,0.529,0.661,0.00695065131578913,"heterozygous","Mllt10","DOWN"
2.23366474546515e-07,0.309138870676275,0.812,0.776,0.00721116326425971,"heterozygous","Gm3764","UP"
2.26392249079745e-07,-0.256349365266938,0.269,0.386,0.00730884736929048,"heterozygous","Banp","DOWN"
2.29061749240974e-07,-0.21325487211938,0.151,0.252,0.00739502951249562,"heterozygous","Itpk1","DOWN"
2.31169456684007e-07,-0.330470250816572,0.337,0.456,0.00746307473958649,"heterozygous","St3gal6","DOWN"
2.56283540225183e-07,-0.244806832290121,0.177,0.282,0.00827385781262982,"heterozygous","Rtkn","DOWN"
3.05656656458405e-07,-0.2502762432898,0.367,0.488,0.00986781949710314,"heterozygous","Peak1","DOWN"
3.44398407835511e-07,0.447127676806517,0.691,0.639,0.0111185581985616,"heterozygous","Kcnip3","UP"
4.00260456496151e-07,-0.204201714917317,0.356,0.486,0.0129220085775217,"heterozygous","Zhx3","DOWN"
4.13761338005906e-07,-0.202779663192367,0.289,0.415,0.0133578710361827,"heterozygous","Per3","DOWN"
