"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
6.19054309240847e-44,-2.61682271092194,0.249,0.829,1.7452379086118e-39,"heterozygous","Zbtb16","DOWN"
2.70377861879542e-14,-0.869683616578705,0.244,0.588,7.62249268210806e-10,"heterozygous","Nr1d2","DOWN"
4.81829884218045e-13,0.908204859856113,0.385,0.102,1.35837480958751e-08,"heterozygous","Npas2","UP"
6.7604940187513e-13,-1.10157152838919,0.33,0.62,1.90591847376637e-08,"heterozygous","Ccnd3","DOWN"
2.12346665588643e-12,-1.15454111931157,0.199,0.482,5.98647719627503e-08,"heterozygous","Fkbp5","DOWN"
1.94115278355761e-10,0.680230805124103,0.195,0.016,5.47249792740563e-06,"heterozygous","Rps26","UP"
2.27313447640449e-10,0.694889534165843,0.398,0.147,6.40842071587953e-06,"heterozygous","Arntl","UP"
5.47966784844881e-10,-0.55330197873418,0.027,0.22,1.54482795983469e-05,"heterozygous","Per1","DOWN"
2.46216015718803e-09,-0.608632305475907,0.068,0.282,6.94132191514448e-05,"heterozygous","Per2","DOWN"
5.79402645205919e-09,0.923205833977947,0.371,0.147,0.000163345193736453,"heterozygous","S100g","UP"
5.88557041298777e-09,-0.645357986505998,0.67,0.845,0.000165926001082951,"heterozygous","Lncpint","DOWN"
2.64028085799394e-08,0.666729832650008,0.896,0.788,0.000744347979485651,"heterozygous","Fign","UP"
8.28032332395565e-08,-0.540384685206603,0.837,0.922,0.00233438875148958,"heterozygous","Tns1","DOWN"
8.99487029745793e-08,-0.562814743192694,0.439,0.669,0.00253583383425934,"heterozygous","Klf9","DOWN"
4.16659976647536e-07,0.495757996988773,0.932,0.853,0.0117464780616473,"heterozygous","Meis1","UP"
5.37345870998561e-07,0.92349756119415,0.262,0.09,0.0151488547951914,"heterozygous","Adra1a","UP"
8.69376467772702e-07,-0.938087851516565,0.326,0.535,0.024509461379448,"heterozygous","Errfi1","DOWN"
9.24387596985025e-07,-0.640118345024373,0.176,0.371,0.0260603351342018,"heterozygous","Hlf","DOWN"
1.22012097862839e-06,0.761393374505326,0.407,0.224,0.0343976506294915,"heterozygous","Nr2f1","UP"
1.28456114907976e-06,-0.539619702138836,0.14,0.327,0.0362143479148566,"heterozygous","Unkl","DOWN"
1.44458880376595e-06,-0.498067843879521,0.009,0.122,0.0407258475557697,"heterozygous","Egr1","DOWN"
1.46778701221553e-06,0.74567481083423,0.321,0.147,0.0413798514483803,"heterozygous","Ldlr","UP"
2.20593289632475e-06,-0.553406831314572,0.154,0.347,0.0621896602131873,"heterozygous","Slc15a2","NO"
2.34325136739735e-06,-0.661001357936709,0.552,0.706,0.0660609425496662,"heterozygous","Fnip2","NO"
7.82209195679949e-06,-0.564998775021986,0.258,0.445,0.220520416446091,"heterozygous","P4ha1","NO"
8.45733170002327e-06,-0.728031070059265,0.118,0.273,0.238429095287056,"heterozygous","Slco2b1","NO"
8.72510579618831e-06,-0.448677673164715,0.281,0.486,0.245978182606141,"heterozygous","Resf1","NO"
