"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
9.62143265820668e-44,-1.68036183547595,0.191,0.698,3.10618331937544e-39,"heterozygous","Fkbp5","DOWN"
6.66878525055825e-39,-2.06063525424872,0.178,0.641,2.15295063029023e-34,"heterozygous","Zbtb16","DOWN"
7.7098207104244e-33,0.96733978825496,1,1,2.48903851815341e-28,"heterozygous","Kap","UP"
1.01411298480349e-32,1.04157665043547,1,1,3.27396236013959e-28,"heterozygous","Gm42418","UP"
7.88894952062835e-27,1.08655346264343,1,0.964,2.54686846323966e-22,"heterozygous","mt-Co1","UP"
6.45478002067307e-25,-0.855775166223617,0.892,0.987,2.08386118187409e-20,"heterozygous","Rbpms","DOWN"
5.84021924218769e-24,0.803560239870569,0.984,0.951,1.88545638014787e-19,"heterozygous","Fth1","UP"
6.33158687733751e-24,1.11119144481494,0.99,0.984,2.04408950747964e-19,"heterozygous","mt-Co3","UP"
8.37961378750789e-24,0.778652743324634,1,1,2.70527451515905e-19,"heterozygous","Camk1d","UP"
2.65258516074726e-23,1.12480230657537,0.959,0.901,8.56360593295646e-19,"heterozygous","Fxyd2","UP"
3.37459880140534e-21,0.650083162559874,1,1,1.0894554770457e-16,"heterozygous","Cmss1","UP"
4.73763966889168e-21,0.940363416293535,0.968,0.917,1.52949959070499e-16,"heterozygous","Aldob","UP"
8.15772530049426e-21,0.837578126504134,0.946,0.867,2.63364003601157e-16,"heterozygous","Atp1a1","UP"
5.41885598606526e-20,0.979110355382129,0.968,0.896,1.74942346654131e-15,"heterozygous","mt-Atp6","UP"
7.1446581208326e-20,-0.876657405525078,0.201,0.539,2.3065814277296e-15,"heterozygous","Noct","DOWN"
3.56905453173078e-19,0.915965064556341,0.768,0.555,1.15223356502397e-14,"heterozygous","Cox8a","UP"
1.37714919801818e-17,-0.499456496519119,0.895,0.987,4.44598847088189e-13,"heterozygous","Rere","DOWN"
1.96649890945258e-17,0.890424589824896,0.847,0.693,6.34864507927672e-13,"heterozygous","Atp5a1","UP"
2.85606376191385e-17,0.857422292817756,0.417,0.138,9.22051624896268e-13,"heterozygous","Npas2","UP"
4.98241459849319e-17,0.671366504438879,0.994,0.995,1.60852272897754e-12,"heterozygous","AY036118","UP"
6.39658472771853e-17,0.824412286819879,1,0.997,2.06507341349665e-12,"heterozygous","Gpx3","UP"
6.45292298848028e-17,0.971716172642956,0.869,0.755,2.08326165760098e-12,"heterozygous","mt-Nd4","UP"
7.48485356657283e-17,-0.831260625418617,0.455,0.745,2.41641012543237e-12,"heterozygous","Foxo3","DOWN"
9.11468207280498e-17,0.788971442457769,0.927,0.854,2.94258396038436e-12,"heterozygous","Eef1a1","UP"
1.15481883344154e-16,0.945752729205513,0.774,0.586,3.72821712188265e-12,"heterozygous","Chchd2","UP"
1.22790593262225e-16,0.877290702033962,0.818,0.672,3.96417151287766e-12,"heterozygous","Cox4i1","UP"
1.53335748558318e-16,-0.573483725436086,0.261,0.607,4.95029130645674e-12,"heterozygous","Nr1d2","DOWN"
2.64486403944204e-16,0.985212383085768,0.787,0.622,8.53867906493469e-12,"heterozygous","mt-Nd1","UP"
3.22582203212152e-16,0.671598363427455,0.879,0.771,1.04142438485011e-11,"heterozygous","Ftl1","UP"
5.77092718148696e-16,-0.726230377040947,0.041,0.276,1.86308613127125e-11,"heterozygous","Egr1","DOWN"
7.97350886230607e-16,0.870105094118244,0.873,0.76,2.57416760110689e-11,"heterozygous","Atp5b","UP"
2.25432050309698e-15,0.941288764840067,0.732,0.568,7.27784831219828e-11,"heterozygous","S100g","UP"
2.60986146492008e-15,0.824716798090956,0.876,0.792,8.425676753348e-11,"heterozygous","Gpx1","UP"
4.05152020484195e-15,1.14052377457779,0.806,0.745,1.30799278293118e-10,"heterozygous","Slc12a1","UP"
8.82897149535304e-15,0.852783787890491,0.834,0.716,2.85034515755978e-10,"heterozygous","Cox6c","UP"
2.6777054159937e-14,0.834736833439434,0.79,0.635,8.64470416499408e-10,"heterozygous","Cox7c","UP"
2.77459944729296e-14,0.926099912893366,0.771,0.617,8.95751685564059e-10,"heterozygous","Akr1c21","UP"
4.843268567452e-14,-1.22804249810143,0.465,0.734,1.5636008243162e-09,"heterozygous","Errfi1","DOWN"
5.3208368592214e-14,0.893850973949468,0.704,0.547,1.71777897163104e-09,"heterozygous","Napsa","UP"
5.39532423208973e-14,0.850095769834826,0.634,0.422,1.74182647508785e-09,"heterozygous","Igfbp5","UP"
1.76663992531312e-13,0.76777948015867,0.914,0.906,5.70342033488089e-09,"heterozygous","mt-Co2","UP"
2.25105130748672e-13,-0.519183101068803,0.083,0.31,7.26729404109011e-09,"heterozygous","Per1","DOWN"
2.80640930649775e-13,0.850059848680682,0.732,0.578,9.06021180509735e-09,"heterozygous","Prdx5","UP"
3.42005462228992e-13,-0.695524307822983,0.159,0.401,1.10413043426008e-08,"heterozygous","Baiap2","DOWN"
4.02543164613534e-13,0.883859651188507,0.822,0.716,1.29957035263833e-08,"heterozygous","Umod","UP"
4.33304616850745e-13,0.726112016785729,0.618,0.388,1.39888062504095e-08,"heterozygous","Cox7a2","UP"
4.35795967683021e-13,-1.16059536246755,0.561,0.776,1.40692370206787e-08,"heterozygous","Samd4","DOWN"
4.81264965690426e-13,0.804422590373456,0.618,0.409,1.55371581523497e-08,"heterozygous","Rpl38","UP"
