"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
0,1.51742525476817,0.688,0.152,0,"heterozygous","Npas2","UP"
0,-1.84533286108968,0.502,0.924,0,"heterozygous","Fkbp5","DOWN"
5.19287473849027e-303,0.988100284023943,0.624,0.166,1.46397524627518e-298,"heterozygous","Arntl","UP"
1.00867232317448e-249,1.27905005825646,0.884,0.838,2.84364901349349e-245,"heterozygous","Rhobtb1","UP"
3.96894867919501e-227,1.2578753535787,0.578,0.204,1.11892601163866e-222,"heterozygous","Hao2","UP"
4.26355205920914e-218,-1.08699380824867,0.254,0.641,1.20198059653224e-213,"heterozygous","Noct","DOWN"
6.26467311880764e-217,-1.18959671106536,0.838,0.9,1.76613664565425e-212,"heterozygous","Nr1h4","DOWN"
6.33171098266919e-212,1.05510061025057,0.54,0.172,1.7850359602341e-207,"heterozygous","Rdh16f2","UP"
9.53576816316329e-207,-1.17178981516283,0.748,0.879,2.688323760559e-202,"heterozygous","Tnfrsf21","DOWN"
3.03745294799926e-196,-0.746429516787947,0.381,0.745,8.56318735099953e-192,"heterozygous","Nr1d2","DOWN"
5.65089680263656e-196,-0.850471837802048,0.879,0.941,1.5931008265993e-191,"heterozygous","Mtss1","DOWN"
1.47736479760187e-186,-0.80829124079032,0.905,0.952,4.1649868373992e-182,"heterozygous","Osbpl9","DOWN"
6.482798036485e-182,0.912305135064318,0.591,0.256,1.82763042244585e-177,"heterozygous","Ddc","UP"
1.46747609496326e-171,-0.497205440288706,0.976,0.982,4.13710860692044e-167,"heterozygous","Tns1","DOWN"
1.33703593813956e-161,0.861518139456855,0.53,0.21,3.76937171680305e-157,"heterozygous","Gsta2","UP"
1.19072109282381e-160,-0.768807726343316,0.323,0.651,3.35688090488889e-156,"heterozygous","Alas1","DOWN"
9.26883763289467e-159,-0.830457308266701,0.29,0.622,2.61307070546567e-154,"heterozygous","Herpud1","DOWN"
4.35388513316591e-158,-0.672408335832382,0.858,0.943,1.22744729674213e-153,"heterozygous","Rnf169","DOWN"
2.6253145258902e-156,-0.907488974303845,0.777,0.87,7.40128671138966e-152,"heterozygous","Cyp2j13","DOWN"
4.70858890007757e-156,-0.762725168959656,0.649,0.851,1.32744538270987e-151,"heterozygous","Tef","DOWN"
9.87269804667886e-149,-0.728344714890397,0.229,0.572,2.7833110333197e-144,"heterozygous","Hsph1","DOWN"
1.80620207368466e-148,-0.973921275786987,0.299,0.629,5.0920448861318e-144,"heterozygous","Ces1d","DOWN"
8.16134302361834e-141,0.8854431388358,0.761,0.458,2.30084582521848e-136,"heterozygous","Nckap5","UP"
7.90119493753296e-139,0.914663843205634,0.829,0.724,2.22750487678929e-134,"heterozygous","Greb1l","UP"
4.7838376270258e-138,-0.729648389784978,0.855,0.923,1.34865950381111e-133,"heterozygous","Pawr","DOWN"
4.14929476905828e-137,-0.645440400207953,0.861,0.946,1.16976918129291e-132,"heterozygous","Lncpint","DOWN"
7.90047853632561e-136,0.695563784143768,0.582,0.275,2.22730290896092e-131,"heterozygous","Prom1","UP"
3.75959235583947e-129,-0.893565834170755,0.682,0.827,1.05990427695826e-124,"heterozygous","Ugt8a","DOWN"
4.41084116865744e-126,-0.759068795853989,0.729,0.867,1.2435043422679e-121,"heterozygous","Foxo3","DOWN"
8.94832908223021e-124,0.544649289098554,0.958,0.929,2.52271293486234e-119,"heterozygous","Ppm1h","UP"
1.37989497824106e-123,0.871845932431101,0.86,0.773,3.89019992265718e-119,"heterozygous","Akr1c21","UP"
1.00457423944323e-122,0.689939575216158,0.623,0.346,2.83209569583834e-118,"heterozygous","Ypel2","UP"
3.4292971354924e-121,-0.89637534198726,0.753,0.865,9.66787448438017e-117,"heterozygous","Cyp4b1","DOWN"
2.0117666328922e-119,-0.753554450583657,0.854,0.924,5.67157249144968e-115,"heterozygous","Slco3a1","DOWN"
2.29405795934927e-119,0.45168471286376,0.968,0.972,6.46740819899745e-115,"heterozygous","Ptprk","UP"
2.72571415364804e-118,-0.564137196273188,0.999,0.999,7.68433334196455e-114,"heterozygous","Zbtb20","DOWN"
1.16749468545704e-117,-0.938383047898229,0.764,0.855,3.29140101724047e-113,"heterozygous","Kcnk5","DOWN"
6.9937513659009e-113,0.54221667684663,0.41,0.148,1.97167838507478e-108,"heterozygous","Ethe1","UP"
9.21259169520871e-113,-0.701919242850821,0.884,0.929,2.59721385071324e-108,"heterozygous","Atp2a2","DOWN"
1.95556333607125e-112,-0.583467741275073,0.905,0.947,5.51312415705205e-108,"heterozygous","Ppp2r5e","DOWN"
2.1171949851631e-112,-0.452805096684419,0.145,0.433,5.96879610217182e-108,"heterozygous","Per3","DOWN"
8.44307699829492e-112,0.768493656914924,0.712,0.497,2.3802722673593e-107,"heterozygous","Wsb1","UP"
1.26605607650475e-111,-0.612079770260973,0.514,0.749,3.56926529088219e-107,"heterozygous","Igfbp4","DOWN"
6.58554576408932e-108,0.474732184020871,0.744,0.514,1.85659706181206e-103,"heterozygous","Nav2","UP"
1.7327807633934e-107,0.638896809915482,0.671,0.461,4.88505552815868e-103,"heterozygous","Slc5a11","UP"
2.64157268524072e-107,-0.710240092778605,0.899,0.91,7.44712171423064e-103,"heterozygous","Gk","DOWN"
4.44408241875627e-107,-0.599136605607932,0.856,0.926,1.25287571549577e-102,"heterozygous","Slc12a6","DOWN"
6.45278278806289e-107,-0.407358498263934,0.075,0.322,1.81916852361069e-102,"heterozygous","E230001N04Rik","DOWN"
6.75444614918877e-107,-0.354668531363914,0.04,0.266,1.9042134583793e-102,"heterozygous","Per1","DOWN"
3.80814232467802e-106,0.737864151762561,0.356,0.116,1.07359148417323e-101,"heterozygous","Kynu","UP"
1.71938427888702e-105,-0.53081490491725,0.938,0.952,4.8472881590383e-101,"heterozygous","Frmd4b","DOWN"
