"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
1.39999394443891e-11,-2.79534332589802,0.444,0.884,3.94686292816217e-07,"heterozygous","Zbtb16","DOWN"
4.63628204719967e-11,-1.66307816940753,0.426,0.977,1.30706063474653e-06,"heterozygous","Pmepa1","DOWN"
1.12517344920933e-10,-1.89327597676758,0.556,0.953,3.17208898801094e-06,"heterozygous","Foxo1","DOWN"
3.68155726996498e-10,-1.73689618012581,0.389,0.953,1.03790462554853e-05,"heterozygous","Dcun1d3","DOWN"
4.67640277577958e-10,-1.63111843764273,0.63,0.977,1.31837147054778e-05,"heterozygous","Pde3b","DOWN"
5.90130655445867e-10,-1.89212054431248,0.537,1,1.66369634383299e-05,"heterozygous","Fam13a","DOWN"
1.03660059300725e-09,-1.74875230880245,0.463,0.977,2.92238439180604e-05,"heterozygous","Cnnm2","DOWN"
1.54281637272152e-09,-1.34082645066003,0.611,1,4.34950791797651e-05,"heterozygous","Prkce","DOWN"
2.92397409600044e-09,-1.64092221248812,0.519,1,8.24326777144445e-05,"heterozygous","Fam214a","DOWN"
4.9676734805911e-09,-1.26410915030962,0.37,0.953,0.000140048650764824,"heterozygous","Rgcc","DOWN"
5.61900786780549e-09,-2.33786061523544,0.167,0.721,0.000158411069809172,"heterozygous","Fkbp5","DOWN"
5.71103330762164e-09,3.01251088898144,0.611,0.023,0.000161005451008469,"heterozygous","Umod","UP"
5.85461695442666e-09,-1.36360439949105,0.63,0.977,0.000165053361179196,"heterozygous","Nampt","DOWN"
5.87020251164199e-09,-1.66810681118623,0.463,0.93,0.000165492749208211,"heterozygous","Atl2","DOWN"
8.55288309143034e-09,-1.63149029657211,0.37,0.93,0.000241122880113604,"heterozygous","Plin4","DOWN"
1.17101465541349e-08,-1.78227065461567,0.556,1,0.000330132451654172,"heterozygous","Ppara","DOWN"
1.24219465348777e-08,-1.37624559965759,0.519,1,0.000350199516711272,"heterozygous","Acss3","DOWN"
1.27617406264308e-08,-1.15123524478744,0.648,1,0.000359778991740336,"heterozygous","Tns1","DOWN"
1.5797822231546e-08,-1.4632430086,0.5,0.977,0.000445372204351746,"heterozygous","4933406I18Rik","DOWN"
1.84794550577131e-08,-1.01093723601608,0.13,0.674,0.000520972796987049,"heterozygous","Nploc4","DOWN"
2.29953503581933e-08,2.68915068893051,0.537,0,0.000648284917298185,"heterozygous","Cltrn","UP"
2.98343896647168e-08,-1.36131633813687,0.5,0.977,0.000841091113427697,"heterozygous","Pfkfb3","DOWN"
3.0596694720012e-08,-1.39333955972734,0.426,0.907,0.000862582017546578,"heterozygous","Il15ra","DOWN"
4.77248385646216e-08,6.31012404471428,0.519,0,0.00134545864881381,"heterozygous","Kap","UP"
4.77248385646216e-08,4.91305556378814,0.519,0,0.00134545864881381,"heterozygous","Gpx3","UP"
4.81871857405326e-08,-1.34490699628883,0.519,0.953,0.00135849314039709,"heterozygous","Hivep2","DOWN"
6.68569681092168e-08,-0.973842177699631,0.278,0.884,0.00188483164493504,"heterozygous","Clasp1","DOWN"
8.31176167264301e-08,-1.28080909461721,0.056,0.535,0.00234325185075152,"heterozygous","Hp","DOWN"
9.74379985452377e-08,-1.42691515113872,0.167,0.698,0.00274697205498734,"heterozygous","Pcsk6","DOWN"
9.81336911903269e-08,-1.06932376392337,0.389,0.93,0.0027665850220377,"heterozygous","Ube2h","DOWN"
1.0719812381827e-07,-1.28744657050335,0.537,1,0.00302212950668468,"heterozygous","Pparg","DOWN"
1.24516628502303e-07,-1.07324580175409,0.259,0.814,0.00351037279073692,"heterozygous","Aoc3","DOWN"
1.34821489178441e-07,-1.23023325962137,0.556,1,0.00380088742291861,"heterozygous","Prkar2b","DOWN"
1.41394764705652e-07,3.39256737765154,0.537,0.023,0.00398620120658173,"heterozygous","Slc12a1","UP"
2.28021557947774e-07,-1.07223493158895,0.537,1,0.00642838376166364,"heterozygous","Lpin1","DOWN"
2.91414838798087e-07,-1.39629068939028,0.481,0.907,0.00821556713539567,"heterozygous","Snrk","DOWN"
3.06074057497663e-07,-1.0904164635261,0.796,1,0.00862883982897412,"heterozygous","Nfia","DOWN"
3.13482896159404e-07,2.55404254487605,0.537,0.047,0.00883770980852591,"heterozygous","Gpx1","UP"
3.21389760348654e-07,-1.30785645169223,0.389,0.86,0.00906062012374926,"heterozygous","Tef","DOWN"
4.23125556759324e-07,-1.29078151983772,0.63,1,0.0119287556961589,"heterozygous","Acsl1","DOWN"
4.84299585684826e-07,-0.870735177799208,0.13,0.628,0.0136533739196266,"heterozygous","Per3","DOWN"
5.52199676490914e-07,-1.11025878891913,0.593,1,0.0155676132796319,"heterozygous","Celf2","DOWN"
6.77135999326695e-07,-1.03720477062728,0.278,0.767,0.0190898180930182,"heterozygous","Eps15l1","DOWN"
7.3972624458421e-07,-1.31821364597054,0.37,0.837,0.0208543622873181,"heterozygous","Noct","DOWN"
8.63096196490685e-07,-1.05113553398551,0.481,0.953,0.0243324079714654,"heterozygous","Osbpl11","DOWN"
1.0315381008179e-06,-1.36391024501736,0.241,0.698,0.0290811221382582,"heterozygous","Snta1","DOWN"
1.10472096697638e-06,-0.963637128152607,0.611,1,0.0311442935009981,"heterozygous","Gbe1","DOWN"
1.13796565764755e-06,-1.23089884852128,0.5,0.977,0.0320815278203999,"heterozygous","Ppargc1b","DOWN"
1.15967389814619e-06,-1.02968542764522,0.222,0.698,0.0326935265365373,"heterozygous","Mknk2","DOWN"
1.24616823165274e-06,-0.661583598934464,0,0.372,0.035131974786754,"heterozygous","Fam102a","DOWN"
1.29523213735967e-06,-1.14360645030197,0.444,0.953,0.0365151844164439,"heterozygous","Ebf2","DOWN"
1.31064578095951e-06,-1.22511679298567,0.426,0.884,0.0369497258568104,"heterozygous","Kcnk3","DOWN"
1.32764029938917e-06,-1.09312227271732,0.611,0.977,0.0374288353203796,"heterozygous","Sorbs1","DOWN"
1.34945469974552e-06,-0.91509424670194,0.481,0.977,0.0380438268952256,"heterozygous","Dcaf6","DOWN"
1.36995496324917e-06,2.97600865215526,0.463,0.023,0.0386217703239206,"heterozygous","Egf","UP"
1.5029166290003e-06,3.5621591716959,0.426,0,0.0423702256047765,"heterozygous","Fxyd2","UP"
1.5029166290003e-06,2.14837572047715,0.426,0,0.0423702256047765,"heterozygous","Tmsb4x","UP"
