"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"Gm47283",0,0.834765035252551,0.843,0.784,0,"heterozygous","Gm47283","excitatory_neurons"
"Arhgap15",0,0.56865804030818,0.698,0.555,0,"heterozygous","Arhgap15","excitatory_neurons"
"Mef2c",0,0.566200389670989,0.982,0.978,0,"heterozygous","Mef2c","excitatory_neurons"
"Zeb2",0,0.469760087764346,0.919,0.888,0,"heterozygous","Zeb2","excitatory_neurons"
"Hecw2",0,0.439640265218553,0.984,0.978,0,"heterozygous","Hecw2","excitatory_neurons"
"Gm29260",0,0.418339096449424,0.191,0.037,0,"heterozygous","Gm29260","excitatory_neurons"
"Pak7",0,0.411916201230968,0.96,0.955,0,"heterozygous","Pak7","excitatory_neurons"
"Arpp21",0,0.301263709363242,0.993,0.992,0,"heterozygous","Arpp21","excitatory_neurons"
"Asic2",0,0.300903777335977,0.988,0.989,0,"heterozygous","Asic2","excitatory_neurons"
"Gm42418",0,-0.281700656878238,0.994,0.998,0,"heterozygous","Gm42418","excitatory_neurons"
"Fkbp5",0,-0.288232329977737,0.177,0.371,0,"heterozygous","Fkbp5","excitatory_neurons"
"Hlf",0,-0.339667434365387,0.424,0.646,0,"heterozygous","Hlf","excitatory_neurons"
"Ptk2b",0,-0.355157250569332,0.653,0.801,0,"heterozygous","Ptk2b","excitatory_neurons"
"Lncpint",0,-0.399616208431357,0.964,0.985,0,"heterozygous","Lncpint","excitatory_neurons"
"Ccnd2",1.42574062175976e-302,-0.290853562070985,0.255,0.45,4.60286102328921e-298,"heterozygous","Ccnd2","excitatory_neurons"
"Nrep",2.10237280777506e-288,0.421391523799426,0.417,0.26,6.78730037262102e-284,"heterozygous","Nrep","excitatory_neurons"
"Cpe",1.47057699316724e-285,-0.318871540393678,0.869,0.942,4.7476107647411e-281,"heterozygous","Cpe","excitatory_neurons"
"Wipf3",1.68680247485972e-284,-0.331231303352037,0.463,0.646,5.44567310983713e-280,"heterozygous","Wipf3","excitatory_neurons"
"R3hdm1",2.50893523284062e-284,0.325549912508184,0.996,0.994,8.09984650570267e-280,"heterozygous","R3hdm1","excitatory_neurons"
"C130071C03Rik",6.34297948495822e-277,0.306821589065399,0.94,0.923,2.04776749692391e-272,"heterozygous","C130071C03Rik","excitatory_neurons"
"Nmnat2",1.15152382639882e-274,-0.291347217677897,0.768,0.883,3.71757952114595e-270,"heterozygous","Nmnat2","excitatory_neurons"
"Dapk1",7.02272080349184e-261,-0.303156357727729,0.737,0.855,2.2672151841993e-256,"heterozygous","Dapk1","excitatory_neurons"
"Adcy9",5.78333470162574e-237,-0.307424756491411,0.824,0.906,1.86709177507285e-232,"heterozygous","Adcy9","excitatory_neurons"
"Dbp",7.45277069452769e-237,-0.160161109626855,0.142,0.297,2.40605249102132e-232,"heterozygous","Dbp","excitatory_neurons"
"Per1",6.94211704372587e-231,-0.204657599783178,0.29,0.473,2.24119306639646e-226,"heterozygous","Per1","excitatory_neurons"
"Nr1d1",8.85940139393637e-228,-0.153115805873431,0.133,0.28,2.86016914601842e-223,"heterozygous","Nr1d1","excitatory_neurons"
"Ralyl",5.94976028647802e-221,0.306186604283331,0.979,0.976,1.92082061088656e-216,"heterozygous","Ralyl","excitatory_neurons"
"Camkv",8.46260152209637e-220,-0.265703325833177,0.622,0.775,2.73206627539359e-215,"heterozygous","Camkv","excitatory_neurons"
"Galnt9",7.37724311291127e-214,-0.323053465491197,0.483,0.646,2.38166916657227e-209,"heterozygous","Galnt9","excitatory_neurons"
