"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
2.98620663453423e-11,-1.11948386864783,0.775,0.952,9.64066949893031e-07,"heterozygous","Ccnd3","DOWN"
1.57174745557326e-07,0.712703192288621,0.217,0.008,0.0050742294855727,"heterozygous","Npas2","UP"
3.05709527162598e-07,0.907354913039795,0.589,0.28,0.00986952637491731,"heterozygous","Ubb","UP"
7.31606320968618e-07,0.897010682371016,0.853,0.6,0.0236191784661509,"heterozygous","Chchd2","UP"
8.57605953965819e-07,0.755234594255576,0.519,0.24,0.0276869506178325,"heterozygous","Rpl12","UP"
1.35692849889865e-06,0.743235002582907,0.837,0.6,0.043807079658444,"heterozygous","Cltrn","UP"
2.19955147022537e-06,0.63923947210109,0.969,0.92,0.0710103196647557,"heterozygous","Fxyd2","UP"
2.47421321524854e-06,-0.712178771857345,0.225,0.496,0.0798774994410839,"heterozygous","Hsph1","DOWN"
2.53917641672379e-06,-0.702638751119891,0.62,0.784,0.0819747714375107,"heterozygous","Fam107b","DOWN"
5.24124391928627e-06,0.746263972158786,0.496,0.224,0.169208318690238,"heterozygous","Gstm1","UP"
5.49880394531543e-06,0.680887278542611,0.845,0.696,0.177523386570563,"heterozygous","Atp5b","UP"
5.51583328024787e-06,0.510555434279174,1,1,0.178073161619522,"heterozygous","Kap","UP"
5.72257457219432e-06,0.800659010197206,0.783,0.552,0.184747597488721,"heterozygous","Prdx5","UP"
6.54523588409004e-06,0.807751968612153,0.256,0.056,0.211306395281963,"heterozygous","Bcat1","UP"
1.15632109980016e-05,-0.619023506559173,0.744,0.872,0.373306703859485,"heterozygous","Mtss1","DOWN"
1.20096222464285e-05,0.763777558690501,0.535,0.296,0.387718644603698,"heterozygous","Uqcrfs1","UP"
1.2085484336836e-05,-1.01738144023199,0.55,0.728,0.390167776330414,"heterozygous","Errfi1","DOWN"
1.47548213906519e-05,0.597914260790564,0.992,0.984,0.476344653775804,"heterozygous","mt-Co1","UP"
1.49538716265849e-05,0.684013651086414,0.853,0.744,0.482770791592667,"heterozygous","Umod","UP"
1.70504637698557e-05,0.671966850086206,0.798,0.592,0.550457172346023,"heterozygous","Spink1","UP"
1.83151347146079e-05,0.703860324481844,0.326,0.112,0.591285809126402,"heterozygous","Hao2","UP"
2.18363940753672e-05,0.753616998784015,0.643,0.376,0.704966146329155,"heterozygous","Cox7a2","UP"
2.24808250562568e-05,0.334239445335963,0.155,0.008,0.725770956116196,"heterozygous","Hoxb9","UP"
2.8677885548491e-05,-0.560240236546702,0.837,0.928,0.925836857047482,"heterozygous","Slc12a6","DOWN"
3.75183578344858e-05,0.618590625711753,0.736,0.504,1,"heterozygous","Ldhb","UP"
4.12427199874667e-05,-0.800657311624373,0.341,0.544,1,"heterozygous","Unc93b1","DOWN"
4.35707911082266e-05,0.548990680520171,0.977,0.896,1,"heterozygous","Aldob","UP"
4.86172437475724e-05,-0.381730303996963,0.566,0.8,1,"heterozygous","Fbxo11","DOWN"
5.74081996228587e-05,0.73271763976265,0.659,0.448,1,"heterozygous","Rps12","UP"
6.58998372047545e-05,0.634726005970907,0.69,0.472,1,"heterozygous","Cd63","UP"
6.94171804759951e-05,0.637212468994984,0.388,0.176,1,"heterozygous","Plvap","UP"
8.25478229092858e-05,0.60609524673632,0.434,0.2,1,"heterozygous","Ndufv3","UP"
0.000110262440811034,0.493744475535155,0.876,0.688,1,"heterozygous","Pck1","UP"
0.000125724255538874,-0.670231166446572,0.512,0.696,1,"heterozygous","Crlf3","DOWN"
0.00013399898924756,0.541371440897762,0.822,0.632,1,"heterozygous","Cox4i1","UP"
0.000144152812497153,-0.554538870673539,0.682,0.784,1,"heterozygous","Osbpl9","DOWN"
0.000144671091225971,0.40286055830663,0.388,0.168,1,"heterozygous","Enah","UP"
0.000146312286503791,0.732339968703341,0.496,0.288,1,"heterozygous","Atp5o","UP"
0.000156016239744211,1.33858500232123,0.806,0.696,1,"heterozygous","Slc12a1","UP"
0.000157137681585254,0.643244770909665,0.612,0.376,1,"heterozygous","Ndufa13","UP"
0.000164164300304097,0.443705893846323,0.566,0.32,1,"heterozygous","Atp5j","UP"
0.000164773174587252,0.539569336142253,0.899,0.688,1,"heterozygous","Ndrg1","UP"
0.000170248352033586,0.561592652901239,0.853,0.712,1,"heterozygous","mt-Nd1","UP"
0.000189666676406185,0.456386160288958,0.977,0.888,1,"heterozygous","Atp1a1","UP"
0.000202639676544633,0.614685154062327,0.783,0.576,1,"heterozygous","Cox8a","UP"
0.000209124377049604,-0.944926774027191,0.326,0.504,1,"heterozygous","Fkbp5","DOWN"
0.000209423726666175,0.467627477419657,0.178,0.032,1,"heterozygous","Cdh11","UP"
0.00020945532694381,0.538376780101613,0.612,0.384,1,"heterozygous","Ndufb9","UP"
0.000210339883127536,0.624735185714318,0.434,0.216,1,"heterozygous","Rpl36al","UP"
0.000217130857249208,0.523886438202125,0.837,0.688,1,"heterozygous","Itm2b","UP"
0.000226180421221379,0.469392092303851,0.512,0.288,1,"heterozygous","Rfc1","UP"
0.000234747109562825,-0.668995280168814,0.395,0.616,1,"heterozygous","Plekha2","DOWN"
0.000242747108721013,0.245516199825295,0.194,0.04,1,"heterozygous","Mrpl53","UP"
0.000245367665671744,0.362310015470273,0.14,0.016,1,"heterozygous","Ebp","UP"
0.000256613110371687,0.467213308780682,0.543,0.352,1,"heterozygous","Ptms","UP"
0.000259797750548837,0.466556294248179,1,0.976,1,"heterozygous","mt-Co3","UP"
0.000262787524202385,0.56305191268403,0.643,0.44,1,"heterozygous","Rab14","UP"
0.000277779467385677,0.380505915083724,0.186,0.04,1,"heterozygous","Tspan8","UP"
0.00029873741394639,0.627851758021706,0.636,0.432,1,"heterozygous","Mpv17l","UP"
0.000308744377453179,-0.688537306782573,0.558,0.744,1,"heterozygous","Fndc3a","DOWN"
0.000341013236493511,-0.65189253194853,0.109,0.28,1,"heterozygous","Kif20b","DOWN"
0.000355983874304268,-0.346392800616749,0.047,0.192,1,"heterozygous","Per1","DOWN"
0.000365300035087047,0.566451476615834,0.566,0.376,1,"heterozygous","Nme7","UP"
0.000380366926034979,0.672496700029821,0.302,0.136,1,"heterozygous","Gsta2","UP"
0.00039974390595942,-0.396674307167844,0.047,0.192,1,"heterozygous","Cxcr4","DOWN"
0.000431114607685137,0.509327422617876,0.814,0.664,1,"heterozygous","Cox7c","UP"
0.000436086854519871,0.372650178707833,0.295,0.112,1,"heterozygous","Tmem178","UP"
0.000447239484356435,0.512602954839141,0.496,0.304,1,"heterozygous","Serf2","UP"
0.000449617984901042,0.431194376966858,0.705,0.488,1,"heterozygous","Rpl38","UP"
0.000452067187232621,0.676620254718549,0.543,0.352,1,"heterozygous","Etfb","UP"
0.000461933090143441,0.380973430361387,0.132,0.016,1,"heterozygous","Serpina1f","UP"
0.000464238152500028,0.564898564088658,0.597,0.408,1,"heterozygous","Uqcr10","UP"
0.000466354847339348,0.640185445265399,0.853,0.712,1,"heterozygous","Hspa8","UP"
0.000502546796280349,0.496264830403641,0.659,0.448,1,"heterozygous","Rpl11","UP"
0.000528729939050674,0.484488970803226,0.76,0.616,1,"heterozygous","Lamp2","UP"
0.000555338978494756,0.693787015766592,0.55,0.352,1,"heterozygous","Atp5k","UP"
0.000582887470496952,0.561678558052476,0.938,0.872,1,"heterozygous","Lars2","UP"
0.000602407441661337,-0.440357186539607,0.69,0.808,1,"heterozygous","Wdfy4","DOWN"
0.000602882393931211,-0.240720279202928,0.023,0.144,1,"heterozygous","Gm27003","DOWN"
0.000609715975004798,-0.56065338081,0.721,0.848,1,"heterozygous","Syk","DOWN"
0.000612373685177229,-0.503364189724957,0.039,0.168,1,"heterozygous","Col8a1","DOWN"
0.000625794809194626,-0.4395805035016,0.566,0.744,1,"heterozygous","Cop1","DOWN"
0.000635709917327179,0.640550967066382,0.287,0.112,1,"heterozygous","Sim1","UP"
0.00063751168271055,-0.522866973803728,0.698,0.784,1,"heterozygous","Lncpint","DOWN"
0.000639688575832219,0.805199306215647,0.24,0.088,1,"heterozygous","Gpc6","UP"
0.000639901185819328,0.384414595747962,0.163,0.032,1,"heterozygous","Hoxd8","UP"
0.000680630669778232,0.676599119244212,0.651,0.464,1,"heterozygous","Rpl27a","UP"
0.000689857175081158,0.674516383917686,0.558,0.36,1,"heterozygous","Cox6a1","UP"
0.000705542536967952,0.517999101998447,0.419,0.224,1,"heterozygous","Aifm1","UP"
0.000706914857349032,0.374220386051036,0.326,0.136,1,"heterozygous","Kcnj1","UP"
0.000713190043851766,0.503941531933351,0.434,0.232,1,"heterozygous","Cd164","UP"
0.000723894029394323,-0.615662860549157,0.512,0.656,1,"heterozygous","Rap1a","DOWN"
0.000736386528910649,0.171068774757783,0.186,0.048,1,"heterozygous","2410004B18Rik","UP"
0.000739645390363559,0.198990936624543,0.109,0.008,1,"heterozygous","Hsd17b7","UP"
0.000749982576861466,0.431217753255837,0.798,0.624,1,"heterozygous","Napsa","UP"
