"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed"
3.47321015044165e-96,-2.15946227948322,0.347,0.711,1.12129116496858e-91,"heterozygous","Fkbp5","DOWN"
9.75056284450697e-83,-1.84940924340618,0.507,0.794,3.14787170872063e-78,"heterozygous","Ccnd3","DOWN"
3.51132236723494e-48,0.960864669865927,0.86,0.67,1.13359531303813e-43,"heterozygous","Ndrg1","UP"
7.73429097696347e-41,0.679799642830454,0.283,0.048,2.49693849900289e-36,"heterozygous","Npas2","UP"
6.36690472577299e-31,0.734773389027964,0.781,0.58,2.05549152166855e-26,"heterozygous","Gatm","UP"
1.69886033056925e-28,-0.542065734941002,0.05,0.232,5.48460069120977e-24,"heterozygous","Per1","DOWN"
7.38997679611465e-28,0.500648316255642,0.263,0.07,2.38578010885765e-23,"heterozygous","Ddc","UP"
3.2241873177676e-27,-0.812732758809017,0.267,0.486,1.04089663366809e-22,"heterozygous","Sla","DOWN"
3.86842956937655e-27,0.574846975632383,0.341,0.125,1.24888380217752e-22,"heterozygous","Gsta2","UP"
1.94730378131622e-26,0.514961310599629,0.336,0.12,6.28667552760128e-22,"heterozygous","Hao2","UP"
3.90689094084842e-26,0.447106705788441,0.209,0.042,1.2613006713435e-21,"heterozygous","Rdh16f2","UP"
2.58140492421196e-25,0.547882978068023,0.834,0.661,8.33380765732591e-21,"heterozygous","Akr1c21","UP"
3.34375955740519e-25,0.57974884931251,0.805,0.624,1.07949933551269e-20,"heterozygous","Cltrn","UP"
4.5258859991569e-24,-0.697074184128179,0.578,0.706,1.46113703596781e-19,"heterozygous","Rnf169","DOWN"
3.09192262471764e-23,1.38745497505007,0.429,0.258,9.98196300163844e-19,"heterozygous","Rhobtb1","UP"
8.61731802046404e-23,-0.851366496197423,0.214,0.394,2.78201494972661e-18,"heterozygous","Tsc22d3","DOWN"
1.76688685021932e-20,0.356953659099871,0.295,0.114,5.70421750724805e-16,"heterozygous","Prom1","UP"
2.15493653513527e-20,0.544505653975554,0.691,0.452,6.9569971100307e-16,"heterozygous","Igfbp5","UP"
2.23140180921701e-20,-0.955964509441993,0.301,0.484,7.20385760087621e-16,"heterozygous","Entpd1","DOWN"
3.32023183268689e-20,0.698242085872029,0.336,0.165,1.07190364486463e-15,"heterozygous","Agxt2","UP"
8.27873606660531e-20,0.475142638371804,0.979,0.908,2.67270715174286e-15,"heterozygous","Aldob","UP"
9.71711125808424e-20,-0.588417854438382,0.756,0.823,3.13707219855992e-15,"heterozygous","Serinc3","DOWN"
1.11486478852863e-19,0.640196251264797,0.473,0.282,3.59922948328582e-15,"heterozygous","Cldn10","UP"
4.51576703283573e-19,0.603034935460067,0.624,0.454,1.45787022888069e-14,"heterozygous","Cgnl1","UP"
4.6645117576392e-19,-0.572599232958075,0.839,0.906,1.50589097583624e-14,"heterozygous","Arhgap15","DOWN"
5.97546169604784e-19,0.500523648561733,0.974,0.92,1.92911805395209e-14,"heterozygous","Fxyd2","UP"
7.52012381354864e-19,0.775513897630877,0.507,0.33,2.42779677196604e-14,"heterozygous","Itgb6","UP"
1.75995227390464e-18,0.642530925093879,0.562,0.391,5.68182992107375e-14,"heterozygous","Gm47283","UP"
2.06323944590298e-18,0.76523348271859,0.447,0.274,6.66096222715317e-14,"heterozygous","Ccdc141","UP"
2.98767616845738e-18,-0.461039429331238,0.872,0.922,9.64541374224782e-14,"heterozygous","Ptprc","DOWN"
3.28094728507228e-18,-0.354911855538869,0.03,0.15,1.05922102151273e-13,"heterozygous","Egr1","DOWN"
5.27802221539523e-18,0.513256679787445,0.334,0.159,1.7039566920182e-13,"heterozygous","Acmsd","UP"
5.51153501768462e-18,-0.9554905665872,0.432,0.56,1.7793439651093e-13,"heterozygous","Zbtb16","DOWN"
6.70766378522706e-18,0.423156461121487,0.371,0.183,2.1655021764227e-13,"heterozygous","Mid1","UP"
6.90952346536559e-18,0.468348669850216,0.416,0.229,2.23067055555863e-13,"heterozygous","Npnt","UP"
9.07696809541433e-18,0.354010170944238,0.227,0.08,2.93040837992356e-13,"heterozygous","Asxl3","UP"
9.53376835094022e-18,-0.637571106133318,0.361,0.523,3.07788177441754e-13,"heterozygous","Mlxip","DOWN"
1.13867538725414e-17,-0.484461895428064,0.824,0.876,3.67609962021125e-13,"heterozygous","Ankrd44","DOWN"
1.54607590546768e-17,0.519579224682946,0.385,0.197,4.99135145321186e-13,"heterozygous","Fign","UP"
1.62997859386343e-17,0.459686484141211,0.293,0.131,5.2622228924287e-13,"heterozygous","D630024D03Rik","UP"
1.64039260832362e-17,-0.578981121398013,0.824,0.866,5.29584349671196e-13,"heterozygous","Etv6","DOWN"
1.65877586475917e-17,-0.53184385000683,0.231,0.396,5.3551920017885e-13,"heterozygous","Nr1d2","DOWN"
1.83582488200435e-17,0.441552400022855,0.336,0.155,5.92677704906284e-13,"heterozygous","Wfdc15b","UP"
1.21030499234664e-16,0.416926138593537,0.819,0.683,3.9073486372919e-12,"heterozygous","Igfbp7","UP"
1.38273776606833e-16,0.646576322185294,0.381,0.217,4.464030603975e-12,"heterozygous","Fam13a","UP"
1.4930075800786e-16,0.926956214276851,0.538,0.39,4.82002567152576e-12,"heterozygous","Bnc2","UP"
1.79835528264676e-16,0.755014764471201,0.655,0.537,5.8058101944968e-12,"heterozygous","Ptprk","UP"
2.03814360403589e-16,-0.741017648128575,0.542,0.647,6.57994281126947e-12,"heterozygous","Man2a1","DOWN"
2.06394021807564e-16,0.243352509737584,0.135,0.028,6.66322460003538e-12,"heterozygous","Gm30097","UP"
2.30260650273073e-16,-0.687505433353856,0.324,0.481,7.4337348334159e-12,"heterozygous","Il6ra","DOWN"
2.52897920823544e-16,0.482838712352945,0.764,0.589,8.16455647586728e-12,"heterozygous","Rpl13","UP"
3.91233863731647e-16,-0.511234312937717,0.772,0.814,1.26305940567125e-11,"heterozygous","Ssh2","DOWN"
6.39766149825876e-16,0.639869320351532,0.636,0.503,2.06542103809786e-11,"heterozygous","Col4a4","UP"
8.1252452260113e-16,-0.769030162982757,0.485,0.601,2.62315416876549e-11,"heterozygous","Pag1","DOWN"
1.38373304931361e-15,0.674411662367418,0.317,0.17,4.46724377640405e-11,"heterozygous","Greb1l","UP"
1.50149719828219e-15,0.414580173033479,0.944,0.869,4.84743355493424e-11,"heterozygous","Atp1a1","UP"
1.77418819199815e-15,0.426207174128311,0.457,0.268,5.72778915904681e-11,"heterozygous","Dnase1","UP"
2.33128874243486e-15,-0.509447071823665,0.682,0.758,7.52633257607669e-11,"heterozygous","Lncpint","DOWN"
2.36110941941252e-15,0.313631448118989,0.358,0.181,7.62260564963138e-11,"heterozygous","Arntl","UP"
2.77331464776767e-15,0.274271170935821,0.18,0.06,8.95336900885316e-11,"heterozygous","Ackr3","UP"
3.50851760572153e-15,-0.660557749102244,0.109,0.243,1.13268982383114e-10,"heterozygous","Jdp2","DOWN"
3.71222875968069e-15,0.540467020721884,0.187,0.062,1.19845593277531e-10,"heterozygous","Mmp12","UP"
4.82739959103407e-15,0.464502604323657,0.522,0.336,1.55847768396944e-10,"heterozygous","Car2","UP"
7.53232706615528e-15,0.456663342614382,0.55,0.367,2.43173647003757e-10,"heterozygous","Idh1","UP"
7.89662518430077e-15,0.287741539955244,0.179,0.06,2.54934647449966e-10,"heterozygous","Cpn1","UP"
1.20265124666616e-14,0.531699039990468,0.466,0.303,3.88263928473702e-10,"heterozygous","Cubn","UP"
1.27973740321449e-14,0.633915460226723,0.615,0.471,4.13150423253764e-10,"heterozygous","Nhs","UP"
1.42656054228839e-14,0.360370816212875,0.246,0.107,4.60550805472384e-10,"heterozygous","Prickle1","UP"
1.52495439580655e-14,0.230265492352865,0.236,0.096,4.92316277142188e-10,"heterozygous","Gm12576","UP"
1.53661356846867e-14,0.359128129266363,0.869,0.768,4.96080324444426e-10,"heterozygous","Ftl1","UP"
1.64266690531766e-14,0.359117218934079,0.657,0.478,5.30318583712752e-10,"heterozygous","Fbp1","UP"
1.74681161683381e-14,0.375751455493959,0.333,0.173,5.63940662378628e-10,"heterozygous","Steap2","UP"
1.84384216930495e-14,0.442308035743161,0.274,0.13,5.9526600593841e-10,"heterozygous","Cfap69","UP"
2.01699921478925e-14,0.421738791697706,0.77,0.584,6.51168026502561e-10,"heterozygous","Spink1","UP"
2.35425195833091e-14,0.66902427552588,0.388,0.239,7.6004670222755e-10,"heterozygous","Car12","UP"
2.36040039239863e-14,-0.639179469863946,0.505,0.626,7.62031662681975e-10,"heterozygous","Gng2","DOWN"
2.48908915552537e-14,0.182113381452303,0.164,0.05,8.03577542969809e-10,"heterozygous","Tmem53","UP"
4.03674404458199e-14,0.400912235737108,0.45,0.278,1.30322244735285e-09,"heterozygous","Slc22a18","UP"
4.04536960350316e-14,0.491301750469291,0.269,0.127,1.30600712279496e-09,"heterozygous","D630023F18Rik","UP"
4.56059323940768e-14,0.412908807491486,0.639,0.445,1.47234192141038e-09,"heterozygous","Rps27a","UP"
4.66011164066434e-14,-0.58691473958,0.088,0.212,1.50447044207207e-09,"heterozygous","Pla2g7","DOWN"
4.77404761740785e-14,-0.547246711562671,0.74,0.799,1.54125353280395e-09,"heterozygous","Inpp5d","DOWN"
6.24020550796779e-14,0.604897603836866,0.455,0.31,2.01458794619232e-09,"heterozygous","Tinag","UP"
7.29781861625984e-14,0.184026665645536,0.113,0.023,2.35602776207333e-09,"heterozygous","Slc22a29","UP"
7.59162905794686e-14,-0.441697628940618,0.088,0.209,2.45088152506756e-09,"heterozygous","Dusp1","DOWN"
7.6642438030771e-14,0.411341305342783,0.724,0.56,2.47432446938541e-09,"heterozygous","Rpl23","UP"
8.59440831270132e-14,0.500204416304285,0.628,0.485,2.77461877967249e-09,"heterozygous","Pter","UP"
9.06226483148413e-14,0.246267867329015,0.241,0.103,2.92566157819634e-09,"heterozygous","Spsb4","UP"
1.57032888519046e-13,0.278197297482079,0.231,0.1,5.06964977294889e-09,"heterozygous","Ethe1","UP"
1.61319848347162e-13,-0.607055530928155,0.396,0.533,5.20804998403976e-09,"heterozygous","Rcsd1","DOWN"
2.19465815026826e-13,0.134864268653284,0.129,0.032,7.08523437232605e-09,"heterozygous","Gm3716","UP"
2.37230485521064e-13,0.443812552717332,0.715,0.55,7.65874899456204e-09,"heterozygous","Spp1","UP"
2.87672103297505e-13,0.469182587504042,0.34,0.192,9.28720618285665e-09,"heterozygous","Rdh16","UP"
4.71693620196728e-13,0.186967855648465,0.163,0.056,1.52281568344312e-08,"heterozygous","Gm44764","UP"
4.72903732806816e-13,0.40901170051848,0.592,0.409,1.52672241099352e-08,"heterozygous","Chchd10","UP"
5.06176524919481e-13,0.152878709872957,0.144,0.042,1.63414029305005e-08,"heterozygous","Plch1","UP"
5.10814292316638e-13,0.364522740026483,0.486,0.313,1.64911286131504e-08,"heterozygous","Guca2b","UP"
5.22335575289333e-13,0.57299448459371,0.819,0.773,1.68630817126408e-08,"heterozygous","Slc4a4","UP"
5.54954294752792e-13,0.436576826827311,0.361,0.209,1.79161444517991e-08,"heterozygous","Cdkl1","UP"
5.55661773441587e-13,-0.630866699975012,0.327,0.453,1.79389846937882e-08,"heterozygous","Pnpla7","DOWN"
5.83522779594143e-13,0.478374711254722,0.314,0.175,1.88384494164173e-08,"heterozygous","A1cf","UP"
7.08620847236648e-13,0.293545089730424,0.244,0.115,2.28771154321879e-08,"heterozygous","Slc5a11","UP"
7.18913024377939e-13,0.229989562862644,0.184,0.069,2.32093880790174e-08,"heterozygous","Fam163a","UP"
9.91072813104919e-13,0.517512359769303,0.868,0.828,3.19957946982792e-08,"heterozygous","Fut9","UP"
9.93659744566817e-13,0.310528509698011,0.548,0.372,3.20793111935951e-08,"heterozygous","Sod2","UP"
1.02797966890447e-12,0.180986627448283,0.188,0.072,3.31872956309118e-08,"heterozygous","L3hypdh","UP"
1.293112811422e-12,0.471758856740244,0.22,0.097,4.17468540039479e-08,"heterozygous","4921539H07Rik","UP"
