"","p_val","gene","diffexpressed","celltype"
"1",2.9505225527905e-84,"Gm47283","UP","inhibitory"
"2",2.28506480108688e-34,"Gm42418","DOWN","inhibitory"
"3",1.05757181039025e-28,"Zeb2","UP","inhibitory"
"4",2.9087554833029e-27,"Mef2c","UP","inhibitory"
"5",3.80236971797305e-27,"Mir99ahg","UP","inhibitory"
"6",5.61044341635289e-25,"Per1","DOWN","inhibitory"
"7",2.76420901905443e-24,"Arhgap15","UP","inhibitory"
"8",7.76880897337207e-24,"C130071C03Rik","UP","inhibitory"
"9",2.1309927530591e-23,"Pam","UP","inhibitory"
"10",1.21337840090244e-22,"Zbtb16","DOWN","inhibitory"
"11",2.96711935838145e-22,"Rbm39","UP","inhibitory"
"12",4.70697709397564e-21,"Gm46102","DOWN","inhibitory"
"13",5.93906186884272e-20,"Tcf4","UP","inhibitory"
"14",2.11361363367875e-19,"Gm38505","UP","inhibitory"
"15",8.269033021653e-19,"Sox2ot","UP","inhibitory"
"16",2.684145473647e-18,"Fkbp5","DOWN","inhibitory"
"17",1.93339212404048e-17,"Banp","DOWN","inhibitory"
"18",5.05117619917218e-17,"Mxi1","DOWN","inhibitory"
"19",1.01454006823586e-16,"Pnisr","UP","inhibitory"
"20",9.86383233419082e-16,"Polr3e","DOWN","inhibitory"
"21",1.15966428305999e-15,"Adipor2","DOWN","inhibitory"
"22",1.51845014323754e-15,"Fgf1","UP","inhibitory"
"23",2.31184549790692e-15,"Hsph1","DOWN","inhibitory"
"24",2.58660804800115e-15,"Klf9","DOWN","inhibitory"
"25",2.59651438708235e-15,"Snhg11","UP","inhibitory"
"26",2.98635263638188e-15,"Prpf4b","UP","inhibitory"
"27",3.19505253639596e-15,"Gm17750","UP","inhibitory"
"28",2.9962008136626e-14,"Cdh2","DOWN","inhibitory"
"29",5.69070542080428e-14,"Mid1","UP","inhibitory"
"30",8.08275063251544e-14,"Bcar1","DOWN","inhibitory"
"31",1.95219534338694e-13,"Bcl2l1","DOWN","inhibitory"
"32",3.03686751884852e-13,"Camk2n1","DOWN","inhibitory"
"33",5.19396430688251e-13,"Rufy3","DOWN","inhibitory"
"34",7.35128639871833e-13,"Ubxn7","DOWN","inhibitory"
"35",1.10852931726454e-12,"Epha5","UP","inhibitory"
"36",1.17518007775117e-12,"Sh3bgrl2","DOWN","inhibitory"
"37",2.24940489669877e-12,"Ahi1","UP","inhibitory"
"38",3.98335255131584e-12,"Bcl6","DOWN","inhibitory"
"39",4.07168988673169e-12,"Tmsb4x","DOWN","inhibitory"
"40",5.01556151688216e-12,"Ppp1r13b","DOWN","inhibitory"
"41",5.52561572536317e-12,"Adam2","UP","inhibitory"
"42",9.44025755230237e-12,"Mat2a","DOWN","inhibitory"
"43",9.70375676481693e-12,"Sntg1","UP","inhibitory"
"44",1.1857411300642e-11,"9630014M24Rik","UP","inhibitory"
"45",1.3949314780694e-11,"Ltbp1","UP","inhibitory"
"46",1.40072593917371e-11,"Tsc22d4","DOWN","inhibitory"
"47",1.47332197714035e-11,"Rbbp4","DOWN","inhibitory"
"48",1.48680429183131e-11,"Hlf","DOWN","inhibitory"
"49",2.63358075042685e-11,"Nr1d2","DOWN","inhibitory"
"50",3.47189077548186e-11,"Usp10","DOWN","inhibitory"
"51",3.489361761826e-11,"Tent4b","DOWN","inhibitory"
"52",3.49135371105524e-11,"Dlx1as","UP","inhibitory"
"53",3.72623049395831e-11,"Serpini1","DOWN","inhibitory"
"54",3.9478799211885e-11,"Luc7l3","UP","inhibitory"
"55",4.44201175211146e-11,"Mtpn","DOWN","inhibitory"
"56",6.48171363985123e-11,"Dnaja1","DOWN","inhibitory"
"57",8.63830237967733e-11,"Chn2","DOWN","inhibitory"
"58",9.82039198813283e-11,"Sesn3","DOWN","inhibitory"
"59",1.07021720902563e-10,"Crebzf","UP","inhibitory"
"60",1.170813036083e-10,"Gm33228","DOWN","inhibitory"
"61",1.20181884140547e-10,"Stip1","DOWN","inhibitory"
"62",1.33919004123046e-10,"H3f3b","UP","inhibitory"
"63",1.48030612572303e-10,"Snhg20","UP","inhibitory"
"64",1.62502088400767e-10,"Cdh13","DOWN","inhibitory"
"65",1.85305672771109e-10,"Mrps6","DOWN","inhibitory"
"66",2.72607974399139e-10,"Pdxk","DOWN","inhibitory"
"67",2.86777050016699e-10,"Cpeb4","DOWN","inhibitory"
"68",3.26116322780386e-10,"Ube2j1","DOWN","inhibitory"
"69",3.35367983194547e-10,"Ankrd13a","DOWN","inhibitory"
"70",3.51815039129866e-10,"Tef","DOWN","inhibitory"
"71",3.71071377596484e-10,"Kcnab2","DOWN","inhibitory"
"72",4.53834929546561e-10,"Lcorl","DOWN","inhibitory"
